"mc","L","F","q","s_max_den","n_density","iteration"
1,50,2,1,0.0028,0.423061224489796,1
1,50,2,1,0.0028,0.423061224489796,2
1,50,2,1,0.0028,0.423061224489796,4
1,50,2,1,0.0028,0.423061224489796,8
1,50,2,1,0.0028,0.423061224489796,15
1,50,2,1,0.0028,0.422448979591837,29
1,50,2,1,0.0028,0.421632653061224,58
1,50,2,1,0.0028,0.418163265306122,114
1,50,2,1,0.0028,0.415918367346939,225
1,50,2,1,0.0028,0.406530612244898,442
1,50,2,1,0.0032,0.392040816326531,870
1,50,2,1,0.004,0.375714285714286,1712
1,50,2,1,0.006,0.343061224489796,3368
1,50,2,1,0.0056,0.308979591836735,6627
1,50,2,1,0.0072,0.263673469387755,13039
1,50,2,1,0.0128,0.23,25657
1,50,2,1,0.018,0.199387755102041,50484
1,50,2,1,0.0188,0.170816326530612,99334
1,50,2,1,0.0364,0.158163265306122,195455
1,50,2,1,0.1024,0.130816326530612,384586
1,50,2,1,0.0612,0.136326530612245,756729
2,50,2,1,0.0032,0.430408163265306,1
2,50,2,1,0.0032,0.430408163265306,2
2,50,2,1,0.0032,0.430408163265306,4
2,50,2,1,0.0032,0.430408163265306,8
2,50,2,1,0.0032,0.43,15
2,50,2,1,0.0032,0.429387755102041,29
2,50,2,1,0.0032,0.428775510204082,58
2,50,2,1,0.0044,0.426734693877551,114
2,50,2,1,0.0044,0.421428571428571,225
2,50,2,1,0.0056,0.413877551020408,442
2,50,2,1,0.0052,0.402448979591837,870
2,50,2,1,0.0056,0.383673469387755,1712
2,50,2,1,0.0056,0.356326530612245,3368
2,50,2,1,0.0056,0.313265306122449,6627
2,50,2,1,0.01,0.271224489795918,13039
2,50,2,1,0.0128,0.243469387755102,25657
2,50,2,1,0.028,0.196734693877551,50484
2,50,2,1,0.0408,0.182448979591837,99334
2,50,2,1,0.0356,0.147551020408163,195455
2,50,2,1,0.0356,0.15265306122449,384586
2,50,2,1,0.0824,0.159795918367347,756729
3,50,2,1,0.0032,0.414489795918367,1
3,50,2,1,0.0032,0.414489795918367,2
3,50,2,1,0.0032,0.414489795918367,4
3,50,2,1,0.0032,0.414081632653061,8
3,50,2,1,0.0032,0.414081632653061,15
3,50,2,1,0.0032,0.413469387755102,29
