mc,L,F,q,s_max_den,n_density,iteration
2,50,2,1,0.0032,0.42775510204081635,1
2,50,2,1,0.0032,0.42775510204081635,2
2,50,2,1,0.0032,0.42775510204081635,3
2,50,2,1,0.0032,0.42775510204081635,4
2,50,2,1,0.0032,0.42775510204081635,5
2,50,2,1,0.0032,0.42775510204081635,6
2,50,2,1,0.0032,0.4279591836734694,8
2,50,2,1,0.0032,0.4279591836734694,11
2,50,2,1,0.0032,0.4273469387755102,14
2,50,2,1,0.0032,0.42714285714285716,18
2,50,2,1,0.0032,0.4269387755102041,23
2,50,2,1,0.0032,0.4269387755102041,29
2,50,2,1,0.0032,0.42653061224489797,37
2,50,2,1,0.0032,0.4259183673469388,48
2,50,2,1,0.0032,0.4253061224489796,61
2,50,2,1,0.0032,0.42448979591836733,78
2,50,2,1,0.0032,0.4222448979591837,100
2,50,2,1,0.0032,0.42142857142857143,127
2,50,2,1,0.0032,0.4216326530612245,162
2,50,2,1,0.0032,0.41959183673469386,206
2,50,2,1,0.004,0.41714285714285715,263
2,50,2,1,0.0036,0.4136734693877551,335
2,50,2,1,0.0036,0.41061224489795917,428
2,50,2,1,0.0036,0.40755102040816327,545
2,50,2,1,0.004,0.40285714285714286,695
2,50,2,1,0.0036,0.39693877551020407,885
2,50,2,1,0.0048,0.38918367346938776,1128
2,50,2,1,0.0052,0.3787755102040816,1438
2,50,2,1,0.0056,0.37326530612244896,1832
2,50,2,1,0.0056,0.35959183673469386,2335
2,50,2,1,0.0064,0.34755102040816327,2976
2,50,2,1,0.0068,0.3279591836734694,3792
2,50,2,1,0.0064,0.3142857142857143,4832
2,50,2,1,0.006,0.29959183673469386,6158
2,50,2,1,0.0056,0.2891836734693878,7847
2,50,2,1,0.0096,0.27224489795918366,10000
2,50,2,1,0.012,0.2493877551020408,12742
2,50,2,1,0.012,0.23081632653061224,16237
2,50,2,1,0.0132,0.2206122448979592,20691
2,50,2,1,0.0132,0.20795918367346938,26366
2,50,2,1,0.0192,0.19489795918367347,33598
2,50,2,1,0.02,0.19428571428571428,42813
2,50,2,1,0.0172,0.18081632653061225,54555
2,50,2,1,0.0228,0.17591836734693878,69519
2,50,2,1,0.0304,0.16857142857142857,88586
2,50,2,1,0.0312,0.15040816326530612,112883
2,50,2,1,0.0504,0.1353061224489796,143844
2,50,2,1,0.056,0.1457142857142857,183298
2,50,2,1,0.0836,0.13959183673469389,233572
2,50,2,1,0.0892,0.11938775510204082,297635
2,50,2,1,0.0992,0.13122448979591836,379269
2,50,2,1,0.126,0.14244897959183672,483293
2,50,2,1,0.1084,0.1226530612244898,615848
2,50,2,1,0.1224,0.12897959183673469,784759
2,50,2,1,0.14,0.09938775510204081,1000000
2,50,2,1,0.11,0.12,1274274
2,50,2,1,0.0776,0.11795918367346939,1623776
2,50,2,1,0.1104,0.12408163265306123,2069138
2,50,2,1,0.1512,0.11755102040816326,2636650
2,50,2,1,0.1092,0.08591836734693878,3359818
2,50,2,1,0.0844,0.10469387755102041,4281332
2,50,2,1,0.1496,0.13510204081632654,5455594
2,50,2,1,0.14,0.11510204081632654,6951927
2,50,2,1,0.1448,0.13510204081632654,8858667
2,50,2,1,0.164,0.10551020408163266,11288378
2,50,2,1,0.1572,0.11061224489795918,14384498
2,50,2,1,0.192,0.13448979591836735,18329807
2,50,2,1,0.098,0.13612244897959183,23357214
2,50,2,1,0.1892,0.09918367346938775,29763514
2,50,2,1,0.152,0.12408163265306123,37926901
2,50,2,1,0.1456,0.1063265306122449,48329302
2,50,2,1,0.2016,0.09163265306122449,61584821
2,50,2,1,0.1868,0.11346938775510204,78475997
2,50,2,1,0.1216,0.11122448979591837,100000000
2,50,2,1,0.1452,0.10142857142857142,127427498
2,50,2,1,0.1464,0.13408163265306122,162377673
2,50,2,1,0.1512,0.10020408163265306,206913808
2,50,2,1,0.1076,0.12612244897959185,263665089
2,50,2,1,0.35,0.09551020408163265,335981828
2,50,2,1,0.3748,0.10346938775510205,428133239
2,50,2,1,0.1144,0.12775510204081633,545559478
2,50,2,1,0.1544,0.10387755102040816,695192796
2,50,2,1,0.0996,0.11326530612244898,885866790
2,50,2,1,0.296,0.1246938775510204,1128837891
2,50,2,1,0.2148,0.08489795918367347,1438449888
2,50,2,1,0.3576,0.12163265306122449,1832980710
2,50,2,1,0.3932,0.09306122448979592,2335721469
2,50,2,1,0.1716,0.11775510204081632,2976351441
2,50,2,1,0.1392,0.08959183673469388,3792690190
2,50,2,1,0.0904,0.12918367346938775,4832930238
2,50,2,1,0.2264,0.11816326530612245,6158482110
2,50,2,1,0.0836,0.10306122448979592,7847599703
2,50,2,10,0.0012,0.16020408163265307,1
2,50,2,10,0.0012,0.16020408163265307,2
2,50,2,10,0.0012,0.16020408163265307,3
2,50,2,10,0.0012,0.16020408163265307,4
2,50,2,10,0.0012,0.16020408163265307,5
2,50,2,10,0.0012,0.16020408163265307,6
2,50,2,10,0.0012,0.16020408163265307,8
2,50,2,10,0.0012,0.16020408163265307,11
2,50,2,10,0.0012,0.16020408163265307,14
2,50,2,10,0.0012,0.16020408163265307,18
2,50,2,10,0.0012,0.16,23
2,50,2,10,0.0012,0.1593877551020408,29
2,50,2,10,0.0012,0.1593877551020408,37
2,50,2,10,0.0012,0.1593877551020408,48
2,50,2,10,0.0012,0.1593877551020408,61
2,50,2,10,0.0012,0.1593877551020408,78
2,50,2,10,0.0012,0.15897959183673468,100
2,50,2,10,0.0012,0.15836734693877552,127
2,50,2,10,0.0012,0.15816326530612246,162
2,50,2,10,0.0012,0.15653061224489795,206
2,50,2,10,0.0012,0.15571428571428572,263
2,50,2,10,0.0012,0.15510204081632653,335
2,50,2,10,0.0012,0.15346938775510205,428
2,50,2,10,0.0012,0.15020408163265306,545
2,50,2,10,0.0012,0.14775510204081632,695
2,50,2,10,0.0012,0.1446938775510204,885
2,50,2,10,0.0016,0.14224489795918369,1128
2,50,2,10,0.0016,0.1377551020408163,1438
2,50,2,10,0.0016,0.13285714285714287,1832
2,50,2,10,0.0016,0.12816326530612246,2335
2,50,2,10,0.0016,0.12020408163265306,2976
2,50,2,10,0.0016,0.11469387755102041,3792
2,50,2,10,0.0016,0.10693877551020409,4832
2,50,2,10,0.0016,0.10040816326530612,6158
2,50,2,10,0.0016,0.08673469387755102,7847
2,50,2,10,0.002,0.07571428571428572,10000
2,50,2,10,0.0024,0.06408163265306123,12742
2,50,2,10,0.0024,0.05530612244897959,16237
2,50,2,10,0.0024,0.04285714285714286,20691
2,50,2,10,0.0028,0.035918367346938776,26366
2,50,2,10,0.0032,0.032857142857142856,33598
2,50,2,10,0.0028,0.024081632653061225,42813
2,50,2,10,0.004,0.025510204081632654,54555
2,50,2,10,0.004,0.026326530612244898,69519
2,50,2,10,0.004,0.022653061224489797,88586
2,50,2,10,0.004,0.024081632653061225,112883
2,50,2,10,0.0068,0.025306122448979593,143844
2,50,2,10,0.0064,0.024081632653061225,183298
2,50,2,10,0.004,0.025714285714285714,233572
2,50,2,10,0.0044,0.02346938775510204,297635
2,50,2,10,0.0048,0.024285714285714285,379269
2,50,2,10,0.0072,0.022448979591836733,483293
2,50,2,10,0.0048,0.02387755102040816,615848
2,50,2,10,0.006,0.024489795918367346,784759
2,50,2,10,0.0076,0.023061224489795917,1000000
2,50,2,10,0.0052,0.022448979591836733,1274274
2,50,2,10,0.0104,0.02142857142857143,1623776
2,50,2,10,0.0048,0.024489795918367346,2069138
2,50,2,10,0.006,0.0236734693877551,2636650
2,50,2,10,0.0052,0.027551020408163266,3359818
2,50,2,10,0.0064,0.026530612244897958,4281332
2,50,2,10,0.0052,0.0236734693877551,5455594
2,50,2,10,0.0064,0.02469387755102041,6951927
2,50,2,10,0.0072,0.022857142857142857,8858667
2,50,2,10,0.0068,0.02510204081632653,11288378
2,50,2,10,0.0068,0.022040816326530613,14384498
2,50,2,10,0.0048,0.026326530612244898,18329807
2,50,2,10,0.0064,0.02469387755102041,23357214
2,50,2,10,0.0056,0.022448979591836733,29763514
2,50,2,10,0.006,0.024489795918367346,37926901
2,50,2,10,0.0044,0.025714285714285714,48329302
2,50,2,10,0.0068,0.024489795918367346,61584821
2,50,2,10,0.0068,0.02387755102040816,78475997
2,50,2,10,0.0064,0.0236734693877551,100000000
2,50,2,10,0.0068,0.02387755102040816,127427498
2,50,2,10,0.0068,0.02510204081632653,162377673
2,50,2,10,0.0064,0.0236734693877551,206913808
2,50,2,10,0.0064,0.022653061224489797,263665089
2,50,2,10,0.0072,0.02122448979591837,335981828
2,50,2,10,0.006,0.025306122448979593,428133239
2,50,2,10,0.0076,0.022244897959183673,545559478
2,50,2,10,0.0064,0.022653061224489797,695192796
2,50,2,10,0.0056,0.02489795918367347,885866790
