mc,F,q,s_max_den,n_density,iteration
0,2,1,0.078,0.4311557788944724,1
0,2,1,0.078,0.4311557788944724,2
0,2,1,0.078,0.4311557788944724,3
0,2,1,0.078,0.4311557788944724,4
0,2,1,0.078,0.4311557788944724,5
0,2,1,0.078,0.4309547738693467,6
0,2,1,0.078,0.4309547738693467,7
0,2,1,0.078,0.4309547738693467,9
0,2,1,0.079,0.4307537688442211,11
0,2,1,0.079,0.4307537688442211,13
0,2,1,0.079,0.43055276381909546,16
0,2,1,0.079,0.43055276381909546,19
0,2,1,0.079,0.43055276381909546,23
0,2,1,0.081,0.4301507537688442,28
0,2,1,0.081,0.42974874371859295,34
0,2,1,0.081,0.42894472361809044,41
0,2,1,0.081,0.42954773869346735,50
0,2,1,0.081,0.4299497487437186,60
0,2,1,0.081,0.4291457286432161,73
0,2,1,0.081,0.42673366834170856,88
0,2,1,0.081,0.4255276381909548,106
0,2,1,0.079,0.42391959798994977,127
0,2,1,0.079,0.42231155778894475,154
0,2,1,0.08,0.4209045226130653,185
0,2,1,0.08,0.4207035175879397,223
0,2,1,0.081,0.41969849246231156,269
0,2,1,0.084,0.417286432160804,325
0,2,1,0.082,0.41165829145728644,392
0,2,1,0.092,0.4084422110552764,472
0,2,1,0.089,0.4084422110552764,569
0,2,1,0.098,0.4038190954773869,686
0,2,1,0.102,0.4,826
0,2,1,0.104,0.3965829145728643,996
0,2,1,0.105,0.3905527638190955,1201
0,2,1,0.119,0.3805025125628141,1447
0,2,1,0.118,0.3762814070351759,1744
0,2,1,0.102,0.3688442211055276,2102
0,2,1,0.107,0.3672361809045226,2533
0,2,1,0.118,0.36020100502512564,3053
0,2,1,0.118,0.3622110552763819,3679
0,2,1,0.129,0.3473366834170854,4434
0,2,1,0.142,0.33889447236180903,5344
0,2,1,0.141,0.33768844221105526,6441
0,2,1,0.139,0.3455276381909548,7762
0,2,1,0.167,0.33326633165829145,9355
0,2,1,0.168,0.33768844221105526,11274
0,2,1,0.172,0.335678391959799,13587
0,2,1,0.17,0.34251256281407033,16374
0,2,1,0.169,0.36201005025125627,19733
0,2,1,0.195,0.3453266331658291,23782
0,2,1,0.264,0.3541708542713568,28661
0,2,1,0.481,0.23236180904522613,34541
0,2,1,0.573,0.17407035175879396,41627
0,2,1,0.587,0.1871356783919598,50167
0,2,1,0.703,0.01628140703517588,60459
0,2,1,0.712,0.002412060301507538,72863
0,2,1,0.713,0.0018090452261306533,87811
0,2,1,0.713,0.0018090452261306533,105825
0,2,1,0.713,0.0018090452261306533,127535
0,2,1,0.713,0.0016080402010050252,153700
0,2,1,0.713,0.0018090452261306533,185232
0,2,1,0.713,0.0016080402010050252,223232
0,2,1,0.713,0.0018090452261306533,269029
0,2,1,0.713,0.001407035175879397,324221
0,2,1,0.713,0.0016080402010050252,390736
0,2,1,0.713,0.0016080402010050252,470896
0,2,1,0.713,0.001407035175879397,567501
0,2,1,0.713,0.0018090452261306533,683925
0,2,1,0.713,0.0016080402010050252,824234
0,2,1,0.713,0.0018090452261306533,993327
0,2,1,0.713,0.0016080402010050252,1197110
0,2,1,0.713,0.001407035175879397,1442699
0,2,1,0.713,0.001407035175879397,1738672
0,2,1,0.713,0.0018090452261306533,2095364
0,2,1,0.713,0.0018090452261306533,2525232
0,2,1,0.713,0.001407035175879397,3043288
0,2,1,0.713,0.0018090452261306533,3667625
0,2,1,0.713,0.001407035175879397,4420045
0,2,1,0.713,0.0018090452261306533,5326826
0,2,1,0.713,0.001407035175879397,6419634
0,2,1,0.713,0.0020100502512562816,7736635
0,2,1,0.713,0.0020100502512562816,9323820
0,2,1,0.713,0.0016080402010050252,11236619
0,2,1,0.713,0.0020100502512562816,13541833
0,2,1,0.713,0.0018090452261306533,16319966
0,2,1,0.713,0.0016080402010050252,19668038
0,2,1,0.713,0.001407035175879397,23702974
0,2,1,0.713,0.0018090452261306533,28565684
0,2,1,0.713,0.0016080402010050252,34425988
0,2,1,0.713,0.0016080402010050252,41488545
0,2,1,0.713,0.0016080402010050252,49999999
1,2,1,0.076,0.4245226130653266,1
1,2,1,0.076,0.42391959798994977,2
1,2,1,0.076,0.42391959798994977,3
1,2,1,0.076,0.42391959798994977,4
1,2,1,0.076,0.42391959798994977,5
1,2,1,0.076,0.42391959798994977,6
1,2,1,0.076,0.42391959798994977,7
1,2,1,0.076,0.42391959798994977,9
1,2,1,0.076,0.42391959798994977,11
1,2,1,0.076,0.4237185929648241,13
1,2,1,0.076,0.4235175879396985,16
1,2,1,0.076,0.422713567839196,19
1,2,1,0.076,0.4221105527638191,23
1,2,1,0.076,0.4221105527638191,28
1,2,1,0.076,0.42170854271356784,34
1,2,1,0.076,0.42170854271356784,41
1,2,1,0.076,0.4198994974874372,50
1,2,1,0.076,0.4198994974874372,60
1,2,1,0.077,0.41889447236180904,73
1,2,1,0.076,0.4176884422110553,88
1,2,1,0.078,0.41608040201005025,106
1,2,1,0.077,0.4150753768844221,127
1,2,1,0.077,0.4150753768844221,154
1,2,1,0.08,0.4136683417085427,185
1,2,1,0.079,0.41326633165829146,223
1,2,1,0.085,0.4112562814070352,269
1,2,1,0.089,0.4122613065326633,325
1,2,1,0.089,0.41085427135678393,392
1,2,1,0.095,0.4072361809045226,472
1,2,1,0.1,0.4030150753768844,569
1,2,1,0.103,0.40180904522613065,686
