mc,F,q,s_max_den,n_density,iteration
0,2,1,0.055,0.4284901905032698,1
0,2,1,0.055,0.4284901905032698,2
0,2,1,0.055,0.4284901905032698,3
0,2,1,0.055,0.4284901905032698,4
0,2,1,0.055,0.4284901905032698,5
0,2,1,0.055,0.4284901905032698,6
0,2,1,0.055,0.4279215240261587,7
0,2,1,0.055,0.4279215240261587,9
0,2,1,0.055,0.4279215240261587,11
0,2,1,0.055,0.4279215240261587,13
0,2,1,0.055,0.4287745237418254,16
0,2,1,0.055,0.4282058572647142,19
0,2,1,0.055,0.4282058572647142,23
0,2,1,0.055,0.42649985783338074,28
0,2,1,0.055,0.42649985783338074,34
0,2,1,0.059,0.4279215240261587,41
0,2,1,0.059,0.42621552459482515,50
0,2,1,0.059,0.4245095251634916,60
0,2,1,0.059,0.42365652544782484,73
0,2,1,0.059,0.4210975263008246,88
0,2,1,0.059,0.41967586010804664,106
0,2,1,0.059,0.41654819448393515,127
0,2,1,0.048,0.4142735285754905,154
0,2,1,0.053,0.40972419675860106,185
0,2,1,0.056,0.4080181973272676,223
0,2,1,0.055,0.4051748649417117,269
0,2,1,0.057,0.402900199033267,325
0,2,1,0.062,0.4000568666477111,392
0,2,1,0.069,0.39920386693204435,472
0,2,1,0.074,0.39579186806937733,569
0,2,1,0.077,0.3906738697753767,686
0,2,1,0.076,0.38811487062837646,826
0,2,1,0.078,0.3829968723343759,996
0,2,1,0.075,0.3798692067102644,1201
0,2,1,0.103,0.37077054307648566,1447
0,2,1,0.086,0.36423087858970715,1744
0,2,1,0.092,0.3582598805800398,2102
0,2,1,0.095,0.358828547057151,2533
0,2,1,0.117,0.3528575490474837,3053
0,2,1,0.127,0.34119988626670456,3679
0,2,1,0.121,0.3406312197895934,4434
0,2,1,0.134,0.3357975547341484,5344
0,2,1,0.14,0.3318168893943702,6441
0,2,1,0.135,0.3380722206425931,7762
0,2,1,0.153,0.3255615581461473,9355
0,2,1,0.159,0.3139038953653682,11274
0,2,1,0.117,0.3141882286039238,13587
0,2,1,0.13,0.31361956212681263,16374
0,2,1,0.14,0.32442422519192493,19733
0,2,1,0.167,0.32613022462325847,23782
0,2,1,0.187,0.3221495592834802,28661
0,2,1,0.185,0.3207278930907023,34541
0,2,1,0.168,0.3258458913847029,41627
0,2,1,0.179,0.314756895081035,50167
0,2,1,0.146,0.3227182257605914,60459
0,2,1,0.14,0.318168893943702,72863
0,2,1,0.166,0.3318168893943702,87811
0,2,1,0.16,0.32328689223770257,105825
0,2,1,0.187,0.3249928916690361,127535
0,2,1,0.158,0.3113448962183679,153700
0,2,1,0.155,0.31731589422803524,185232
0,2,1,0.165,0.31560989479670176,223232
0,2,1,0.162,0.32442422519192493,269029
0,2,1,0.181,0.3210122263292579,324221
0,2,1,0.138,0.3218652260449247,390736
0,2,1,0.156,0.31049189650270115,470896
0,2,1,0.143,0.31560989479670176,567501
0,2,1,0.138,0.3119135626954791,683925
0,2,1,0.155,0.3207278930907023,824234
0,2,1,0.144,0.3210122263292579,993327
0,2,1,0.16,0.3190218936593688,1197110
0,2,1,0.161,0.3184532271822576,1442699
0,2,1,0.165,0.3190218936593688,1738672
0,2,1,0.156,0.32044355985214673,2095364
0,2,1,0.153,0.3247085584304805,2525232
0,2,1,0.157,0.31959056013647996,3043288
0,2,1,0.156,0.3221495592834802,3667625
0,2,1,0.145,0.32413989195336934,4420045
0,2,1,0.14,0.3184532271822576,5326826
0,2,1,0.179,0.3070798976400341,6419634
0,2,1,0.184,0.3178845607051464,7736635
0,2,1,0.157,0.32669889110036965,9323820
0,2,1,0.179,0.30366789877736705,11236619
0,2,1,0.166,0.3210122263292579,13541833
0,2,1,0.137,0.32385555871481375,16319966
0,2,1,0.161,0.3153255615581462,19668038
0,2,1,0.155,0.318168893943702,23702974
0,2,1,0.151,0.33323855558714816,28565684
0,2,1,0.165,0.3255615581461473,34425988
0,2,1,0.176,0.3255615581461473,41488545
0,2,1,0.155,0.3212965595678135,49999999
1,2,1,0.044,0.42394085868638043,1
1,2,1,0.044,0.42394085868638043,2
1,2,1,0.044,0.42394085868638043,3
1,2,1,0.044,0.42394085868638043,4
1,2,1,0.044,0.42394085868638043,5
1,2,1,0.044,0.42394085868638043,6
1,2,1,0.044,0.42394085868638043,7
1,2,1,0.044,0.42394085868638043,9
1,2,1,0.044,0.42308785897071366,11
1,2,1,0.044,0.42308785897071366,13
1,2,1,0.044,0.42308785897071366,16
1,2,1,0.044,0.4219505260164913,19
1,2,1,0.044,0.42166619277793577,23
1,2,1,0.044,0.42166619277793577,28
1,2,1,0.044,0.4219505260164913,34
1,2,1,0.044,0.4219505260164913,41
1,2,1,0.044,0.4219505260164913,50
1,2,1,0.044,0.4213818595393802,60
1,2,1,0.044,0.4213818595393802,73
1,2,1,0.048,0.41996019334660223,88
1,2,1,0.048,0.4156951947682684,106
1,2,1,0.049,0.4139891953369349,127
1,2,1,0.049,0.41256752914415695,154
1,2,1,0.05,0.41256752914415695,185
1,2,1,0.05,0.4119988626670458,223
1,2,1,0.05,0.40943986352004547,269
1,2,1,0.052,0.4068808643730452,325
1,2,1,0.051,0.4051748649417117,392
1,2,1,0.052,0.4011941996019335,472
1,2,1,0.049,0.3972135342621552,569
1,2,1,0.055,0.39294853568382143,686
1,2,1,0.062,0.3838498720500427,826
1,2,1,0.069,0.37873187375604206,996
1,2,1,0.063,0.3781632072789309,1201
1,2,1,0.062,0.3770258743247086,1447
1,2,1,0.074,0.37731020756326417,1744
1,2,1,0.086,0.3693488768837077,2102
1,2,1,0.087,0.36479954506681833,2533
1,2,1,0.102,0.3591128802957066,3053
1,2,1,0.109,0.3500142166619278,3679
1,2,1,0.115,0.34404321865226045,4434
1,2,1,0.113,0.33977822007392666,5344
1,2,1,0.139,0.323002558999147,6441
1,2,1,0.132,0.3315325561558146,7762
1,2,1,0.132,0.33380722206425933,9355
1,2,1,0.132,0.3258458913847029,11274
1,2,1,0.126,0.34176855274381573,13587
1,2,1,0.133,0.33693488768837077,16374
1,2,1,0.145,0.32385555871481375,19733
1,2,1,0.161,0.3318168893943702,23782
1,2,1,0.159,0.332669889110037,28661
1,2,1,0.18,0.3357975547341484,34541
1,2,1,0.149,0.3315325561558146,41627
1,2,1,0.152,0.3298265567244811,50167
1,2,1,0.137,0.33323855558714816,60459
1,2,1,0.153,0.3150412283195906,72863
1,2,1,0.145,0.3190218936593688,87811
1,2,1,0.152,0.3249928916690361,105825
1,2,1,0.157,0.32613022462325847,127535
1,2,1,0.153,0.32413989195336934,153700
1,2,1,0.145,0.32442422519192493,185232
1,2,1,0.135,0.3340915553028149,223232
1,2,1,0.142,0.3190218936593688,269029
1,2,1,0.172,0.314756895081035,324221
1,2,1,0.178,0.3315325561558146,390736
1,2,1,0.153,0.33323855558714816,470896
1,2,1,0.167,0.3321012226329258,567501
1,2,1,0.163,0.33011088996303667,683925
1,2,1,0.142,0.3215808928063691,824234
1,2,1,0.132,0.3340915553028149,993327
1,2,1,0.14,0.34034688655103784,1197110
1,2,1,0.137,0.3323855558714814,1442699
1,2,1,0.146,0.32357122547625816,1738672
1,2,1,0.17,0.32698322433892524,2095364
1,2,1,0.173,0.327836224054592,2525232
1,2,1,0.152,0.3431902189365937,3043288
1,2,1,0.134,0.32613022462325847,3667625
1,2,1,0.149,0.3258458913847029,4420045
1,2,1,0.14,0.32385555871481375,5326826
1,2,1,0.161,0.32357122547625816,6419634
1,2,1,0.149,0.3158942280352573,7736635
1,2,1,0.15,0.3187375604208132,9323820
1,2,1,0.154,0.32357122547625816,11236619
1,2,1,0.14,0.32413989195336934,13541833
1,2,1,0.164,0.32669889110036965,16319966
1,2,1,0.152,0.3392095535968155,19668038
1,2,1,0.172,0.3249928916690361,23702974
1,2,1,0.139,0.31703156098947965,28565684
1,2,1,0.147,0.3357975547341484,34425988
1,2,1,0.166,0.32357122547625816,41488545
1,2,1,0.158,0.314756895081035,49999999
2,2,1,0.035,0.4225191924936025,1
2,2,1,0.035,0.4225191924936025,2
2,2,1,0.035,0.42166619277793577,3
2,2,1,0.035,0.42166619277793577,4
2,2,1,0.035,0.42166619277793577,5
2,2,1,0.035,0.42166619277793577,6
2,2,1,0.035,0.42166619277793577,7
2,2,1,0.035,0.42166619277793577,9
2,2,1,0.035,0.4210975263008246,11
2,2,1,0.035,0.4210975263008246,13
2,2,1,0.035,0.4210975263008246,16
2,2,1,0.035,0.4205288598237134,19
2,2,1,0.035,0.4205288598237134,23
2,2,1,0.035,0.41996019334660223,28
2,2,1,0.035,0.41996019334660223,34
2,2,1,0.035,0.41939152686949105,41
2,2,1,0.035,0.41910719363093546,50
2,2,1,0.032,0.4213818595393802,60
2,2,1,0.056,0.41910719363093546,73
2,2,1,0.055,0.41882286039237987,88
2,2,1,0.055,0.4176855274381575,106
2,2,1,0.036,0.41683252772249074,127
2,2,1,0.065,0.41512652829115726,154
2,2,1,0.065,0.4145578618140461,185
2,2,1,0.065,0.4108615297128234,223
2,2,1,0.067,0.407733864088712,269
2,2,1,0.069,0.4074495308501564,325
2,2,1,0.071,0.40574353141882286,392
2,2,1,0.063,0.40147853284048907,472
2,2,1,0.066,0.3983508672163776,569
2,2,1,0.082,0.3963605345464885,686
2,2,1,0.079,0.39465453511515497,826
2,2,1,0.112,0.38868353710548764,996
2,2,1,0.085,0.3872618709127097,1201
2,2,1,0.103,0.376741541086153,1447
2,2,1,0.105,0.37276087574637473,1744
2,2,1,0.117,0.3665055444981518,2102
2,2,1,0.113,0.3690645436451521,2533
2,2,1,0.111,0.3665055444981518,3053
2,2,1,0.121,0.362240545919818,3679
2,2,1,0.141,0.3667898777367074,4434
2,2,1,0.134,0.362240545919818,5344
2,2,1,0.165,0.3488768837077054,6441
2,2,1,0.167,0.3488768837077054,7762
2,2,1,0.158,0.3525732158089281,9355
2,2,1,0.176,0.33778788740403753,11274
2,2,1,0.174,0.3352288882570372,13587
2,2,1,0.18,0.3357975547341484,16374
2,2,1,0.178,0.3247085584304805,19733
2,2,1,0.168,0.33067955644014785,23782
2,2,1,0.156,0.331248222917259,28661
2,2,1,0.184,0.3153255615581462,34541
2,2,1,0.193,0.3295422234859255,41627
2,2,1,0.174,0.34119988626670456,50167
2,2,1,0.187,0.3275518908160364,60459
2,2,1,0.161,0.33380722206425933,72863
2,2,1,0.191,0.331248222917259,87811
2,2,1,0.163,0.3448962183679272,105825
2,2,1,0.155,0.3394938868353711,127535
2,2,1,0.174,0.3315325561558146,153700
2,2,1,0.201,0.3363662212112596,185232
2,2,1,0.217,0.33039522320159226,223232
2,2,1,0.187,0.3275518908160364,269029
2,2,1,0.174,0.34006255331248225,324221
2,2,1,0.205,0.3352288882570372,390736
2,2,1,0.158,0.3323855558714814,470896
2,2,1,0.177,0.3394938868353711,567501
2,2,1,0.174,0.3255615581461473,683925
2,2,1,0.169,0.34432755189081604,824234
2,2,1,0.178,0.33750355416548194,993327
2,2,1,0.192,0.3292578902473699,1197110
2,2,1,0.186,0.3321012226329258,1442699
2,2,1,0.175,0.33352288882570374,1738672
2,2,1,0.149,0.33494455501848164,2095364
2,2,1,0.165,0.3281205572931476,2525232
2,2,1,0.174,0.3215808928063691,3043288
2,2,1,0.176,0.33977822007392666,3667625
2,2,1,0.193,0.3298265567244811,4420045
2,2,1,0.159,0.3363662212112596,5326826
2,2,1,0.156,0.33352288882570374,6419634
2,2,1,0.157,0.3340915553028149,7736635
2,2,1,0.177,0.33750355416548194,9323820
2,2,1,0.161,0.3323855558714814,11236619
2,2,1,0.178,0.34859255046914983,13541833
2,2,1,0.19,0.3210122263292579,16319966
2,2,1,0.207,0.33295422234859257,19668038
2,2,1,0.193,0.332669889110037,23702974
2,2,1,0.194,0.345749218083594,28565684
2,2,1,0.183,0.35484788171737275,34425988
2,2,1,0.183,0.34176855274381573,41488545
2,2,1,0.166,0.3315325561558146,49999999
0,2,10,0.002,0.15524594825135057,1
0,2,10,0.002,0.15524594825135057,2
0,2,10,0.002,0.15524594825135057,3
0,2,10,0.002,0.15524594825135057,4
0,2,10,0.002,0.15524594825135057,5
0,2,10,0.002,0.15524594825135057,6
0,2,10,0.002,0.15524594825135057,7
0,2,10,0.002,0.15524594825135057,9
0,2,10,0.002,0.15524594825135057,11
0,2,10,0.002,0.15524594825135057,13
0,2,10,0.002,0.15524594825135057,16
0,2,10,0.002,0.15524594825135057,19
0,2,10,0.002,0.15524594825135057,23
0,2,10,0.002,0.15553028148990616,28
0,2,10,0.002,0.15496161501279498,34
0,2,10,0.002,0.15496161501279498,41
0,2,10,0.002,0.15467728177423942,50
0,2,10,0.002,0.15382428205857265,60
0,2,10,0.002,0.15297128234290588,73
0,2,10,0.003,0.1524026158657947,88
0,2,10,0.003,0.15211828262723912,106
0,2,10,0.003,0.15211828262723912,127
0,2,10,0.003,0.15183394938868353,154
0,2,10,0.003,0.15126528291157237,185
0,2,10,0.003,0.1506966164344612,223
0,2,10,0.003,0.15012794995735002,269
0,2,10,0.003,0.14899061700312766,325
0,2,10,0.003,0.14700028433323856,392
0,2,10,0.004,0.14500995166334946,472
0,2,10,0.005,0.1438726187091271,569
0,2,10,0.005,0.1421666192777936,686
0,2,10,0.005,0.14017628660790446,826
0,2,10,0.005,0.13761728746090418,996
0,2,10,0.006,0.13420528859823713,1201
0,2,10,0.005,0.12937162354279216,1447
0,2,10,0.005,0.12880295706568098,1744
0,2,10,0.005,0.12311629229456923,2102
0,2,10,0.006,0.11856696047767984,2533
0,2,10,0.006,0.1148706283764572,3053
0,2,10,0.006,0.10719363093545635,3679
0,2,10,0.006,0.10406596531134489,4434
0,2,10,0.006,0.09866363377878874,5344
0,2,10,0.006,0.09354563548478817,6441
0,2,10,0.005,0.09041796986067671,7762
