mc,F,q,s_max_den,n_density,iteration
0,2,1,0.021,0.44144144144144143,1
0,2,1,0.021,0.44044044044044045,2
0,2,1,0.021,0.4394394394394394,3
0,2,1,0.021,0.43843843843843844,4
0,2,1,0.021,0.43843843843843844,5
0,2,1,0.021,0.43843843843843844,6
0,2,1,0.021,0.43843843843843844,7
0,2,1,0.021,0.43843843843843844,9
0,2,1,0.021,0.43843843843843844,11
0,2,1,0.021,0.43843843843843844,13
0,2,1,0.021,0.43743743743743746,16
0,2,1,0.021,0.43743743743743746,19
0,2,1,0.021,0.43743743743743746,23
0,2,1,0.021,0.43543543543543545,28
0,2,1,0.021,0.4344344344344344,34
0,2,1,0.021,0.43343343343343343,41
0,2,1,0.021,0.43243243243243246,50
0,2,1,0.021,0.43243243243243246,60
0,2,1,0.021,0.42742742742742745,73
0,2,1,0.021,0.4244244244244244,88
0,2,1,0.021,0.4214214214214214,106
0,2,1,0.022,0.4174174174174174,127
0,2,1,0.023,0.4124124124124124,154
0,2,1,0.023,0.4034034034034034,185
0,2,1,0.024,0.3933933933933934,223
0,2,1,0.025,0.38738738738738737,269
0,2,1,0.026,0.37537537537537535,325
0,2,1,0.027,0.36036036036036034,392
0,2,1,0.028,0.3483483483483483,472
0,2,1,0.029,0.33233233233233234,569
0,2,1,0.031,0.3133133133133133,686
0,2,1,0.034,0.2962962962962963,826
0,2,1,0.04,0.28128128128128127,996
0,2,1,0.044,0.26126126126126126,1201
0,2,1,0.051,0.23623623623623624,1447
0,2,1,0.057,0.2182182182182182,1744
0,2,1,0.064,0.19019019019019018,2102
0,2,1,0.073,0.15815815815815815,2533
0,2,1,0.082,0.14314314314314314,3053
0,2,1,0.094,0.11811811811811812,3679
0,2,1,0.105,0.1011011011011011,4434
0,2,1,0.116,0.08608608608608609,5344
0,2,1,0.128,0.07407407407407407,6441
0,2,1,0.145,0.0960960960960961,7762
0,2,1,0.191,0.06806806806806807,9355
0,2,1,0.246,0.05005005005005005,11274
0,2,1,0.282,0.018018018018018018,13587
0,2,1,0.319,0.016016016016016016,16374
0,2,1,0.333,0.011011011011011011,19733
0,2,1,0.343,0.004004004004004004,23782
0,2,1,0.349,0.0,28661
0,2,1,0.349,0.0,34541
0,2,1,0.349,0.0,41627
0,2,1,0.349,0.0,50167
0,2,1,0.349,0.0,60459
0,2,1,0.349,0.0,72863
0,2,1,0.349,0.0,87811
0,2,1,0.349,0.0,105825
0,2,1,0.349,0.0,127535
0,2,1,0.349,0.0,153700
0,2,1,0.349,0.0,185232
0,2,1,0.349,0.0,223232
0,2,1,0.349,0.0,269029
0,2,1,0.349,0.0,324221
0,2,1,0.349,0.0,390736
0,2,1,0.349,0.0,470896
0,2,1,0.349,0.0,567501
0,2,1,0.349,0.0,683925
0,2,1,0.349,0.0,824234
0,2,1,0.349,0.0,993327
0,2,1,0.349,0.0,1197110
0,2,1,0.349,0.0,1442699
0,2,1,0.349,0.0,1738672
0,2,1,0.349,0.0,2095364
0,2,1,0.349,0.0,2525232
0,2,1,0.349,0.0,3043288
0,2,1,0.349,0.0,3667625
0,2,1,0.349,0.0,4420045
0,2,1,0.349,0.0,5326826
0,2,1,0.349,0.0,6419634
0,2,1,0.349,0.0,7736635
0,2,1,0.349,0.0,9323820
0,2,1,0.349,0.0,11236619
0,2,1,0.349,0.0,13541833
0,2,1,0.349,0.0,16319966
0,2,1,0.349,0.0,19668038
0,2,1,0.349,0.0,23702974
0,2,1,0.349,0.0,28565684
0,2,1,0.349,0.0,34425988
0,2,1,0.349,0.0,41488545
0,2,1,0.349,0.0,49999999
1,2,1,0.023,0.45245245245245247,1
1,2,1,0.023,0.45245245245245247,2
1,2,1,0.023,0.45245245245245247,3
1,2,1,0.023,0.45245245245245247,4
1,2,1,0.023,0.45245245245245247,5
1,2,1,0.023,0.45145145145145144,6
1,2,1,0.023,0.45045045045045046,7
1,2,1,0.023,0.45045045045045046,9
1,2,1,0.023,0.4494494494494494,11
1,2,1,0.023,0.4494494494494494,13
1,2,1,0.023,0.4494494494494494,16
1,2,1,0.023,0.4494494494494494,19
1,2,1,0.023,0.44844844844844844,23
1,2,1,0.023,0.44844844844844844,28
1,2,1,0.024,0.44744744744744747,34
1,2,1,0.025,0.44344344344344344,41
1,2,1,0.025,0.44344344344344344,50
1,2,1,0.026,0.44244244244244246,60
1,2,1,0.028,0.44044044044044045,73
1,2,1,0.028,0.4364364364364364,88
1,2,1,0.029,0.4314314314314314,106
1,2,1,0.029,0.42842842842842843,127
1,2,1,0.031,0.42242242242242245,154
1,2,1,0.031,0.4164164164164164,185
1,2,1,0.032,0.4074074074074074,223
1,2,1,0.033,0.3973973973973974,269
1,2,1,0.045,0.3893893893893894,325
