mc,F,q,s_max_den,n_density,iteration
0,2,1,0.127,0.42740863787375416,1
0,2,1,0.127,0.42740863787375416,2
0,2,1,0.127,0.42641196013289034,3
0,2,1,0.127,0.42641196013289034,4
0,2,1,0.127,0.42641196013289034,5
0,2,1,0.127,0.42641196013289034,6
0,2,1,0.127,0.42641196013289034,7
0,2,1,0.127,0.42641196013289034,9
0,2,1,0.127,0.42641196013289034,11
0,2,1,0.127,0.42591362126245846,13
0,2,1,0.127,0.42591362126245846,16
0,2,1,0.127,0.42591362126245846,19
0,2,1,0.127,0.42591362126245846,23
0,2,1,0.127,0.4262458471760797,28
0,2,1,0.127,0.42574750830564784,34
0,2,1,0.127,0.4247508305647841,41
0,2,1,0.127,0.4247508305647841,50
0,2,1,0.129,0.42508305647840533,60
0,2,1,0.129,0.423421926910299,73
0,2,1,0.129,0.4232558139534884,88
0,2,1,0.129,0.42225913621262456,106
0,2,1,0.127,0.4219269102990033,127
0,2,1,0.127,0.4225913621262459,154
0,2,1,0.125,0.423421926910299,185
0,2,1,0.13,0.4196013289036545,223
0,2,1,0.128,0.41777408637873753,269
0,2,1,0.129,0.41661129568106314,325
0,2,1,0.128,0.4156146179401993,392
0,2,1,0.133,0.4117940199335548,472
0,2,1,0.136,0.407641196013289,569
0,2,1,0.135,0.40299003322259136,686
0,2,1,0.136,0.3953488372093023,826
0,2,1,0.144,0.39285714285714285,996
0,2,1,0.144,0.39219269102990034,1201
0,2,1,0.142,0.39136212624584715,1447
0,2,1,0.143,0.39235880398671097,1744
0,2,1,0.149,0.39069767441860465,2102
0,2,1,0.144,0.38787375415282394,2533
0,2,1,0.163,0.3825581395348837,3053
0,2,1,0.144,0.373421926910299,3679
0,2,1,0.132,0.3780730897009967,4434
0,2,1,0.147,0.3676079734219269,5344
0,2,1,0.151,0.3667774086378738,6441
0,2,1,0.163,0.3710963455149502,7762
0,2,1,0.158,0.37059800664451825,9355
0,2,1,0.162,0.3631229235880399,11274
0,2,1,0.169,0.36727574750830566,13587
0,2,1,0.18,0.38056478405315614,16374
0,2,1,0.169,0.3732558139534884,19733
0,2,1,0.181,0.38222591362126246,23782
0,2,1,0.175,0.3777408637873754,28661
0,2,1,0.157,0.3682724252491694,34541
0,2,1,0.169,0.3795681063122924,41627
0,2,1,0.142,0.35830564784053154,50167
0,2,1,0.182,0.3666112956810631,60459
0,2,1,0.165,0.3646179401993355,72863
0,2,1,0.211,0.35199335548172755,87811
0,2,1,0.201,0.35863787375415285,105825
0,2,1,0.175,0.3739202657807309,127535
0,2,1,0.176,0.3591362126245847,153700
0,2,1,0.206,0.3696013289036545,185232
0,2,1,0.169,0.3777408637873754,223232
0,2,1,0.17,0.3687707641196013,269029
0,2,1,0.202,0.36196013289036544,324221
0,2,1,0.195,0.3760797342192691,390736
0,2,1,0.199,0.37358803986710964,470896
0,2,1,0.2,0.3722591362126246,567501
0,2,1,0.186,0.37358803986710964,683925
0,2,1,0.171,0.36428571428571427,824234
0,2,1,0.174,0.35996677740863786,993327
0,2,1,0.165,0.35930232558139535,1197110
0,2,1,0.211,0.3483388704318937,1442699
0,2,1,0.151,0.35448504983388707,1738672
0,2,1,0.204,0.37641196013289036,2095364
0,2,1,0.173,0.3681063122923588,2525232
0,2,1,0.181,0.37790697674418605,3043288
0,2,1,0.16,0.34983388704318935,3667625
0,2,1,0.187,0.36644518272425247,4420045
0,2,1,0.191,0.3624584717607973,5326826
0,2,1,0.167,0.37059800664451825,6419634
0,2,1,0.177,0.3717607973421927,7736635
0,2,1,0.179,0.35996677740863786,9323820
0,2,1,0.163,0.3624584717607973,11236619
0,2,1,0.215,0.3644518272425249,13541833
0,2,1,0.198,0.3674418604651163,16319966
0,2,1,0.181,0.3646179401993355,19668038
0,2,1,0.171,0.35398671096345513,23702974
0,2,1,0.204,0.363953488372093,28565684
0,2,1,0.195,0.36727574750830566,34425988
0,2,1,0.193,0.35564784053156145,41488545
0,2,1,0.181,0.34551495016611294,49999999
1,2,1,0.12,0.41661129568106314,1
1,2,1,0.12,0.41661129568106314,2
1,2,1,0.12,0.41661129568106314,3
1,2,1,0.12,0.41661129568106314,4
1,2,1,0.12,0.41661129568106314,5
1,2,1,0.12,0.41661129568106314,6
1,2,1,0.12,0.41661129568106314,7
1,2,1,0.12,0.41661129568106314,9
1,2,1,0.12,0.41661129568106314,11
1,2,1,0.12,0.41661129568106314,13
1,2,1,0.12,0.41661129568106314,16
1,2,1,0.119,0.4159468438538206,19
1,2,1,0.119,0.41578073089700995,23
1,2,1,0.118,0.41578073089700995,28
1,2,1,0.118,0.4159468438538206,34
1,2,1,0.118,0.4149501661129568,41
1,2,1,0.118,0.4147840531561462,50
1,2,1,0.118,0.4147840531561462,60
1,2,1,0.119,0.41511627906976745,73
1,2,1,0.117,0.41677740863787377,88
1,2,1,0.117,0.4156146179401993,106
1,2,1,0.122,0.4159468438538206,127
1,2,1,0.116,0.41578073089700995,154
1,2,1,0.117,0.4152823920265781,185
1,2,1,0.12,0.41511627906976745,223
1,2,1,0.119,0.4152823920265781,269
1,2,1,0.121,0.41461794019933557,325
1,2,1,0.122,0.41013289036544853,392
1,2,1,0.123,0.407641196013289,472
1,2,1,0.115,0.4059800664451827,569
1,2,1,0.119,0.40581395348837207,686
1,2,1,0.123,0.4011627906976744,826
1,2,1,0.134,0.4019933554817276,996
1,2,1,0.134,0.39584717607973424,1201
1,2,1,0.129,0.38637873754152824,1447
1,2,1,0.135,0.38853820598006644,1744
1,2,1,0.148,0.38787375415282394,2102
1,2,1,0.147,0.38372093023255816,2533
1,2,1,0.154,0.3782392026578073,3053
1,2,1,0.159,0.37259136212624583,3679
1,2,1,0.177,0.3681063122923588,4434
1,2,1,0.156,0.36345514950166113,5344
