mc,L,F,q,s_max_den,n_density,iteration
0,50,2,1,0.0028,0.41653061224489796,1
0,50,2,1,0.0028,0.41653061224489796,2
0,50,2,1,0.0028,0.41653061224489796,3
0,50,2,1,0.0028,0.41653061224489796,4
0,50,2,1,0.0028,0.416734693877551,5
0,50,2,1,0.0028,0.416734693877551,6
0,50,2,1,0.0028,0.4163265306122449,8
0,50,2,1,0.0028,0.4163265306122449,11
0,50,2,1,0.0028,0.41591836734693877,14
0,50,2,1,0.0028,0.4153061224489796,18
0,50,2,1,0.0028,0.4153061224489796,23
0,50,2,1,0.0028,0.4144897959183673,29
0,50,2,1,0.0028,0.41408163265306125,37
0,50,2,1,0.0028,0.4138775510204082,48
0,50,2,1,0.0028,0.413265306122449,61
0,50,2,1,0.0028,0.413265306122449,78
0,50,2,1,0.0028,0.4126530612244898,100
0,50,2,1,0.0028,0.41122448979591836,127
0,50,2,1,0.0028,0.41,162
0,50,2,1,0.0028,0.40877551020408165,206
0,50,2,1,0.0028,0.40775510204081633,263
0,50,2,1,0.0028,0.4061224489795918,335
0,50,2,1,0.0028,0.4010204081632653,428
0,50,2,1,0.0028,0.3983673469387755,545
0,50,2,1,0.0044,0.39571428571428574,695
0,50,2,1,0.0044,0.3873469387755102,885
0,50,2,1,0.0044,0.3806122448979592,1128
0,50,2,1,0.0048,0.3730612244897959,1438
0,50,2,1,0.0044,0.36306122448979594,1832
0,50,2,1,0.0044,0.35408163265306125,2335
0,50,2,1,0.0048,0.3414285714285714,2976
0,50,2,1,0.0052,0.32081632653061226,3792
0,50,2,1,0.0052,0.3053061224489796,4832
0,50,2,1,0.0052,0.29551020408163264,6158
0,50,2,1,0.0048,0.2830612244897959,7847
0,50,2,1,0.0068,0.2602040816326531,10000
0,50,2,1,0.0068,0.2473469387755102,12742
0,50,2,1,0.008,0.23122448979591836,16237
0,50,2,1,0.0112,0.22102040816326532,20691
0,50,2,1,0.0132,0.21551020408163266,26366
0,50,2,1,0.0172,0.2004081632653061,33598
0,50,2,1,0.0168,0.1946938775510204,42813
0,50,2,1,0.018,0.19224489795918367,54555
0,50,2,1,0.0252,0.1773469387755102,69519
0,50,2,1,0.0304,0.18693877551020407,88586
0,50,2,1,0.0412,0.1636734693877551,112883
0,50,2,1,0.0348,0.16428571428571428,143844
0,50,2,1,0.0444,0.15285714285714286,183298
0,50,2,1,0.0384,0.1306122448979592,233572
0,50,2,1,0.0448,0.12183673469387755,297635
0,50,2,1,0.0772,0.12510204081632653,379269
0,50,2,1,0.0832,0.14122448979591837,483293
0,50,2,1,0.1044,0.14224489795918369,615848
0,50,2,1,0.0684,0.14775510204081632,784759
0,50,2,1,0.0608,0.14714285714285713,1000000
0,50,2,1,0.0788,0.15489795918367347,1274274
0,50,2,1,0.1328,0.11673469387755102,1623776
0,50,2,1,0.08,0.12224489795918367,2069138
0,50,2,1,0.0664,0.12285714285714286,2636650
0,50,2,1,0.1088,0.11959183673469388,3359818
0,50,2,1,0.0808,0.11959183673469388,4281332
0,50,2,1,0.0948,0.11387755102040817,5455594
0,50,2,1,0.1076,0.12020408163265306,6951927
0,50,2,1,0.0652,0.13040816326530613,8858667
0,50,2,1,0.0928,0.10204081632653061,11288378
0,50,2,1,0.0792,0.0953061224489796,14384498
0,50,2,1,0.2152,0.09142857142857143,18329807
0,50,2,1,0.1156,0.1446938775510204,23357214
0,50,2,1,0.1056,0.11326530612244898,29763514
0,50,2,1,0.1828,0.1110204081632653,37926901
0,50,2,1,0.1712,0.10693877551020409,48329302
0,50,2,1,0.0928,0.11183673469387755,61584821
0,50,2,1,0.1296,0.1136734693877551,78475997
0,50,2,1,0.2048,0.14204081632653062,100000000
0,50,2,1,0.1188,0.12816326530612246,127427498
0,50,2,1,0.076,0.13755102040816328,162377673
0,50,2,1,0.1568,0.12653061224489795,206913808
0,50,2,1,0.1684,0.09448979591836734,263665089
0,50,2,1,0.1108,0.09061224489795919,335981828
0,50,2,1,0.106,0.09163265306122449,428133239
0,50,2,1,0.1368,0.12571428571428572,545559478
0,50,2,1,0.198,0.14408163265306123,695192796
0,50,2,1,0.1024,0.11938775510204082,885866790
0,50,2,1,0.1188,0.1110204081632653,1128837891
0,50,2,1,0.1344,0.09857142857142857,1438449888
0,50,2,1,0.1264,0.09122448979591836,1832980710
0,50,2,1,0.138,0.11448979591836735,2335721469
0,50,2,1,0.1004,0.14775510204081632,2976351441
0,50,2,1,0.146,0.07244897959183673,3792690190
0,50,2,1,0.1716,0.06428571428571428,4832930238
0,50,2,1,0.1768,0.09591836734693877,6158482110
0,50,2,1,0.0776,0.13142857142857142,7847599703
0,50,2,10,0.0012,0.16326530612244897,1
0,50,2,10,0.0012,0.16346938775510203,2
0,50,2,10,0.0012,0.16346938775510203,3
0,50,2,10,0.0012,0.16346938775510203,4
0,50,2,10,0.0012,0.16306122448979593,5
0,50,2,10,0.0012,0.16306122448979593,6
0,50,2,10,0.0012,0.16306122448979593,8
0,50,2,10,0.0012,0.16306122448979593,11
0,50,2,10,0.0012,0.16306122448979593,14
0,50,2,10,0.0012,0.16306122448979593,18
0,50,2,10,0.0012,0.16306122448979593,23
0,50,2,10,0.0012,0.16306122448979593,29
0,50,2,10,0.0012,0.16306122448979593,37
0,50,2,10,0.0012,0.16306122448979593,48
0,50,2,10,0.0012,0.16306122448979593,61
0,50,2,10,0.0012,0.1626530612244898,78
0,50,2,10,0.0012,0.1620408163265306,100
0,50,2,10,0.0012,0.16040816326530613,127
0,50,2,10,0.0012,0.15979591836734694,162
0,50,2,10,0.0012,0.1593877551020408,206
0,50,2,10,0.0012,0.15836734693877552,263
0,50,2,10,0.0012,0.156734693877551,335
0,50,2,10,0.0012,0.15428571428571428,428
0,50,2,10,0.0012,0.1520408163265306,545
0,50,2,10,0.0012,0.15,695
0,50,2,10,0.0012,0.14653061224489797,885
0,50,2,10,0.0012,0.1430612244897959,1128
0,50,2,10,0.0012,0.13816326530612244,1438
0,50,2,10,0.0012,0.13326530612244897,1832
0,50,2,10,0.0012,0.1279591836734694,2335
0,50,2,10,0.0012,0.11959183673469388,2976
0,50,2,10,0.0016,0.11326530612244898,3792
0,50,2,10,0.0016,0.10857142857142857,4832
0,50,2,10,0.0016,0.09918367346938775,6158
0,50,2,10,0.0024,0.09061224489795919,7847
0,50,2,10,0.0028,0.07877551020408163,10000
0,50,2,10,0.0024,0.0663265306122449,12742
0,50,2,10,0.0028,0.05673469387755102,16237
0,50,2,10,0.0028,0.04775510204081632,20691
0,50,2,10,0.0032,0.03959183673469388,26366
0,50,2,10,0.0036,0.03571428571428571,33598
0,50,2,10,0.004,0.028979591836734694,42813
0,50,2,10,0.0052,0.02469387755102041,54555
0,50,2,10,0.0064,0.02142857142857143,69519
0,50,2,10,0.0064,0.022040816326530613,88586
0,50,2,10,0.0064,0.022040816326530613,112883
0,50,2,10,0.0072,0.022244897959183673,143844
0,50,2,10,0.0064,0.02387755102040816,183298
0,50,2,10,0.0064,0.02510204081632653,233572
0,50,2,10,0.0064,0.0236734693877551,297635
0,50,2,10,0.0064,0.022653061224489797,379269
0,50,2,10,0.0064,0.02122448979591837,483293
0,50,2,10,0.0064,0.02122448979591837,615848
0,50,2,10,0.0064,0.022857142857142857,784759
0,50,2,10,0.008,0.0236734693877551,1000000
0,50,2,10,0.0064,0.02326530612244898,1274274
0,50,2,10,0.0064,0.02387755102040816,1623776
0,50,2,10,0.0064,0.024285714285714285,2069138
0,50,2,10,0.0064,0.022653061224489797,2636650
0,50,2,10,0.0064,0.024285714285714285,3359818
0,50,2,10,0.0064,0.023061224489795917,4281332
0,50,2,10,0.0064,0.02469387755102041,5455594
0,50,2,10,0.0064,0.022448979591836733,6951927
0,50,2,10,0.0064,0.022040816326530613,8858667
0,50,2,10,0.0064,0.02489795918367347,11288378
0,50,2,10,0.008,0.022040816326530613,14384498
0,50,2,10,0.0064,0.022448979591836733,18329807
0,50,2,10,0.0072,0.021836734693877553,23357214
0,50,2,10,0.0064,0.02387755102040816,29763514
0,50,2,10,0.0064,0.02122448979591837,37926901
0,50,2,10,0.0064,0.023061224489795917,48329302
0,50,2,10,0.0064,0.022857142857142857,61584821
0,50,2,10,0.0068,0.022040816326530613,78475997
0,50,2,10,0.0076,0.023061224489795917,100000000
0,50,2,10,0.0064,0.022244897959183673,127427498
0,50,2,10,0.0064,0.02163265306122449,162377673
0,50,2,10,0.0064,0.022448979591836733,206913808
