"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,6778387,"Albania","ALB"
1,2,308316,"Albania","ALB"
1,3,127895,"Albania","ALB"
1,4,156485,"Albania","ALB"
1,5,68877,"Albania","ALB"
1,6,54799,"Albania","ALB"
1,7,327145,"Albania","ALB"
1,8,32064,"Albania","ALB"
1,9,39395,"Albania","ALB"
1,10,45781,"Albania","ALB"
1,11,36100,"Albania","ALB"
1,12,52946,"Albania","ALB"
2,1,308316,"Albania","ALB"
2,2,1716808,"Albania","ALB"
2,3,252358,"Albania","ALB"
2,4,216101,"Albania","ALB"
2,5,102996,"Albania","ALB"
2,6,147435,"Albania","ALB"
2,7,274742,"Albania","ALB"
2,8,127951,"Albania","ALB"
2,9,102874,"Albania","ALB"
2,10,151590,"Albania","ALB"
2,11,116112,"Albania","ALB"
2,12,124478,"Albania","ALB"
3,1,127895,"Albania","ALB"
3,2,252358,"Albania","ALB"
3,3,12932396,"Albania","ALB"
3,4,133335,"Albania","ALB"
3,5,155952,"Albania","ALB"
3,6,52329,"Albania","ALB"
3,7,445850,"Albania","ALB"
3,8,40421,"Albania","ALB"
3,9,50275,"Albania","ALB"
3,10,58968,"Albania","ALB"
3,11,42226,"Albania","ALB"
3,12,59079,"Albania","ALB"
4,1,156485,"Albania","ALB"
4,2,216101,"Albania","ALB"
4,3,133335,"Albania","ALB"
4,4,7131087,"Albania","ALB"
4,5,523769,"Albania","ALB"
4,6,44931,"Albania","ALB"
4,7,282948,"Albania","ALB"
4,8,35457,"Albania","ALB"
4,9,44513,"Albania","ALB"
4,10,58532,"Albania","ALB"
4,11,45270,"Albania","ALB"
4,12,72837,"Albania","ALB"
5,1,68877,"Albania","ALB"
5,2,102996,"Albania","ALB"
5,3,155952,"Albania","ALB"
5,4,523769,"Albania","ALB"
5,5,5182109,"Albania","ALB"
5,6,48467,"Albania","ALB"
5,7,206920,"Albania","ALB"
5,8,40491,"Albania","ALB"
5,9,44117,"Albania","ALB"
5,10,56425,"Albania","ALB"
5,11,47809,"Albania","ALB"
5,12,68282,"Albania","ALB"
6,1,54799,"Albania","ALB"
6,2,147435,"Albania","ALB"
6,3,52329,"Albania","ALB"
6,4,44931,"Albania","ALB"
6,5,48467,"Albania","ALB"
6,6,2588872,"Albania","ALB"
6,7,201688,"Albania","ALB"
6,8,104064,"Albania","ALB"
6,9,106741,"Albania","ALB"
6,10,60583,"Albania","ALB"
6,11,138810,"Albania","ALB"
6,12,81669,"Albania","ALB"
7,1,327145,"Albania","ALB"
7,2,274742,"Albania","ALB"
7,3,445850,"Albania","ALB"
7,4,282948,"Albania","ALB"
7,5,206920,"Albania","ALB"
7,6,201688,"Albania","ALB"
7,7,687598,"Albania","ALB"
7,8,215217,"Albania","ALB"
7,9,176012,"Albania","ALB"
7,10,416672,"Albania","ALB"
7,11,236013,"Albania","ALB"
7,12,249792,"Albania","ALB"
8,1,32064,"Albania","ALB"
8,2,127951,"Albania","ALB"
8,3,40421,"Albania","ALB"
8,4,35457,"Albania","ALB"
8,5,40491,"Albania","ALB"
8,6,104064,"Albania","ALB"
8,7,215217,"Albania","ALB"
8,8,4336770,"Albania","ALB"
8,9,230591,"Albania","ALB"
8,10,121752,"Albania","ALB"
8,11,57143,"Albania","ALB"
8,12,147868,"Albania","ALB"
9,1,39395,"Albania","ALB"
9,2,102874,"Albania","ALB"
9,3,50275,"Albania","ALB"
9,4,44513,"Albania","ALB"
9,5,44117,"Albania","ALB"
9,6,106741,"Albania","ALB"
9,7,176012,"Albania","ALB"
9,8,230591,"Albania","ALB"
9,9,1833389,"Albania","ALB"
9,10,133530,"Albania","ALB"
9,11,52252,"Albania","ALB"
9,12,202892,"Albania","ALB"
10,1,45781,"Albania","ALB"
10,2,151590,"Albania","ALB"
10,3,58968,"Albania","ALB"
10,4,58532,"Albania","ALB"
10,5,56425,"Albania","ALB"
10,6,60583,"Albania","ALB"
10,7,416672,"Albania","ALB"
10,8,121752,"Albania","ALB"
10,9,133530,"Albania","ALB"
10,10,17227532,"Albania","ALB"
10,11,96718,"Albania","ALB"
10,12,672714,"Albania","ALB"
11,1,36100,"Albania","ALB"
11,2,116112,"Albania","ALB"
11,3,42226,"Albania","ALB"
11,4,45270,"Albania","ALB"
11,5,47809,"Albania","ALB"
11,6,138810,"Albania","ALB"
11,7,236013,"Albania","ALB"
11,8,57143,"Albania","ALB"
11,9,52252,"Albania","ALB"
11,10,96718,"Albania","ALB"
11,11,4225596,"Albania","ALB"
11,12,81617,"Albania","ALB"
12,1,52946,"Albania","ALB"
12,2,124478,"Albania","ALB"
12,3,59079,"Albania","ALB"
12,4,72837,"Albania","ALB"
12,5,68282,"Albania","ALB"
12,6,81669,"Albania","ALB"
12,7,249792,"Albania","ALB"
12,8,147868,"Albania","ALB"
12,9,202892,"Albania","ALB"
12,10,672714,"Albania","ALB"
12,11,81617,"Albania","ALB"
12,12,4128481,"Albania","ALB"
