"nodeCode","nodeID","name","longitude","latitude"
"AL011",1,"Dibër",20.2732626893672,41.5996630388205
"AL012",2,"Durrës",19.6730221979165,41.4647123920085
"AL013",3,"Kukës",20.2478198287619,42.1869329836015
"AL014",4,"Lezhë",19.8520727471747,41.7848159604964
"AL015",5,"Shkodër",19.7116591564345,42.1566844602121
"AL021",6,"Elbasan",20.2054531136836,41.066520065481
"AL022",7,"Tiranë",19.7974666303418,41.2650288127242
"AL031",8,"Berat",20.0806937703116,40.6440859325893
"AL032",9,"Fier",19.6356687004228,40.7396514677682
"AL033",10,"Gjirokastër",20.2085062307609,40.1875969469653
"AL034",11,"Korcë",20.6627952633927,40.629884957475
"AL035",12,"Vlorë",19.7991338552632,40.1660642764651
