"nodeCode","nodeID","name","longitude","latitude"
"ARG1",1,"Buenos Aires",-60.5659784647093,-36.6835266237387
"ARG2",2,"Catamarca",-66.9524445019743,-27.332183212135
"ARG3",3,"Chaco",-60.7667418354152,-26.3873749502849
"ARG4",4,"Chubut",-68.5232167024709,-43.7896261103271
"ARG5",5,"Ciudad de Buenos Aires",-58.4444358532176,-34.6176779905446
"ARG6",6,"Córdoba",-63.7995477695904,-32.1412180975196
"ARG7",7,"Corrientes",-57.8058586394727,-28.7765197926962
"ARG8",8,"Entre Ríos",-59.2075403475487,-32.0460323619065
"ARG9",9,"Formosa",-59.9343403539625,-24.8944347108298
"ARG10",10,"Jujuy",-65.7621906635682,-23.3174642323567
"ARG11",11,"La Pampa",-65.448337744583,-37.1303109308699
"ARG12",12,"La Rioja",-67.178292802241,-29.6798855576656
"ARG13",13,"Mendoza",-68.5866790484734,-34.6286514749123
"ARG14",14,"Misiones",-54.6472770098763,-26.8748759560251
"ARG15",15,"Neuquén",-70.1179788964253,-38.6356253961511
"ARG16",16,"Río Negro",-67.2290014357569,-40.4068106552006
"ARG17",17,"Salta",-64.8199413881965,-24.296089619657
"ARG18",18,"San Juan",-68.8749604524329,-30.8642401110377
"ARG19",19,"San Luis",-66.0299299876374,-33.7674126537823
"ARG20",20,"Santa Cruz",-69.9414415931339,-48.8127067108716
"ARG21",21,"Santa Fe",-60.9507086654607,-30.7035381429487
"ARG22",22,"Santiago del Estero",-63.2584765810342,-27.7822284337689
"ARG23",23,"Tierra del Fuego",-67.4013514492023,-54.3320213357079
"ARG24",24,"Tucumán",-65.3656983589551,-26.9437919642194
