"nodeCode","nodeID","name","longitude","latitude"
"AT111",1,"Mittelburgenland",16.4453129436538,47.4951263168262
"AT112",2,"Nordburgenland",16.7763887840861,47.8576646625801
"AT113",3,"Südburgenland",16.2461123955908,47.1502439234387
"AT121",4,"Mostviertel-Eisenwurzen",15.0070297887304,48.0609603201999
"AT122",5,"Niederösterreich-Süd",15.9129894008165,47.7890369709999
"AT123",6,"Sankt Pölten",15.655332165167,48.1694406639031
"AT124",7,"Waldviertel",15.3106966754559,48.634231409241
"AT125",8,"Weinviertel",16.3160830010067,48.6040242645437
"AT126",9,"Wiener Umland/Nordteil",16.3516613046099,48.323292467635
"AT127",10,"Wiener Umland/Südteil",16.4911513020728,48.0608213674862
"AT130",11,"Wien",16.3858746207137,48.1890481032045
"AT211",12,"Klagenfurt-Villach",14.0092436670641,46.6033394142899
"AT212",13,"Oberkärnten",13.3054323058035,46.8448904105893
"AT213",14,"Unterkärnten",14.5787247330686,46.7662482567183
"AT221",15,"Graz",15.3470148173482,47.1291351321653
"AT222",16,"Liezen",14.2217941360171,47.5080890911872
"AT223",17,"Östliche Obersteiermark",15.2082784754548,47.5036200171352
"AT224",18,"Oststeiermark",15.811522398041,47.1649722010674
"AT225",19,"West- und Südsteiermark",15.2406004347838,46.8796688396684
"AT226",20,"Westliche Obersteiermark",14.3828282900522,47.1698480857066
"AT311",21,"Innviertel",13.3865770624379,48.2439760401158
"AT312",22,"Linz-Wels",14.1241328765677,48.2268079489339
"AT313",23,"Mühlviertel",14.337015860511,48.4932964706018
"AT314",24,"Steyr-Kirchdorf",14.3241029207764,47.8530243577934
"AT315",25,"Traunviertel",13.6901897949616,47.8288074338408
"AT321",26,"Lungau",13.6514770811371,47.1291573671168
"AT322",27,"Pinzgau-Pongau",12.8954951087977,47.3139686664299
"AT323",28,"Salzburg und Umgebung",13.21375557736,47.7520676514485
"AT331",29,"Außerfern",10.5819146755746,47.3841321837502
"AT332",30,"Innsbruck",11.3449606236166,47.2054466068176
"AT333",31,"Osttirol",12.5205252148647,46.8910539292212
"AT334",32,"Tiroler Oberland",10.6885823658311,47.0621787958122
"AT335",33,"Tiroler Unterland",11.9949630664464,47.3842417242521
"AT341",34,"Bludenz-Bregenzer Wald",9.95172917972875,47.1498870046998
"AT342",35,"Rheintal-Bodenseegebiet",9.72033809789303,47.3989130068216
