"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,14990068,"Benin","BEN"
1,10,139579,"Benin","BEN"
1,11,151953,"Benin","BEN"
1,12,171508,"Benin","BEN"
1,2,595642,"Benin","BEN"
1,3,161953,"Benin","BEN"
1,4,1420914,"Benin","BEN"
1,5,282461,"Benin","BEN"
1,6,428757,"Benin","BEN"
1,7,226818,"Benin","BEN"
1,8,190328,"Benin","BEN"
1,9,134806,"Benin","BEN"
10,1,139579,"Benin","BEN"
10,10,1998318,"Benin","BEN"
10,11,976454,"Benin","BEN"
10,12,240792,"Benin","BEN"
10,2,212642,"Benin","BEN"
10,3,313239,"Benin","BEN"
10,4,210217,"Benin","BEN"
10,5,238015,"Benin","BEN"
10,6,156823,"Benin","BEN"
10,7,356838,"Benin","BEN"
10,8,371270,"Benin","BEN"
10,9,267735,"Benin","BEN"
11,1,151953,"Benin","BEN"
11,10,976454,"Benin","BEN"
11,11,13405945,"Benin","BEN"
11,12,295269,"Benin","BEN"
11,2,201908,"Benin","BEN"
11,3,283936,"Benin","BEN"
11,4,228161,"Benin","BEN"
11,5,262273,"Benin","BEN"
11,6,162385,"Benin","BEN"
11,7,297911,"Benin","BEN"
11,8,441681,"Benin","BEN"
11,9,243214,"Benin","BEN"
12,1,171508,"Benin","BEN"
12,10,240792,"Benin","BEN"
12,11,295269,"Benin","BEN"
12,12,3842829,"Benin","BEN"
12,2,220498,"Benin","BEN"
12,3,350603,"Benin","BEN"
12,4,281740,"Benin","BEN"
12,5,529948,"Benin","BEN"
12,6,154616,"Benin","BEN"
12,7,530806,"Benin","BEN"
12,8,359087,"Benin","BEN"
12,9,281769,"Benin","BEN"
2,1,595642,"Benin","BEN"
2,10,212642,"Benin","BEN"
2,11,201908,"Benin","BEN"
2,12,220498,"Benin","BEN"
2,2,15074891,"Benin","BEN"
2,3,251335,"Benin","BEN"
2,4,1297901,"Benin","BEN"
2,5,384986,"Benin","BEN"
2,6,1341659,"Benin","BEN"
2,7,307176,"Benin","BEN"
2,8,274205,"Benin","BEN"
2,9,187189,"Benin","BEN"
3,1,161953,"Benin","BEN"
3,10,313239,"Benin","BEN"
3,11,283936,"Benin","BEN"
3,12,350603,"Benin","BEN"
3,2,251335,"Benin","BEN"
3,3,699315,"Benin","BEN"
3,4,232356,"Benin","BEN"
3,5,350817,"Benin","BEN"
3,6,177084,"Benin","BEN"
3,7,513562,"Benin","BEN"
3,8,447730,"Benin","BEN"
3,9,399174,"Benin","BEN"
4,1,1420914,"Benin","BEN"
4,10,210217,"Benin","BEN"
4,11,228161,"Benin","BEN"
4,12,281740,"Benin","BEN"
4,2,1297901,"Benin","BEN"
4,3,232356,"Benin","BEN"
4,4,3149300,"Benin","BEN"
4,5,899229,"Benin","BEN"
4,6,745090,"Benin","BEN"
4,7,406646,"Benin","BEN"
4,8,262228,"Benin","BEN"
4,9,197834,"Benin","BEN"
5,1,282461,"Benin","BEN"
5,10,238015,"Benin","BEN"
5,11,262273,"Benin","BEN"
5,12,529948,"Benin","BEN"
5,2,384986,"Benin","BEN"
5,3,350817,"Benin","BEN"
5,4,899229,"Benin","BEN"
5,5,6853891,"Benin","BEN"
5,6,347782,"Benin","BEN"
5,7,1038151,"Benin","BEN"
5,8,445486,"Benin","BEN"
5,9,266168,"Benin","BEN"
6,1,428757,"Benin","BEN"
6,10,156823,"Benin","BEN"
6,11,162385,"Benin","BEN"
6,12,154616,"Benin","BEN"
6,2,1341659,"Benin","BEN"
6,3,177084,"Benin","BEN"
6,4,745090,"Benin","BEN"
6,5,347782,"Benin","BEN"
6,6,10962587,"Benin","BEN"
6,7,256761,"Benin","BEN"
6,8,245333,"Benin","BEN"
6,9,140135,"Benin","BEN"
7,1,226818,"Benin","BEN"
7,10,356838,"Benin","BEN"
7,11,297911,"Benin","BEN"
7,12,530806,"Benin","BEN"
7,2,307176,"Benin","BEN"
7,3,513562,"Benin","BEN"
7,4,406646,"Benin","BEN"
7,5,1038151,"Benin","BEN"
7,6,256761,"Benin","BEN"
7,7,19859497,"Benin","BEN"
7,8,731639,"Benin","BEN"
7,9,1739555,"Benin","BEN"
8,1,190328,"Benin","BEN"
8,10,371270,"Benin","BEN"
8,11,441681,"Benin","BEN"
8,12,359087,"Benin","BEN"
8,2,274205,"Benin","BEN"
8,3,447730,"Benin","BEN"
8,4,262228,"Benin","BEN"
8,5,445486,"Benin","BEN"
8,6,245333,"Benin","BEN"
8,7,731639,"Benin","BEN"
8,8,448395,"Benin","BEN"
8,9,483563,"Benin","BEN"
9,1,134806,"Benin","BEN"
9,10,267735,"Benin","BEN"
9,11,243214,"Benin","BEN"
9,12,281769,"Benin","BEN"
9,2,187189,"Benin","BEN"
9,3,399174,"Benin","BEN"
9,4,197834,"Benin","BEN"
9,5,266168,"Benin","BEN"
9,6,140135,"Benin","BEN"
9,7,1739555,"Benin","BEN"
9,8,483563,"Benin","BEN"
9,9,8339011,"Benin","BEN"
