"nodeCode","nodeID","name","longitude","latitude"
"BEN1",1,"Alibori",2.90415962934448,11.3342173566304
"BEN2",2,"Atakora",1.58171598126774,10.693534271629
"BEN3",3,"Atlantique",2.22164272154415,6.61191556046479
"BEN4",4,"Borgou",2.76648095664703,9.78836159549354
"BEN5",5,"Collines",2.20714439495131,8.12929987602907
"BEN6",6,"Donga",1.79470330096509,9.35562883490827
"BEN7",7,"Kouffo",1.78289431420466,6.99643680508085
"BEN8",8,"Littoral",2.41178984100103,6.36469471347767
"BEN9",9,"Mono",1.83862485599619,6.54960314531371
"BEN10",10,"Ouémé",2.53961968413337,6.62681799502376
"BEN11",11,"Plateau",2.6288948770755,7.17949797100711
"BEN12",12,"Zou",2.10861510476896,7.27465776053793
