"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,11008525,"Burkina Faso","BFA"
1,10,464502,"Burkina Faso","BFA"
1,11,443531,"Burkina Faso","BFA"
1,12,460210,"Burkina Faso","BFA"
1,13,582060,"Burkina Faso","BFA"
1,2,570807,"Burkina Faso","BFA"
1,3,269123,"Burkina Faso","BFA"
1,4,339671,"Burkina Faso","BFA"
1,5,1019897,"Burkina Faso","BFA"
1,6,397684,"Burkina Faso","BFA"
1,7,492226,"Burkina Faso","BFA"
1,8,365940,"Burkina Faso","BFA"
1,9,851549,"Burkina Faso","BFA"
10,1,464502,"Burkina Faso","BFA"
10,10,10476749,"Burkina Faso","BFA"
10,11,442039,"Burkina Faso","BFA"
10,12,616850,"Burkina Faso","BFA"
10,13,482339,"Burkina Faso","BFA"
10,2,350143,"Burkina Faso","BFA"
10,3,234058,"Burkina Faso","BFA"
10,4,426468,"Burkina Faso","BFA"
10,5,601610,"Burkina Faso","BFA"
10,6,345013,"Burkina Faso","BFA"
10,7,465896,"Burkina Faso","BFA"
10,8,326424,"Burkina Faso","BFA"
10,9,309628,"Burkina Faso","BFA"
11,1,443531,"Burkina Faso","BFA"
11,10,442039,"Burkina Faso","BFA"
11,11,15738424,"Burkina Faso","BFA"
11,12,518009,"Burkina Faso","BFA"
11,13,436005,"Burkina Faso","BFA"
11,2,352482,"Burkina Faso","BFA"
11,3,1087212,"Burkina Faso","BFA"
11,4,631332,"Burkina Faso","BFA"
11,5,653950,"Burkina Faso","BFA"
11,6,507729,"Burkina Faso","BFA"
11,7,667043,"Burkina Faso","BFA"
11,8,538010,"Burkina Faso","BFA"
11,9,263418,"Burkina Faso","BFA"
12,1,460210,"Burkina Faso","BFA"
12,10,616850,"Burkina Faso","BFA"
12,11,518009,"Burkina Faso","BFA"
12,12,26324615,"Burkina Faso","BFA"
12,13,450178,"Burkina Faso","BFA"
12,2,449074,"Burkina Faso","BFA"
12,3,340600,"Burkina Faso","BFA"
12,4,786707,"Burkina Faso","BFA"
12,5,501987,"Burkina Faso","BFA"
12,6,409859,"Burkina Faso","BFA"
12,7,572881,"Burkina Faso","BFA"
12,8,611160,"Burkina Faso","BFA"
12,9,319157,"Burkina Faso","BFA"
13,1,582060,"Burkina Faso","BFA"
13,10,482339,"Burkina Faso","BFA"
13,11,436005,"Burkina Faso","BFA"
13,12,450178,"Burkina Faso","BFA"
13,13,15442469,"Burkina Faso","BFA"
13,2,821534,"Burkina Faso","BFA"
13,3,285392,"Burkina Faso","BFA"
13,4,434541,"Burkina Faso","BFA"
13,5,632397,"Burkina Faso","BFA"
13,6,409244,"Burkina Faso","BFA"
13,7,420848,"Burkina Faso","BFA"
13,8,348483,"Burkina Faso","BFA"
13,9,788905,"Burkina Faso","BFA"
2,1,570807,"Burkina Faso","BFA"
2,10,350143,"Burkina Faso","BFA"
2,11,352482,"Burkina Faso","BFA"
2,12,449074,"Burkina Faso","BFA"
2,13,821534,"Burkina Faso","BFA"
2,2,15089046,"Burkina Faso","BFA"
2,3,243107,"Burkina Faso","BFA"
2,4,282136,"Burkina Faso","BFA"
2,5,587924,"Burkina Faso","BFA"
2,6,358801,"Burkina Faso","BFA"
2,7,398724,"Burkina Faso","BFA"
2,8,351535,"Burkina Faso","BFA"
2,9,910100,"Burkina Faso","BFA"
3,1,269123,"Burkina Faso","BFA"
3,10,234058,"Burkina Faso","BFA"
3,11,1087212,"Burkina Faso","BFA"
3,12,340600,"Burkina Faso","BFA"
3,13,285392,"Burkina Faso","BFA"
3,2,243107,"Burkina Faso","BFA"
3,3,7292281,"Burkina Faso","BFA"
3,4,302396,"Burkina Faso","BFA"
3,5,422554,"Burkina Faso","BFA"
3,6,457003,"Burkina Faso","BFA"
3,7,479497,"Burkina Faso","BFA"
3,8,752502,"Burkina Faso","BFA"
3,9,184816,"Burkina Faso","BFA"
4,1,339671,"Burkina Faso","BFA"
4,10,426468,"Burkina Faso","BFA"
4,11,631332,"Burkina Faso","BFA"
4,12,786707,"Burkina Faso","BFA"
4,13,434541,"Burkina Faso","BFA"
4,2,282136,"Burkina Faso","BFA"
4,3,302396,"Burkina Faso","BFA"
4,4,11587030,"Burkina Faso","BFA"
4,5,471508,"Burkina Faso","BFA"
4,6,365674,"Burkina Faso","BFA"
4,7,470489,"Burkina Faso","BFA"
4,8,370797,"Burkina Faso","BFA"
4,9,214559,"Burkina Faso","BFA"
5,1,1019897,"Burkina Faso","BFA"
5,10,601610,"Burkina Faso","BFA"
5,11,653950,"Burkina Faso","BFA"
5,12,501987,"Burkina Faso","BFA"
5,13,632397,"Burkina Faso","BFA"
5,2,587924,"Burkina Faso","BFA"
5,3,422554,"Burkina Faso","BFA"
5,4,471508,"Burkina Faso","BFA"
5,5,8121685,"Burkina Faso","BFA"
5,6,643562,"Burkina Faso","BFA"
5,7,577444,"Burkina Faso","BFA"
5,8,567273,"Burkina Faso","BFA"
5,9,422897,"Burkina Faso","BFA"
6,1,397684,"Burkina Faso","BFA"
6,10,345013,"Burkina Faso","BFA"
6,11,507729,"Burkina Faso","BFA"
6,12,409859,"Burkina Faso","BFA"
6,13,409244,"Burkina Faso","BFA"
6,2,358801,"Burkina Faso","BFA"
6,3,457003,"Burkina Faso","BFA"
6,4,365674,"Burkina Faso","BFA"
6,5,643562,"Burkina Faso","BFA"
6,6,17484779,"Burkina Faso","BFA"
6,7,717438,"Burkina Faso","BFA"
6,8,514677,"Burkina Faso","BFA"
6,9,262149,"Burkina Faso","BFA"
7,1,492226,"Burkina Faso","BFA"
7,10,465896,"Burkina Faso","BFA"
7,11,667043,"Burkina Faso","BFA"
7,12,572881,"Burkina Faso","BFA"
7,13,420848,"Burkina Faso","BFA"
7,2,398724,"Burkina Faso","BFA"
7,3,479497,"Burkina Faso","BFA"
7,4,470489,"Burkina Faso","BFA"
7,5,577444,"Burkina Faso","BFA"
7,6,717438,"Burkina Faso","BFA"
7,7,555667,"Burkina Faso","BFA"
7,8,567861,"Burkina Faso","BFA"
7,9,280739,"Burkina Faso","BFA"
8,1,365940,"Burkina Faso","BFA"
8,10,326424,"Burkina Faso","BFA"
8,11,538010,"Burkina Faso","BFA"
8,12,611160,"Burkina Faso","BFA"
8,13,348483,"Burkina Faso","BFA"
8,2,351535,"Burkina Faso","BFA"
8,3,752502,"Burkina Faso","BFA"
8,4,370797,"Burkina Faso","BFA"
8,5,567273,"Burkina Faso","BFA"
8,6,514677,"Burkina Faso","BFA"
8,7,567861,"Burkina Faso","BFA"
8,8,16319532,"Burkina Faso","BFA"
8,9,240294,"Burkina Faso","BFA"
9,1,851549,"Burkina Faso","BFA"
9,10,309628,"Burkina Faso","BFA"
9,11,263418,"Burkina Faso","BFA"
9,12,319157,"Burkina Faso","BFA"
9,13,788905,"Burkina Faso","BFA"
9,2,910100,"Burkina Faso","BFA"
9,3,184816,"Burkina Faso","BFA"
9,4,214559,"Burkina Faso","BFA"
9,5,422897,"Burkina Faso","BFA"
9,6,262149,"Burkina Faso","BFA"
9,7,280739,"Burkina Faso","BFA"
9,8,240294,"Burkina Faso","BFA"
9,9,1422002,"Burkina Faso","BFA"
