"nodeCode","nodeID","name","longitude","latitude"
"BFA1",1,"Boucle du Mouhoun",-3.48881684744964,12.5406663376186
"BFA2",2,"Cascades",-4.57041802236626,10.3517134142939
"BFA3",3,"Centre",-1.50227510005947,12.3225488245962
"BFA4",4,"Centre-Est",-0.186053861294641,11.6053371165304
"BFA5",5,"Centre-Nord",-0.974549856171951,13.2687686504385
"BFA6",6,"Centre-Ouest",-2.21859265793512,11.7923388494502
"BFA7",7,"Centre-Sud",-1.21830906881646,11.5808536922698
"BFA8",8,"Est",0.919892972692725,12.2276723186693
"BFA9",9,"Haut-Bassins",-4.33212116013286,11.3678241953156
"BFA10",10,"Nord",-2.28326835300597,13.4593899629112
"BFA11",11,"Plateau-Central",-1.14295892571215,12.4496965585884
"BFA12",12,"Sahel",-0.440068118270901,14.1463705930902
"BFA13",13,"Sud-Ouest",-3.23280137729212,10.4780393310654
