"nodeCode","nodeID","name","longitude","latitude"
"BG311",1,"Vidin",22.718342646682,43.8216788879477
"BG312",2,"Montana",23.1985323647348,43.4909325256865
"BG313",3,"Vratsa",23.7923525658827,43.4273690457239
"BG314",4,"Pleven",24.6270840645789,43.4653036384827
"BG315",5,"Lovech",24.5535762132759,43.0092673373044
"BG321",6,"Veliko Tarnovo",25.6270668036606,43.1944864046758
"BG322",7,"Gabrovo",25.2142288483905,42.9412954477493
"BG323",8,"Ruse",26.0115646011189,43.6529862229486
"BG324",9,"Razgrad",26.5853592102965,43.6221739948136
"BG325",10,"Silistra",27.0447068213074,43.9247167540205
"BG331",11,"Varna",27.5942779701774,43.1780919504865
"BG332",12,"Dobrich",27.963974011011,43.6517480080174
"BG333",13,"Shumen",26.9858631520078,43.2975118106326
"BG334",14,"Targovishte",26.3447466041858,43.2166795964339
"BG341",15,"Burgas",27.320502415796,42.5075026992323
"BG342",16,"Sliven",26.2617918585191,42.6688519624584
"BG343",17,"Yambol",26.6349803658654,42.2499539157703
"BG344",18,"Stara Zagora",25.5881641850787,42.4341033623215
"BG411",19,"Sofia (stolitsa)",23.3297533618276,42.6758897375923
"BG412",20,"Sofia",23.6240314907725,42.7172067591323
"BG413",21,"Blagoevgrad",23.4357822573195,41.73074339204
"BG414",22,"Pernik",22.852619418542,42.6307598519722
"BG415",23,"Kyustendil",22.8497700433987,42.2735623470574
"BG421",24,"Plovdiv",24.8267846785979,42.2732959522975
"BG422",25,"Haskovo",25.8999402931009,41.8229391218811
"BG423",26,"Pazardzhik",24.1391047477083,42.1319731255825
"BG424",27,"Smolyan",24.6716414934409,41.6348017695941
"BG425",28,"Kardzhali",25.4111943896311,41.5154703575397
