"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,473732,"Belarus","BLR"
1,2,17942,"Belarus","BLR"
1,3,26184,"Belarus","BLR"
1,4,17636,"Belarus","BLR"
1,5,43582,"Belarus","BLR"
1,6,17739,"Belarus","BLR"
2,1,17942,"Belarus","BLR"
2,2,419089,"Belarus","BLR"
2,3,15877,"Belarus","BLR"
2,4,21289,"Belarus","BLR"
2,5,35331,"Belarus","BLR"
2,6,15991,"Belarus","BLR"
3,1,26184,"Belarus","BLR"
3,2,15877,"Belarus","BLR"
3,3,613945,"Belarus","BLR"
3,4,16840,"Belarus","BLR"
3,5,45175,"Belarus","BLR"
3,6,17670,"Belarus","BLR"
4,1,17636,"Belarus","BLR"
4,2,21289,"Belarus","BLR"
4,3,16840,"Belarus","BLR"
4,4,531301,"Belarus","BLR"
4,5,43628,"Belarus","BLR"
4,6,21138,"Belarus","BLR"
5,1,43582,"Belarus","BLR"
5,2,35331,"Belarus","BLR"
5,3,45175,"Belarus","BLR"
5,4,43628,"Belarus","BLR"
5,5,242976,"Belarus","BLR"
5,6,40333,"Belarus","BLR"
6,1,17739,"Belarus","BLR"
6,2,15991,"Belarus","BLR"
6,3,17670,"Belarus","BLR"
6,4,21138,"Belarus","BLR"
6,5,40333,"Belarus","BLR"
6,6,420797,"Belarus","BLR"
