"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,1469598,"Bolivia","BOL"
1,2,51073,"Bolivia","BOL"
1,3,36830,"Bolivia","BOL"
1,4,36405,"Bolivia","BOL"
1,5,45156,"Bolivia","BOL"
1,6,44004,"Bolivia","BOL"
1,7,163937,"Bolivia","BOL"
1,8,63294,"Bolivia","BOL"
1,9,108919,"Bolivia","BOL"
2,1,51073,"Bolivia","BOL"
2,2,421494,"Bolivia","BOL"
2,3,54599,"Bolivia","BOL"
2,4,44816,"Bolivia","BOL"
2,5,78911,"Bolivia","BOL"
2,6,50568,"Bolivia","BOL"
2,7,72296,"Bolivia","BOL"
2,8,42243,"Bolivia","BOL"
2,9,39299,"Bolivia","BOL"
3,1,36830,"Bolivia","BOL"
3,2,54599,"Bolivia","BOL"
3,3,3451067,"Bolivia","BOL"
3,4,48770,"Bolivia","BOL"
3,5,25068,"Bolivia","BOL"
3,6,832418,"Bolivia","BOL"
3,7,23476,"Bolivia","BOL"
3,8,148835,"Bolivia","BOL"
3,9,47136,"Bolivia","BOL"
4,1,36405,"Bolivia","BOL"
4,2,44816,"Bolivia","BOL"
4,3,48770,"Bolivia","BOL"
4,4,351876,"Bolivia","BOL"
4,5,65706,"Bolivia","BOL"
4,6,70772,"Bolivia","BOL"
4,7,54460,"Bolivia","BOL"
4,8,24257,"Bolivia","BOL"
4,9,34794,"Bolivia","BOL"
5,1,45156,"Bolivia","BOL"
5,2,78911,"Bolivia","BOL"
5,3,25068,"Bolivia","BOL"
5,4,65706,"Bolivia","BOL"
5,5,1522257,"Bolivia","BOL"
5,6,39120,"Bolivia","BOL"
5,7,135179,"Bolivia","BOL"
5,8,23836,"Bolivia","BOL"
5,9,36349,"Bolivia","BOL"
6,1,44004,"Bolivia","BOL"
6,2,50568,"Bolivia","BOL"
6,3,832418,"Bolivia","BOL"
6,4,70772,"Bolivia","BOL"
6,5,39120,"Bolivia","BOL"
6,6,11261227,"Bolivia","BOL"
6,7,30206,"Bolivia","BOL"
6,8,78952,"Bolivia","BOL"
6,9,43399,"Bolivia","BOL"
7,1,163937,"Bolivia","BOL"
7,2,72296,"Bolivia","BOL"
7,3,23476,"Bolivia","BOL"
7,4,54460,"Bolivia","BOL"
7,5,135179,"Bolivia","BOL"
7,6,30206,"Bolivia","BOL"
7,7,1514817,"Bolivia","BOL"
7,8,28903,"Bolivia","BOL"
7,9,96692,"Bolivia","BOL"
8,1,63294,"Bolivia","BOL"
8,2,42243,"Bolivia","BOL"
8,3,148835,"Bolivia","BOL"
8,4,24257,"Bolivia","BOL"
8,5,23836,"Bolivia","BOL"
8,6,78952,"Bolivia","BOL"
8,7,28903,"Bolivia","BOL"
8,8,333151,"Bolivia","BOL"
8,9,58708,"Bolivia","BOL"
9,1,108919,"Bolivia","BOL"
9,2,39299,"Bolivia","BOL"
9,3,47136,"Bolivia","BOL"
9,4,34794,"Bolivia","BOL"
9,5,36349,"Bolivia","BOL"
9,6,43399,"Bolivia","BOL"
9,7,96692,"Bolivia","BOL"
9,8,58708,"Bolivia","BOL"
9,9,1994543,"Bolivia","BOL"
