"nodeCode","nodeID","name","longitude","latitude"
"BRA1",1,"Acre",-70.4466661752469,-9.30991673588025
"BRA2",2,"Alagoas",-36.6231956166268,-9.51555361360571
"BRA3",3,"Amapá",-51.9610330901538,1.44004342956038
"BRA4",4,"Amazonas",-64.7148805797942,-4.18677680660858
"BRA5",5,"Bahia",-41.7300771298087,-12.4733111331664
"BRA6",6,"Ceará",-39.617902098649,-5.09146429231812
"BRA7",7,"Distrito Federal",-47.7972259703549,-15.781119515976
"BRA8",8,"Espírito Santo",-40.6611489613741,-19.6426718172655
"BRA9",9,"Goiás",-49.6233208140455,-16.0444288544286
"BRA10",10,"Maranhão",-45.2874068897669,-5.06869930344519
"BRA11",11,"Mato Grosso",-55.9192009707673,-12.9495998841975
"BRA12",12,"Mato Grosso do Sul",-54.8454702570305,-20.3258983943577
"BRA13",13,"Minas Gerais",-44.6577034822201,-18.4579856293003
"BRA14",14,"Pará",-53.0625253247434,-3.97338032031231
"BRA15",15,"Paraíba",-36.872547340457,-7.1425685594398
"BRA16",16,"Paraná",-51.6237503153032,-24.6368311986925
"BRA17",17,"Pernambuco",-37.9988822705133,-8.32604424280403
"BRA18",18,"Piauí",-42.9691248619573,-7.38448443626442
"BRA19",19,"Rio de Janeiro",-42.6613538641466,-22.1949189198828
"BRA20",20,"Rio Grande do Norte",-36.682165709985,-5.84698535011225
"BRA21",21,"Rio Grande do Sul",-53.3168367403634,-29.7378388986601
"BRA22",22,"Rondônia",-62.8565495084667,-10.8985647686404
"BRA23",23,"Roraima",-61.3980194624715,2.08469221186934
"BRA24",24,"Santa Catarina",-50.8006173536793,-26.2985380321833
"BRA25",25,"São Paulo",-48.7327606412347,-22.2654128632419
"BRA26",26,"Sergipe",-37.4460664519546,-10.5908895577057
"BRA27",27,"Tocantins",-48.3300011953184,-10.1501837153602
