"nodeCode","nodeID","name","longitude","latitude"
"BWA1",1,"Central",26.271682723708,-21.5387967301918
"BWA2",2,"Chobe",24.8038003264302,-18.5126968790089
"BWA3",3,"Francistown",27.4971128420676,-21.1773123804947
"BWA4",4,"Gaborone",25.9311497162764,-24.6196196251931
"BWA5",5,"Ghanzi",22.5994575132705,-22.2941197940774
"BWA6",6,"Jwaneng",24.7311311544207,-24.6070749626356
"BWA7",7,"Kgalagadi",21.7534684531433,-24.8562642239522
"BWA8",8,"Kgatleng",26.3518420888556,-24.1524175933856
"BWA9",9,"Kweneng",24.6863365492662,-23.8627854316717
"BWA10",10,"Lobatse",25.685499140906,-25.2137987660844
"BWA11",11,"North-East",27.5676020396012,-21.0145521290311
"BWA12",12,"North-West",22.7712972795974,-19.6115511419192
"BWA13",13,"Selibe Phikwe",27.8489592738697,-21.979188136724
"BWA14",14,"South-East",25.7720425489384,-24.9724192069697
"BWA15",15,"Southern",24.4655178067465,-24.9248001965282
