"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,289116581,"Central African Republic","CAF"
1,10,19512678,"Central African Republic","CAF"
1,11,2240870,"Central African Republic","CAF"
1,12,6695192,"Central African Republic","CAF"
1,13,6921654,"Central African Republic","CAF"
1,14,3664802,"Central African Republic","CAF"
1,15,6821701,"Central African Republic","CAF"
1,16,2870476,"Central African Republic","CAF"
1,17,3462634,"Central African Republic","CAF"
1,2,6121012,"Central African Republic","CAF"
1,3,13360388,"Central African Republic","CAF"
1,5,6967038,"Central African Republic","CAF"
1,8,3233243,"Central African Republic","CAF"
1,9,10054684,"Central African Republic","CAF"
10,1,19512678,"Central African Republic","CAF"
10,10,102089266,"Central African Republic","CAF"
10,11,2322786,"Central African Republic","CAF"
10,12,4511234,"Central African Republic","CAF"
10,13,3584014,"Central African Republic","CAF"
10,14,6412295,"Central African Republic","CAF"
10,15,11153883,"Central African Republic","CAF"
10,16,1313728,"Central African Republic","CAF"
10,17,1315438,"Central African Republic","CAF"
10,2,3734130,"Central African Republic","CAF"
10,3,7105138,"Central African Republic","CAF"
10,5,1115551,"Central African Republic","CAF"
10,8,2511036,"Central African Republic","CAF"
10,9,4804072,"Central African Republic","CAF"
11,1,2240870,"Central African Republic","CAF"
11,10,2322786,"Central African Republic","CAF"
11,11,76147741,"Central African Republic","CAF"
11,12,4257771,"Central African Republic","CAF"
11,13,1497892,"Central African Republic","CAF"
11,14,9368647,"Central African Republic","CAF"
11,15,3125721,"Central African Republic","CAF"
11,16,2184962,"Central African Republic","CAF"
11,17,1243992,"Central African Republic","CAF"
11,2,4314063,"Central African Republic","CAF"
11,3,2801730,"Central African Republic","CAF"
11,5,743829,"Central African Republic","CAF"
11,8,5528512,"Central African Republic","CAF"
11,9,2818369,"Central African Republic","CAF"
12,1,6695192,"Central African Republic","CAF"
12,10,4511234,"Central African Republic","CAF"
12,11,4257771,"Central African Republic","CAF"
12,12,14628454,"Central African Republic","CAF"
12,13,3512587,"Central African Republic","CAF"
12,14,5339320,"Central African Republic","CAF"
12,15,5085649,"Central African Republic","CAF"
12,16,3885119,"Central African Republic","CAF"
12,17,1079801,"Central African Republic","CAF"
12,2,9566307,"Central African Republic","CAF"
12,3,5610307,"Central African Republic","CAF"
12,5,1789701,"Central African Republic","CAF"
12,8,6710936,"Central African Republic","CAF"
12,9,5991909,"Central African Republic","CAF"
13,1,6921654,"Central African Republic","CAF"
13,10,3584014,"Central African Republic","CAF"
13,11,1497892,"Central African Republic","CAF"
13,12,3512587,"Central African Republic","CAF"
13,13,52004249,"Central African Republic","CAF"
13,14,1521748,"Central African Republic","CAF"
13,15,2259368,"Central African Republic","CAF"
13,16,1155550,"Central African Republic","CAF"
13,17,4200086,"Central African Republic","CAF"
13,2,2909040,"Central African Republic","CAF"
13,3,19160396,"Central African Republic","CAF"
13,5,4511006,"Central African Republic","CAF"
13,8,1499156,"Central African Republic","CAF"
13,9,4549858,"Central African Republic","CAF"
14,1,3664802,"Central African Republic","CAF"
14,10,6412295,"Central African Republic","CAF"
14,11,9368647,"Central African Republic","CAF"
14,12,5339320,"Central African Republic","CAF"
14,13,1521748,"Central African Republic","CAF"
14,14,149923961,"Central African Republic","CAF"
14,15,12856236,"Central African Republic","CAF"
14,16,2021753,"Central African Republic","CAF"
14,17,1289954,"Central African Republic","CAF"
14,2,5260452,"Central African Republic","CAF"
14,3,3878008,"Central African Republic","CAF"
14,5,1149262,"Central African Republic","CAF"
14,8,5433004,"Central African Republic","CAF"
14,9,4272812,"Central African Republic","CAF"
15,1,6821701,"Central African Republic","CAF"
15,10,11153883,"Central African Republic","CAF"
15,11,3125721,"Central African Republic","CAF"
15,12,5085649,"Central African Republic","CAF"
15,13,2259368,"Central African Republic","CAF"
15,14,12856236,"Central African Republic","CAF"
15,15,135695485,"Central African Republic","CAF"
15,16,3820993,"Central African Republic","CAF"
15,17,894985,"Central African Republic","CAF"
15,2,4804926,"Central African Republic","CAF"
15,3,2714521,"Central African Republic","CAF"
15,5,1333870,"Central African Republic","CAF"
15,8,3280313,"Central African Republic","CAF"
15,9,10065812,"Central African Republic","CAF"
16,1,2870476,"Central African Republic","CAF"
16,10,1313728,"Central African Republic","CAF"
16,11,2184962,"Central African Republic","CAF"
16,12,3885119,"Central African Republic","CAF"
16,13,1155550,"Central African Republic","CAF"
16,14,2021753,"Central African Republic","CAF"
16,15,3820993,"Central African Republic","CAF"
16,16,271945703,"Central African Republic","CAF"
16,17,334753,"Central African Republic","CAF"
16,2,4387484,"Central African Republic","CAF"
16,3,1129541,"Central African Republic","CAF"
16,5,309003,"Central African Republic","CAF"
16,8,34591795,"Central African Republic","CAF"
16,9,2143117,"Central African Republic","CAF"
17,1,3462634,"Central African Republic","CAF"
17,10,1315438,"Central African Republic","CAF"
17,11,1243992,"Central African Republic","CAF"
17,12,1079801,"Central African Republic","CAF"
17,13,4200086,"Central African Republic","CAF"
17,14,1289954,"Central African Republic","CAF"
17,15,894985,"Central African Republic","CAF"
17,16,334753,"Central African Republic","CAF"
17,17,117039021,"Central African Republic","CAF"
17,2,859094,"Central African Republic","CAF"
17,3,902668,"Central African Republic","CAF"
17,5,21136665,"Central African Republic","CAF"
17,8,2265317,"Central African Republic","CAF"
17,9,1413113,"Central African Republic","CAF"
2,1,6121012,"Central African Republic","CAF"
2,10,3734130,"Central African Republic","CAF"
2,11,4314063,"Central African Republic","CAF"
2,12,9566307,"Central African Republic","CAF"
2,13,2909040,"Central African Republic","CAF"
2,14,5260452,"Central African Republic","CAF"
2,15,4804926,"Central African Republic","CAF"
2,16,4387484,"Central African Republic","CAF"
2,17,859094,"Central African Republic","CAF"
2,2,6708600,"Central African Republic","CAF"
2,3,4403328,"Central African Republic","CAF"
2,5,1689996,"Central African Republic","CAF"
2,8,6819848,"Central African Republic","CAF"
2,9,5143916,"Central African Republic","CAF"
3,1,13360388,"Central African Republic","CAF"
3,10,7105138,"Central African Republic","CAF"
3,11,2801730,"Central African Republic","CAF"
3,12,5610307,"Central African Republic","CAF"
3,13,19160396,"Central African Republic","CAF"
3,14,3878008,"Central African Republic","CAF"
3,15,2714521,"Central African Republic","CAF"
3,16,1129541,"Central African Republic","CAF"
3,17,902668,"Central African Republic","CAF"
3,2,4403328,"Central African Republic","CAF"
3,3,248436719,"Central African Republic","CAF"
3,5,4905293,"Central African Republic","CAF"
3,8,3181304,"Central African Republic","CAF"
3,9,12066433,"Central African Republic","CAF"
5,1,6967038,"Central African Republic","CAF"
5,10,1115551,"Central African Republic","CAF"
5,11,743829,"Central African Republic","CAF"
5,12,1789701,"Central African Republic","CAF"
5,13,4511006,"Central African Republic","CAF"
5,14,1149262,"Central African Republic","CAF"
5,15,1333870,"Central African Republic","CAF"
5,16,309003,"Central African Republic","CAF"
5,17,21136665,"Central African Republic","CAF"
5,2,1689996,"Central African Republic","CAF"
5,3,4905293,"Central African Republic","CAF"
5,5,69507143,"Central African Republic","CAF"
5,8,1332566,"Central African Republic","CAF"
5,9,2901008,"Central African Republic","CAF"
8,1,3233243,"Central African Republic","CAF"
8,10,2511036,"Central African Republic","CAF"
8,11,5528512,"Central African Republic","CAF"
8,12,6710936,"Central African Republic","CAF"
8,13,1499156,"Central African Republic","CAF"
8,14,5433004,"Central African Republic","CAF"
8,15,3280313,"Central African Republic","CAF"
8,16,34591795,"Central African Republic","CAF"
8,17,2265317,"Central African Republic","CAF"
8,2,6819848,"Central African Republic","CAF"
8,3,3181304,"Central African Republic","CAF"
8,5,1332566,"Central African Republic","CAF"
8,8,113352083,"Central African Republic","CAF"
8,9,3146820,"Central African Republic","CAF"
9,1,10054684,"Central African Republic","CAF"
9,10,4804072,"Central African Republic","CAF"
9,11,2818369,"Central African Republic","CAF"
9,12,5991909,"Central African Republic","CAF"
9,13,4549858,"Central African Republic","CAF"
9,14,4272812,"Central African Republic","CAF"
9,15,10065812,"Central African Republic","CAF"
9,16,2143117,"Central African Republic","CAF"
9,17,1413113,"Central African Republic","CAF"
9,2,5143916,"Central African Republic","CAF"
9,3,12066433,"Central African Republic","CAF"
9,5,2901008,"Central African Republic","CAF"
9,8,3146820,"Central African Republic","CAF"
9,9,220795682,"Central African Republic","CAF"
