"nodeCode","nodeID","name","longitude","latitude"
"CAF1",1,"Bamingui-Bangoran",20.5741579324626,8.42140115425804
"CAF2",2,"Bangui",18.6052415119941,4.38345120126885
"CAF3",3,"Basse-Kotto",21.3631319505239,4.89315620438227
"CAF5",5,"Haute-Kotto",22.9230670189475,7.46947680645707
"CAF8",8,"Mambéré-Kadéï",15.924727187071,4.56948734730493
"CAF9",9,"Mbomou",23.3907433444934,5.5026280928635
"CAF10",10,"Nana-Grébizi",19.3306709019295,7.19049140276083
"CAF11",11,"Nana-Mambéré",15.3777165475012,5.69885521071171
"CAF12",12,"Ombella-M'Poko",17.997708407148,5.11573335376847
"CAF13",13,"Ouaka",20.7492946840544,6.12493122256466
"CAF14",14,"Ouham",17.8882920533499,6.91087997730193
"CAF15",15,"Ouham-Pendé",16.1342661642213,6.72917339231478
"CAF16",16,"Sangha-Mbaéré",16.2848112523982,3.4559019270443
"CAF17",17,"Vakaga",22.5136615024927,9.82284051569081
