"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,908058,"Switzerland","CHE"
1,2,243659,"Switzerland","CHE"
1,3,159121,"Switzerland","CHE"
1,4,41541,"Switzerland","CHE"
1,5,311595,"Switzerland","CHE"
1,6,15811,"Switzerland","CHE"
1,7,215381,"Switzerland","CHE"
1,8,143283,"Switzerland","CHE"
1,9,18292,"Switzerland","CHE"
1,10,11818,"Switzerland","CHE"
1,11,12704,"Switzerland","CHE"
1,12,19877,"Switzerland","CHE"
1,13,11917,"Switzerland","CHE"
1,14,10422,"Switzerland","CHE"
1,15,11202,"Switzerland","CHE"
1,16,9814,"Switzerland","CHE"
1,17,10899,"Switzerland","CHE"
1,18,14171,"Switzerland","CHE"
1,19,9121,"Switzerland","CHE"
1,20,15480,"Switzerland","CHE"
1,21,14628,"Switzerland","CHE"
1,22,12072,"Switzerland","CHE"
1,23,22421,"Switzerland","CHE"
1,24,14791,"Switzerland","CHE"
1,25,15574,"Switzerland","CHE"
1,26,37626,"Switzerland","CHE"
2,1,243659,"Switzerland","CHE"
2,2,3548220,"Switzerland","CHE"
2,3,90828,"Switzerland","CHE"
2,4,78879,"Switzerland","CHE"
2,5,185051,"Switzerland","CHE"
2,6,35226,"Switzerland","CHE"
2,7,126260,"Switzerland","CHE"
2,8,141933,"Switzerland","CHE"
2,9,24658,"Switzerland","CHE"
2,10,25915,"Switzerland","CHE"
2,11,25879,"Switzerland","CHE"
2,12,27705,"Switzerland","CHE"
2,13,26552,"Switzerland","CHE"
2,14,16770,"Switzerland","CHE"
2,15,24438,"Switzerland","CHE"
2,16,24364,"Switzerland","CHE"
2,17,19973,"Switzerland","CHE"
2,18,35948,"Switzerland","CHE"
2,19,17258,"Switzerland","CHE"
2,20,37669,"Switzerland","CHE"
2,21,57619,"Switzerland","CHE"
2,22,32538,"Switzerland","CHE"
2,23,57138,"Switzerland","CHE"
2,24,47056,"Switzerland","CHE"
2,25,26616,"Switzerland","CHE"
2,26,32152,"Switzerland","CHE"
3,1,159121,"Switzerland","CHE"
3,2,90828,"Switzerland","CHE"
3,3,1140299,"Switzerland","CHE"
3,4,22942,"Switzerland","CHE"
3,5,73336,"Switzerland","CHE"
3,6,10256,"Switzerland","CHE"
3,7,83188,"Switzerland","CHE"
3,8,61031,"Switzerland","CHE"
3,9,16439,"Switzerland","CHE"
3,10,9103,"Switzerland","CHE"
3,11,9012,"Switzerland","CHE"
3,12,18427,"Switzerland","CHE"
3,13,8403,"Switzerland","CHE"
3,14,8006,"Switzerland","CHE"
3,15,7383,"Switzerland","CHE"
3,16,7344,"Switzerland","CHE"
3,17,8305,"Switzerland","CHE"
3,18,9774,"Switzerland","CHE"
3,19,6974,"Switzerland","CHE"
3,20,11361,"Switzerland","CHE"
3,21,9041,"Switzerland","CHE"
3,22,9133,"Switzerland","CHE"
3,23,12150,"Switzerland","CHE"
3,24,10048,"Switzerland","CHE"
3,25,14710,"Switzerland","CHE"
3,26,24144,"Switzerland","CHE"
4,1,41541,"Switzerland","CHE"
4,2,78879,"Switzerland","CHE"
4,3,22942,"Switzerland","CHE"
4,4,1056317,"Switzerland","CHE"
4,5,149760,"Switzerland","CHE"
4,6,275844,"Switzerland","CHE"
4,7,133575,"Switzerland","CHE"
4,8,261198,"Switzerland","CHE"
4,9,68898,"Switzerland","CHE"
4,10,74590,"Switzerland","CHE"
4,11,82465,"Switzerland","CHE"
4,12,69754,"Switzerland","CHE"
4,13,54600,"Switzerland","CHE"
4,14,46924,"Switzerland","CHE"
4,15,60150,"Switzerland","CHE"
4,16,67645,"Switzerland","CHE"
4,17,50571,"Switzerland","CHE"
4,18,76663,"Switzerland","CHE"
4,19,48751,"Switzerland","CHE"
4,20,110008,"Switzerland","CHE"
4,21,80766,"Switzerland","CHE"
4,22,66898,"Switzerland","CHE"
4,23,130824,"Switzerland","CHE"
4,24,99882,"Switzerland","CHE"
4,25,62149,"Switzerland","CHE"
4,26,32719,"Switzerland","CHE"
5,1,311595,"Switzerland","CHE"
5,2,185051,"Switzerland","CHE"
5,3,73336,"Switzerland","CHE"
5,4,149760,"Switzerland","CHE"
5,5,2958803,"Switzerland","CHE"
5,6,42031,"Switzerland","CHE"
5,7,219824,"Switzerland","CHE"
5,8,192097,"Switzerland","CHE"
5,9,23948,"Switzerland","CHE"
5,10,21690,"Switzerland","CHE"
5,11,23640,"Switzerland","CHE"
5,12,25972,"Switzerland","CHE"
5,13,22891,"Switzerland","CHE"
5,14,15671,"Switzerland","CHE"
5,15,19970,"Switzerland","CHE"
5,16,23995,"Switzerland","CHE"
5,17,19167,"Switzerland","CHE"
5,18,25321,"Switzerland","CHE"
5,19,17939,"Switzerland","CHE"
5,20,31651,"Switzerland","CHE"
5,21,28958,"Switzerland","CHE"
5,22,21992,"Switzerland","CHE"
5,23,46334,"Switzerland","CHE"
5,24,31364,"Switzerland","CHE"
5,25,22587,"Switzerland","CHE"
5,26,41793,"Switzerland","CHE"
6,1,15811,"Switzerland","CHE"
6,2,35226,"Switzerland","CHE"
6,3,10256,"Switzerland","CHE"
6,4,275844,"Switzerland","CHE"
6,5,42031,"Switzerland","CHE"
6,6,2169576,"Switzerland","CHE"
6,7,20422,"Switzerland","CHE"
6,8,69563,"Switzerland","CHE"
6,9,184921,"Switzerland","CHE"
6,10,363320,"Switzerland","CHE"
6,11,242649,"Switzerland","CHE"
6,12,78598,"Switzerland","CHE"
6,13,61366,"Switzerland","CHE"
6,14,53044,"Switzerland","CHE"
6,15,56516,"Switzerland","CHE"
6,16,56455,"Switzerland","CHE"
6,17,53281,"Switzerland","CHE"
6,18,64799,"Switzerland","CHE"
6,19,53942,"Switzerland","CHE"
6,20,124888,"Switzerland","CHE"
6,21,73130,"Switzerland","CHE"
6,22,69767,"Switzerland","CHE"
6,23,98808,"Switzerland","CHE"
6,24,93023,"Switzerland","CHE"
6,25,69238,"Switzerland","CHE"
6,26,25200,"Switzerland","CHE"
7,1,215381,"Switzerland","CHE"
7,2,126260,"Switzerland","CHE"
7,3,83188,"Switzerland","CHE"
7,4,133575,"Switzerland","CHE"
7,5,219824,"Switzerland","CHE"
7,6,20422,"Switzerland","CHE"
7,7,4458123,"Switzerland","CHE"
7,8,514348,"Switzerland","CHE"
7,9,17888,"Switzerland","CHE"
7,10,11670,"Switzerland","CHE"
7,11,11303,"Switzerland","CHE"
7,12,15928,"Switzerland","CHE"
7,13,11508,"Switzerland","CHE"
7,14,8541,"Switzerland","CHE"
7,15,9907,"Switzerland","CHE"
7,16,7852,"Switzerland","CHE"
7,17,9736,"Switzerland","CHE"
7,18,11890,"Switzerland","CHE"
