"nodeCode","nodeID","name","longitude","latitude"
"CHL1",1,"Aisén del General Carlos Ibáñez del Campo",-73.260413346302,-46.4196564538189
"CHL2",2,"Antofagasta",-69.1030264383186,-23.4566004837193
"CHL3",3,"Araucanía",-72.2799323068626,-38.6956378532318
"CHL4",4,"Arica y Parinacota",-69.6221481367542,-18.43045796234
"CHL5",5,"Atacama",-69.9135232287982,-27.3693447133151
"CHL6",6,"Bío-Bío",-72.4311473910563,-37.4852505275471
"CHL7",7,"Coquimbo",-70.8696656302109,-30.6070701406482
"CHL8",8,"Libertador General Bernardo O'Higgins",-71.0650657716726,-34.4291291991475
"CHL9",9,"Los Lagos",-72.8981552173521,-42.0362017240659
"CHL10",10,"Los Ríos",-72.5739347139111,-40.0667662238813
"CHL11",11,"Magallanes y Antártica Chilena",-71.9004637167737,-52.479004486741
"CHL12",12,"Maule",-71.4165191586658,-35.576151732876
"CHL13",13,"Ñuble",-71.9275928772315,-36.6221744702583
"CHL14",14,"Región Metropolitana de Santiago",-70.6540342596261,-33.5854277011439
"CHL15",15,"Tarapacá",-69.4063586985121,-20.1388897496902
