"nodeCode","nodeID","name","longitude","latitude"
"CIV1",1,"Abidjan",-4.06497606998656,5.42029539675511
"CIV2",2,"Bas-Sassandra",-6.67527836881487,5.35336906516067
"CIV3",3,"Comoé",-3.30789048794523,6.07363232476142
"CIV4",4,"Denguélé",-7.39199315377915,9.6456463706234
"CIV5",5,"Gôh-Djiboua",-5.60671818582035,5.95332912216648
"CIV6",6,"Lacs",-4.43851034447944,7.05389380758139
"CIV7",7,"Lagunes",-4.29260246119622,5.84801483724694
"CIV8",8,"Montagnes",-7.65122392876476,6.93839506088518
"CIV9",9,"Sassandra-Marahoué",-6.33689424778456,7.05526626681659
"CIV10",10,"Savanes",-5.56029524402511,9.56674377393544
"CIV11",11,"Vallée du Bandama",-4.94520902069499,8.27028621600382
"CIV12",12,"Woroba",-6.74761995542764,8.37177691608122
"CIV13",13,"Yamoussoukro",-5.2687373106286,6.86233206790998
"CIV14",14,"Zanzan",-3.34754574715108,8.6700764168475
