"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,4331007,"Cameroon","CMR"
1,10,175706,"Cameroon","CMR"
1,2,201539,"Cameroon","CMR"
1,3,669552,"Cameroon","CMR"
1,4,605552,"Cameroon","CMR"
1,5,166160,"Cameroon","CMR"
1,6,108260,"Cameroon","CMR"
1,7,855592,"Cameroon","CMR"
1,8,148069,"Cameroon","CMR"
1,9,75673,"Cameroon","CMR"
10,1,175706,"Cameroon","CMR"
10,10,3545907,"Cameroon","CMR"
10,2,354972,"Cameroon","CMR"
10,3,265306,"Cameroon","CMR"
10,4,120279,"Cameroon","CMR"
10,5,227497,"Cameroon","CMR"
10,6,132362,"Cameroon","CMR"
10,7,141969,"Cameroon","CMR"
10,8,196633,"Cameroon","CMR"
10,9,126043,"Cameroon","CMR"
2,1,201539,"Cameroon","CMR"
2,10,354972,"Cameroon","CMR"
2,2,560137,"Cameroon","CMR"
2,3,276320,"Cameroon","CMR"
2,4,144968,"Cameroon","CMR"
2,5,237655,"Cameroon","CMR"
2,6,202694,"Cameroon","CMR"
2,7,160319,"Cameroon","CMR"
2,8,243364,"Cameroon","CMR"
2,9,150835,"Cameroon","CMR"
3,1,669552,"Cameroon","CMR"
3,10,265306,"Cameroon","CMR"
3,2,276320,"Cameroon","CMR"
3,3,4361693,"Cameroon","CMR"
3,4,304588,"Cameroon","CMR"
3,5,193040,"Cameroon","CMR"
3,6,104197,"Cameroon","CMR"
3,7,377216,"Cameroon","CMR"
3,8,173912,"Cameroon","CMR"
3,9,94663,"Cameroon","CMR"
4,1,605552,"Cameroon","CMR"
4,10,120279,"Cameroon","CMR"
4,2,144968,"Cameroon","CMR"
4,3,304588,"Cameroon","CMR"
4,4,3141183,"Cameroon","CMR"
4,5,109753,"Cameroon","CMR"
4,6,54693,"Cameroon","CMR"
4,7,807889,"Cameroon","CMR"
4,8,83552,"Cameroon","CMR"
4,9,52380,"Cameroon","CMR"
5,1,166160,"Cameroon","CMR"
5,10,227497,"Cameroon","CMR"
5,2,237655,"Cameroon","CMR"
5,3,193040,"Cameroon","CMR"
5,4,109753,"Cameroon","CMR"
5,5,539466,"Cameroon","CMR"
5,6,217515,"Cameroon","CMR"
5,7,129138,"Cameroon","CMR"
5,8,306053,"Cameroon","CMR"
5,9,235640,"Cameroon","CMR"
6,1,108260,"Cameroon","CMR"
6,10,132362,"Cameroon","CMR"
6,2,202694,"Cameroon","CMR"
6,3,104197,"Cameroon","CMR"
6,4,54693,"Cameroon","CMR"
6,5,217515,"Cameroon","CMR"
6,6,1956887,"Cameroon","CMR"
6,7,67063,"Cameroon","CMR"
6,8,179729,"Cameroon","CMR"
6,9,428627,"Cameroon","CMR"
7,1,855592,"Cameroon","CMR"
7,10,141969,"Cameroon","CMR"
7,2,160319,"Cameroon","CMR"
7,3,377216,"Cameroon","CMR"
7,4,807889,"Cameroon","CMR"
7,5,129138,"Cameroon","CMR"
7,6,67063,"Cameroon","CMR"
7,7,4095220,"Cameroon","CMR"
7,8,96440,"Cameroon","CMR"
7,9,62706,"Cameroon","CMR"
8,1,148069,"Cameroon","CMR"
8,10,196633,"Cameroon","CMR"
8,2,243364,"Cameroon","CMR"
8,3,173912,"Cameroon","CMR"
8,4,83552,"Cameroon","CMR"
8,5,306053,"Cameroon","CMR"
8,6,179729,"Cameroon","CMR"
8,7,96440,"Cameroon","CMR"
8,8,1530246,"Cameroon","CMR"
8,9,113150,"Cameroon","CMR"
9,1,75673,"Cameroon","CMR"
9,10,126043,"Cameroon","CMR"
9,2,150835,"Cameroon","CMR"
9,3,94663,"Cameroon","CMR"
9,4,52380,"Cameroon","CMR"
9,5,235640,"Cameroon","CMR"
9,6,428627,"Cameroon","CMR"
9,7,62706,"Cameroon","CMR"
9,8,113150,"Cameroon","CMR"
9,9,1876628,"Cameroon","CMR"
