"nodeCode","nodeID","name","longitude","latitude"
"CMR1",1,"Adamaoua",13.1426507390689,6.84359986691663
"CMR2",2,"Centre",11.8213610364199,4.66334543334946
"CMR3",3,"Est",14.2094528741303,3.79731565990646
"CMR4",4,"Extrême-Nord",14.5296342233657,11.0809671728815
"CMR5",5,"Littoral",10.1176100644632,4.2594489465689
"CMR6",6,"Nord",13.9390272720344,8.48667626896188
"CMR7",7,"Nord-Ouest",10.3706271970018,6.36655645235317
"CMR8",8,"Ouest",10.6517253613921,5.50246773230524
"CMR9",9,"Sud",11.5732833573115,2.75477333335949
"CMR10",10,"Sud-Ouest",9.29018208761911,5.19815000469969
