"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,1798009,"Costa Rica","CRI"
1,2,138458,"Costa Rica","CRI"
1,3,282903,"Costa Rica","CRI"
1,4,338172,"Costa Rica","CRI"
1,5,197127,"Costa Rica","CRI"
1,6,267271,"Costa Rica","CRI"
1,7,193908,"Costa Rica","CRI"
2,1,138458,"Costa Rica","CRI"
2,2,2153271,"Costa Rica","CRI"
2,3,125755,"Costa Rica","CRI"
2,4,183499,"Costa Rica","CRI"
2,5,199870,"Costa Rica","CRI"
2,6,139218,"Costa Rica","CRI"
2,7,284820,"Costa Rica","CRI"
3,1,282903,"Costa Rica","CRI"
3,2,125755,"Costa Rica","CRI"
3,3,5201702,"Costa Rica","CRI"
3,4,193657,"Costa Rica","CRI"
3,5,246122,"Costa Rica","CRI"
3,6,367467,"Costa Rica","CRI"
3,7,168722,"Costa Rica","CRI"
4,1,338172,"Costa Rica","CRI"
4,2,183499,"Costa Rica","CRI"
4,3,193657,"Costa Rica","CRI"
4,4,1887465,"Costa Rica","CRI"
4,5,248937,"Costa Rica","CRI"
4,6,194145,"Costa Rica","CRI"
4,7,309749,"Costa Rica","CRI"
5,1,197127,"Costa Rica","CRI"
5,2,199870,"Costa Rica","CRI"
5,3,246122,"Costa Rica","CRI"
5,4,248937,"Costa Rica","CRI"
5,5,4748931,"Costa Rica","CRI"
5,6,238773,"Costa Rica","CRI"
5,7,185156,"Costa Rica","CRI"
6,1,267271,"Costa Rica","CRI"
6,2,139218,"Costa Rica","CRI"
6,3,367467,"Costa Rica","CRI"
6,4,194145,"Costa Rica","CRI"
6,5,238773,"Costa Rica","CRI"
6,6,4014847,"Costa Rica","CRI"
6,7,242557,"Costa Rica","CRI"
7,1,193908,"Costa Rica","CRI"
7,2,284820,"Costa Rica","CRI"
7,3,168722,"Costa Rica","CRI"
7,4,309749,"Costa Rica","CRI"
7,5,185156,"Costa Rica","CRI"
7,6,242557,"Costa Rica","CRI"
7,7,830720,"Costa Rica","CRI"
