"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,303567,"Czechia","CZE"
1,2,134289,"Czechia","CZE"
1,3,63282,"Czechia","CZE"
1,4,52802,"Czechia","CZE"
1,5,52030,"Czechia","CZE"
1,6,55208,"Czechia","CZE"
1,7,63316,"Czechia","CZE"
1,8,56078,"Czechia","CZE"
1,9,49589,"Czechia","CZE"
1,10,46918,"Czechia","CZE"
1,11,40579,"Czechia","CZE"
1,12,36841,"Czechia","CZE"
1,13,36154,"Czechia","CZE"
1,14,31140,"Czechia","CZE"
2,1,134289,"Czechia","CZE"
2,2,474858,"Czechia","CZE"
2,3,47289,"Czechia","CZE"
2,4,42865,"Czechia","CZE"
2,5,34730,"Czechia","CZE"
2,6,52343,"Czechia","CZE"
2,7,63113,"Czechia","CZE"
2,8,51076,"Czechia","CZE"
2,9,43761,"Czechia","CZE"
2,10,38031,"Czechia","CZE"
2,11,21401,"Czechia","CZE"
2,12,21544,"Czechia","CZE"
2,13,18771,"Czechia","CZE"
2,14,18061,"Czechia","CZE"
3,1,63282,"Czechia","CZE"
3,2,47289,"Czechia","CZE"
3,3,1417348,"Czechia","CZE"
3,4,63867,"Czechia","CZE"
3,5,32978,"Czechia","CZE"
3,6,27606,"Czechia","CZE"
3,7,24096,"Czechia","CZE"
3,8,22969,"Czechia","CZE"
3,9,22911,"Czechia","CZE"
3,10,82107,"Czechia","CZE"
3,11,25130,"Czechia","CZE"
3,12,18460,"Czechia","CZE"
3,13,16150,"Czechia","CZE"
3,14,15628,"Czechia","CZE"
4,1,52802,"Czechia","CZE"
4,2,42865,"Czechia","CZE"
4,3,63867,"Czechia","CZE"
4,4,1369706,"Czechia","CZE"
4,5,122878,"Czechia","CZE"
4,6,35609,"Czechia","CZE"
4,7,23445,"Czechia","CZE"
4,8,20586,"Czechia","CZE"
4,9,18968,"Czechia","CZE"
4,10,19802,"Czechia","CZE"
4,11,16201,"Czechia","CZE"
4,12,15020,"Czechia","CZE"
4,13,12990,"Czechia","CZE"
4,14,13063,"Czechia","CZE"
5,1,52030,"Czechia","CZE"
5,2,34730,"Czechia","CZE"
5,3,32978,"Czechia","CZE"
5,4,122878,"Czechia","CZE"
5,5,2415317,"Czechia","CZE"
5,6,61138,"Czechia","CZE"
5,7,27352,"Czechia","CZE"
5,8,21881,"Czechia","CZE"
5,9,19688,"Czechia","CZE"
5,10,17828,"Czechia","CZE"
5,11,15998,"Czechia","CZE"
5,12,16312,"Czechia","CZE"
5,13,12663,"Czechia","CZE"
5,14,15591,"Czechia","CZE"
6,1,55208,"Czechia","CZE"
6,2,52343,"Czechia","CZE"
6,3,27606,"Czechia","CZE"
6,4,35609,"Czechia","CZE"
6,5,61138,"Czechia","CZE"
6,6,939455,"Czechia","CZE"
6,7,75668,"Czechia","CZE"
6,8,27430,"Czechia","CZE"
6,9,23677,"Czechia","CZE"
6,10,18416,"Czechia","CZE"
6,11,15758,"Czechia","CZE"
6,12,17849,"Czechia","CZE"
6,13,13567,"Czechia","CZE"
6,14,18109,"Czechia","CZE"
7,1,63316,"Czechia","CZE"
7,2,63113,"Czechia","CZE"
7,3,24096,"Czechia","CZE"
7,4,23445,"Czechia","CZE"
7,5,27352,"Czechia","CZE"
7,6,75668,"Czechia","CZE"
7,7,1542527,"Czechia","CZE"
7,8,94197,"Czechia","CZE"
7,9,33456,"Czechia","CZE"
7,10,22428,"Czechia","CZE"
7,11,18680,"Czechia","CZE"
7,12,19245,"Czechia","CZE"
7,13,14892,"Czechia","CZE"
7,14,16255,"Czechia","CZE"
8,1,56078,"Czechia","CZE"
8,2,51076,"Czechia","CZE"
8,3,22969,"Czechia","CZE"
8,4,20586,"Czechia","CZE"
8,5,21881,"Czechia","CZE"
8,6,27430,"Czechia","CZE"
8,7,94197,"Czechia","CZE"
8,8,1323112,"Czechia","CZE"
8,9,155404,"Czechia","CZE"
8,10,31215,"Czechia","CZE"
8,11,26365,"Czechia","CZE"
8,12,27167,"Czechia","CZE"
8,13,17601,"Czechia","CZE"
8,14,17886,"Czechia","CZE"
9,1,49589,"Czechia","CZE"
9,2,43761,"Czechia","CZE"
9,3,22911,"Czechia","CZE"
9,4,18968,"Czechia","CZE"
9,5,19688,"Czechia","CZE"
9,6,23677,"Czechia","CZE"
9,7,33456,"Czechia","CZE"
