"nodeCode","nodeID","name","longitude","latitude"
"CZ010",1,"Hlavní město Praha",14.4589195025876,50.0594385192468
"CZ020",2,"Středočeský kraj",14.5462927779367,49.9948759943435
"CZ031",3,"Jihočeský kraj",14.4291526875137,49.1045394641748
"CZ032",4,"Plzeňský kraj",13.2070097106087,49.6046044499531
"CZ041",5,"Karlovarský kraj",12.6727643406944,50.1810373040989
"CZ042",6,"Ústecký kraj",13.829230725205,50.5336913136625
"CZ051",7,"Liberecký kraj",14.9953368779321,50.6919238654762
"CZ052",8,"Královéhradecký kraj",15.8773949056947,50.3899942849997
"CZ053",9,"Pardubický kraj",16.2431974365424,49.9031997924915
"CZ063",10,"Kraj Vysočina",15.6642446273066,49.4105139556498
"CZ064",11,"Jihomoravský kraj",16.6595572381051,49.056598408621
"CZ071",12,"Olomoucký kraj",17.2108942577391,49.7900439076963
"CZ072",13,"Zlínský kraj",17.7424316484604,49.2286134255981
"CZ080",14,"Moravskoslezský kraj",18.0313485019887,49.8099805149458
