"nodeCode","nodeID","name","longitude","latitude"
"DOM1",1,"Azua",-70.8219283608143,18.5803596704573
"DOM2",2,"Bahoruco",-71.3259406718523,18.5086326894415
"DOM3",3,"Barahona",-71.2055223804454,18.1726262214912
"DOM4",4,"Dajabón",-71.5947999256359,19.4308583958794
"DOM5",5,"Distrito Nacional",-69.9345493769712,18.486073397976
"DOM6",6,"Duarte",-70.0812017835752,19.2534004396117
"DOM7",7,"El Seybo",-69.0446930896553,18.8217539454764
"DOM8",8,"Espaillat",-70.3850953918738,19.5300140497222
"DOM9",9,"Hato Mayor",-69.3672310392673,18.8657606054725
"DOM10",10,"Independencia",-71.6170511974924,18.4268962189957
"DOM11",11,"La Altagracia",-68.6566585499759,18.5650810093277
"DOM12",12,"La Estrelleta",-71.6020783292037,18.9962553560495
"DOM13",13,"La Romana",-68.9690423073667,18.5095090257887
"DOM14",14,"La Vega",-70.6241985679747,19.0471017425442
"DOM15",15,"María Trinidad Sánchez",-69.9660441501918,19.4419668623405
"DOM16",16,"Monseñor Nouel",-70.4082122712388,18.9010221777387
"DOM17",17,"Monte Cristi",-71.4448140743781,19.7160504890134
"DOM18",18,"Monte Plata",-69.7953141640717,18.8355606248547
"DOM19",19,"Pedernales",-71.5283597586778,17.9604616445049
"DOM20",20,"Peravia",-70.3620162559196,18.3332796586292
"DOM21",21,"Puerto Plata",-70.7965322228101,19.7402413682128
"DOM22",22,"Salcedo",-70.3641864109858,19.4105853289254
"DOM23",23,"Samaná",-69.4805135137873,19.2263159560727
"DOM24",24,"San Cristóbal",-70.2007956233276,18.5244338468946
"DOM25",25,"San José de Ocoa",-70.4864490232566,18.6147402927113
"DOM26",26,"San Juan",-71.2782819536214,18.8728857078733
"DOM27",27,"San Pedro de Macorís",-69.3543895327114,18.5529022640561
"DOM28",28,"Sánchez Ramírez",-70.135598063798,19.0148553924013
"DOM29",29,"Santiago",-70.8914810309078,19.3226216703373
"DOM30",30,"Santiago Rodríguez",-71.3113946417799,19.3735099389855
"DOM31",31,"Santo Domingo",-69.841534344307,18.5652402720951
"DOM32",32,"Valverde",-71.0330752598726,19.5755363205336
