"nodeCode","nodeID","name","longitude","latitude"
"ECU1",1,"Azuay",-79.1542173318969,-3.01413352538606
"ECU2",2,"Bolivar",-79.1068931576399,-1.58724939879818
"ECU3",3,"Cañar",-79.0304006302705,-2.53241626527541
"ECU4",4,"Carchi",-78.064017155889,0.751728713279936
"ECU5",5,"Chimborazo",-78.7207540844643,-1.97500520493495
"ECU6",6,"Cotopaxi",-78.8564585190129,-0.857987626684726
"ECU7",7,"El Oro",-79.8325106162769,-3.50943312041018
"ECU8",8,"Esmeraldas",-79.2217680859687,0.705423981301001
"ECU9",9,"Galápagos",-90.8999604818088,-0.548206852182088
"ECU10",10,"Guayas",-79.8886616338282,-2.11741724606708
"ECU11",11,"Imbabura",-78.3708835534812,0.405356810049603
"ECU12",12,"Loja",-79.6558512680805,-4.09005041219929
"ECU13",13,"Los Rios",-79.4914447599498,-1.34356866709989
"ECU14",14,"Manabi",-80.1366759179888,-0.751294288522548
"ECU15",15,"Morona Santiago",-78.0075381323882,-2.56399013160345
"ECU16",16,"Napo",-77.8218839709396,-0.657020809197607
"ECU17",17,"Orellana",-76.3745262061665,-0.784427762204902
"ECU18",18,"Pastaza",-76.8797268342494,-1.71677450431901
"ECU19",19,"Pichincha",-78.5935555867918,-0.104905315284719
"ECU20",20,"Santa Elena",-80.577750559992,-2.1394958633971
"ECU21",21,"Santo Domingo de los Tsachilas",-79.2000210647796,-0.284277234069684
"ECU22",22,"Sucumbios",-76.5891033874858,-0.0155407135152351
"ECU23",23,"Tungurahua",-78.5071459841808,-1.29437821517374
"ECU24",24,"Zamora Chinchipe",-78.9038403249738,-4.1695095070084
