"nodeCode","nodeID","name","longitude","latitude"
"EGY1",1,"Ad Daqahliyah",31.5380956933352,31.1093814585404
"EGY2",2,"Al Bahr al Ahmar",33.9083538124163,25.0790614646508
"EGY3",3,"Al Buhayrah",30.2762809681913,30.6294478961198
"EGY4",4,"Al Fayyum",30.5825074079842,29.3257749611359
"EGY5",5,"Al Gharbiyah",31.0449186083009,30.8901428778712
"EGY6",6,"Al Iskandariyah",29.7451163197164,30.8446064961932
"EGY7",7,"Al Isma`iliyah",32.3850338519196,30.5334690728049
"EGY8",8,"Al Jizah",29.509089948873,28.8511821050225
"EGY9",9,"Al Minufiyah",30.9052826694364,30.4674777960671
"EGY10",10,"Al Minya",30.5764785464852,28.0903234519747
"EGY11",11,"Al Qahirah",31.5848200170909,29.9695678624781
"EGY12",12,"Al Qalyubiyah",31.2696479892282,30.307174824294
"EGY13",13,"Al Uqsur",32.6741343997083,25.6449075496017
"EGY14",14,"Al Wadi al Jadid",28.3987996032619,24.8129561297874
"EGY15",15,"As Suways",32.2452041329264,29.6758430049499
"EGY16",16,"Ash Sharqiyah",31.7509412487757,30.6626844383002
"EGY17",17,"Aswan",32.6077042685336,23.3527924670628
"EGY18",18,"Asyut",31.6371784472827,27.3358289145804
"EGY19",19,"Bani Suwayf",31.0754815823803,28.8184095652178
"EGY20",20,"Bur Sa`id",32.2659936812198,31.1255633867839
"EGY21",21,"Dumyat",31.759296078528,31.3800729383877
"EGY22",22,"Janub Sina'",33.7997809188677,29.0216526391833
"EGY23",23,"Kafr ash Shaykh",30.9062472675528,31.3260328169857
"EGY24",24,"Matrouh",26.9714097752282,29.693421235242
"EGY25",25,"Qina",32.9288752460155,25.9811906746479
"EGY26",26,"Shamal Sina'",33.7659358868309,30.4233480373304
"EGY27",27,"Suhaj",32.125973946795,26.6710032003115
