"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,8901838,"Eritrea","ERI"
1,3,4928726,"Eritrea","ERI"
1,4,4375090,"Eritrea","ERI"
1,5,4523877,"Eritrea","ERI"
1,6,5621057,"Eritrea","ERI"
3,1,4928726,"Eritrea","ERI"
3,3,92841132,"Eritrea","ERI"
3,4,4009070,"Eritrea","ERI"
3,5,5639573,"Eritrea","ERI"
3,6,6644440,"Eritrea","ERI"
4,1,4375090,"Eritrea","ERI"
4,3,4009070,"Eritrea","ERI"
4,4,81128878,"Eritrea","ERI"
4,5,2065888,"Eritrea","ERI"
4,6,5673960,"Eritrea","ERI"
5,1,4523877,"Eritrea","ERI"
5,3,5639573,"Eritrea","ERI"
5,4,2065888,"Eritrea","ERI"
5,5,50718007,"Eritrea","ERI"
5,6,3046461,"Eritrea","ERI"
6,1,5621057,"Eritrea","ERI"
6,3,6644440,"Eritrea","ERI"
6,4,5673960,"Eritrea","ERI"
6,5,3046461,"Eritrea","ERI"
6,6,87414898,"Eritrea","ERI"
