"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,1278912,"Estonia","EST"
1,2,605636,"Estonia","EST"
1,3,623679,"Estonia","EST"
1,4,287322,"Estonia","EST"
1,5,541126,"Estonia","EST"
2,1,605636,"Estonia","EST"
2,2,5441283,"Estonia","EST"
2,3,589526,"Estonia","EST"
2,4,93536,"Estonia","EST"
2,5,464256,"Estonia","EST"
3,1,623679,"Estonia","EST"
3,2,589526,"Estonia","EST"
3,3,5369968,"Estonia","EST"
3,4,255281,"Estonia","EST"
3,5,523244,"Estonia","EST"
4,1,287322,"Estonia","EST"
4,2,93536,"Estonia","EST"
4,3,255281,"Estonia","EST"
4,4,4840651,"Estonia","EST"
4,5,158902,"Estonia","EST"
5,1,541126,"Estonia","EST"
5,2,464256,"Estonia","EST"
5,3,523244,"Estonia","EST"
5,4,158902,"Estonia","EST"
5,5,3022550,"Estonia","EST"
