"nodeCode","nodeID","name","longitude","latitude"
"ETH1",1,"Addis Abeba",38.7855385502747,8.98048294183394
"ETH2",2,"Afar",40.768426304453,12.0374803577867
"ETH3",3,"Amhara",38.0473116933426,11.5624639132833
"ETH4",4,"Benshangul-Gumaz",35.4423777844384,10.5080067154681
"ETH5",5,"Dire Dawa",42.0030266281101,9.60626902354042
"ETH6",6,"Gambela Peoples",34.3286231829713,7.70736795494804
"ETH7",7,"Harari People",42.172525981637,9.28966018028816
"ETH8",8,"Oromia",38.765441584725,7.50723661125819
"ETH9",9,"Somali",43.3358243895205,6.91898284605232
"ETH10",10,"Southern Nations, Nationalities and Peoples",36.8110523435334,6.46644933156134
"ETH11",11,"Tigray",38.4415073990028,13.7767282640834
