"nodeCode","nodeID","name","longitude","latitude"
"UKC11",1,"Hartlepool and Stockton-on-Tees",-1.31818881782454,54.5849353338467
"UKC12",2,"South Teesside",-1.0372387434636,54.5377377859099
"UKC13",3,"Darlington",-1.5342415222696,54.5464707242319
"UKC14",4,"Durham CC",-1.81016198177306,54.7004405027949
"UKC21",5,"Northumberland",-2.05759430927256,55.2544111429877
"UKC22",6,"Tyneside",-1.57899885790902,54.9663375322597
"UKC23",7,"Sunderland",-1.43391961533624,54.9003138501979
"UKD11",1,"West Cumbria",-3.28306492759645,54.5563759352939
"UKD12",2,"East Cumbria",-2.72617587172,54.6124883968623
"UKD33",10,"Manchester",-2.24279478887998,53.4368044870168
"UKD34",11,"Greater Manchester South West",-2.36243897231716,53.4494717638935
"UKD35",12,"Greater Manchester South East",-2.09900492982108,53.4325329122624
"UKD36",13,"Greater Manchester North West",-2.51410361191893,53.5404741367413
"UKD37",14,"Greater Manchester North East",-2.1709154139618,53.5840164281084
"UKD41",15,"Blackburn with Darwen",-2.46801803228004,53.6947704264864
"UKD42",16,"Blackpool",-3.0278759762867,53.8153790376585
"UKD44",17,"Lancaster and Wyre",-2.69896284115997,54.0495122369031
"UKD45",18,"Mid Lancashire",-2.54737170465251,53.8740548146556
"UKD46",19,"East Lancashire",-2.24473514511387,53.7924146027411
"UKD47",20,"Chorley and West Lancashire",-2.74128387416291,53.6339737024342
"UKD61",21,"Warrington",-2.52301196212381,53.3946509143779
"UKD62",22,"Cheshire East",-2.3510754455379,53.1975337006879
"UKD63",23,"Cheshire West and Chester",-2.79071161492917,53.1992335566976
"UKD71",24,"East Merseyside",-2.73503581934945,53.4156443543541
"UKD72",25,"Liverpool",-2.91090004638408,53.4175201920767
"UKD73",26,"Sefton",-2.97632574046496,53.5539211612744
"UKD74",27,"Wirral",-3.04064924841283,53.3378744389683
"UKE11",1,"Kingston upon Hull, City of",-0.35201292820027,53.7606774348951
"UKE12",2,"East Riding of Yorkshire",-0.559811684415265,53.8795652566176
"UKE13",3,"North and North East Lincolnshire",-0.531889983157839,53.5723957671916
"UKE21",5,"York",-1.026916413653,53.950174560224
"UKE22",6,"North Yorkshire CC",-1.42076791240436,54.1762545052923
"UKE31",33,"Barnsley, Doncaster and Rotherham",-1.28878816019369,53.5085723335421
"UKE32",34,"Sheffield",-1.56374110486059,53.3940816340595
"UKE41",15,"Bradford",-1.83676844279964,53.8343828662967
"UKE42",16,"Leeds",-1.53780395573681,53.8054759234439
