"nodeCode","nodeID","name","longitude","latitude"
"GEO1",1,"Abkhazia",41.1814520033126,43.1037565760333
"GEO2",2,"Ajaria",42.0818901001682,41.6488538271962
"GEO3",3,"Guria",42.145798421804,41.9639232330772
"GEO4",4,"Imereti",42.9552981060866,42.1569185779162
"GEO5",5,"Kakheti",45.7805706642633,41.7606841627378
"GEO6",6,"Kvemo Kartli",44.5068762446574,41.4939123834943
"GEO7",7,"Mtskheta-Mtianeti",44.7434342107214,42.2946273770584
"GEO8",8,"Racha-Lechkhumi-Kvemo Svaneti",43.1585237385879,42.6453147152409
"GEO9",9,"Samegrelo-Zemo Svaneti",42.2751712725343,42.6976534686298
"GEO10",10,"Samtskhe-Javakheti",43.325399572259,41.5379281030857
"GEO11",11,"Shida Kartli",44.0079732503262,42.1066631836809
"GEO12",12,"Tbilisi",44.8328942850616,41.7016963362652
