"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,353917,"Ghana","GHA"
1,10,171439,"Ghana","GHA"
1,2,233273,"Ghana","GHA"
1,3,143654,"Ghana","GHA"
1,4,139075,"Ghana","GHA"
1,5,112255,"Ghana","GHA"
1,6,91792,"Ghana","GHA"
1,7,201964,"Ghana","GHA"
1,8,164978,"Ghana","GHA"
1,9,107688,"Ghana","GHA"
10,1,171439,"Ghana","GHA"
10,10,1795871,"Ghana","GHA"
10,2,124251,"Ghana","GHA"
10,3,256872,"Ghana","GHA"
10,4,137875,"Ghana","GHA"
10,5,141061,"Ghana","GHA"
10,6,65642,"Ghana","GHA"
10,7,110422,"Ghana","GHA"
10,8,94961,"Ghana","GHA"
10,9,121362,"Ghana","GHA"
2,1,233273,"Ghana","GHA"
2,10,124251,"Ghana","GHA"
2,2,2048961,"Ghana","GHA"
2,3,118991,"Ghana","GHA"
2,4,123150,"Ghana","GHA"
2,5,118346,"Ghana","GHA"
2,6,162670,"Ghana","GHA"
2,7,164858,"Ghana","GHA"
2,8,279346,"Ghana","GHA"
2,9,111444,"Ghana","GHA"
3,1,143654,"Ghana","GHA"
3,10,256872,"Ghana","GHA"
3,2,118991,"Ghana","GHA"
3,3,1524805,"Ghana","GHA"
3,4,182993,"Ghana","GHA"
3,5,199164,"Ghana","GHA"
3,6,61560,"Ghana","GHA"
3,7,80886,"Ghana","GHA"
3,8,78544,"Ghana","GHA"
3,9,159049,"Ghana","GHA"
4,1,139075,"Ghana","GHA"
4,10,137875,"Ghana","GHA"
4,2,123150,"Ghana","GHA"
4,3,182993,"Ghana","GHA"
4,4,1307343,"Ghana","GHA"
4,5,234688,"Ghana","GHA"
4,6,67902,"Ghana","GHA"
4,7,86597,"Ghana","GHA"
4,8,79417,"Ghana","GHA"
4,9,222266,"Ghana","GHA"
5,1,112255,"Ghana","GHA"
5,10,141061,"Ghana","GHA"
5,2,118346,"Ghana","GHA"
5,3,199164,"Ghana","GHA"
5,4,234688,"Ghana","GHA"
5,5,207990,"Ghana","GHA"
5,6,82387,"Ghana","GHA"
5,7,117400,"Ghana","GHA"
5,8,90605,"Ghana","GHA"
5,9,283451,"Ghana","GHA"
6,1,91792,"Ghana","GHA"
6,10,65642,"Ghana","GHA"
6,2,162670,"Ghana","GHA"
6,3,61560,"Ghana","GHA"
6,4,67902,"Ghana","GHA"
6,5,82387,"Ghana","GHA"
6,6,2698559,"Ghana","GHA"
6,7,387485,"Ghana","GHA"
6,8,372359,"Ghana","GHA"
6,9,91600,"Ghana","GHA"
7,1,201964,"Ghana","GHA"
7,10,110422,"Ghana","GHA"
7,2,164858,"Ghana","GHA"
7,3,80886,"Ghana","GHA"
7,4,86597,"Ghana","GHA"
7,5,117400,"Ghana","GHA"
7,6,387485,"Ghana","GHA"
7,7,6450949,"Ghana","GHA"
7,8,292577,"Ghana","GHA"
7,9,78690,"Ghana","GHA"
8,1,164978,"Ghana","GHA"
8,10,94961,"Ghana","GHA"
8,2,279346,"Ghana","GHA"
8,3,78544,"Ghana","GHA"
8,4,79417,"Ghana","GHA"
8,5,90605,"Ghana","GHA"
8,6,372359,"Ghana","GHA"
8,7,292577,"Ghana","GHA"
8,8,10571509,"Ghana","GHA"
8,9,75888,"Ghana","GHA"
9,1,107688,"Ghana","GHA"
9,10,121362,"Ghana","GHA"
9,2,111444,"Ghana","GHA"
9,3,159049,"Ghana","GHA"
9,4,222266,"Ghana","GHA"
9,5,283451,"Ghana","GHA"
9,6,91600,"Ghana","GHA"
9,7,78690,"Ghana","GHA"
9,8,75888,"Ghana","GHA"
9,9,3130172,"Ghana","GHA"
