"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,31526069,"Guinea-Bissau","GNB"
1,2,2571945,"Guinea-Bissau","GNB"
1,3,2381560,"Guinea-Bissau","GNB"
1,4,1906741,"Guinea-Bissau","GNB"
1,5,876337,"Guinea-Bissau","GNB"
1,6,2395191,"Guinea-Bissau","GNB"
1,7,2042674,"Guinea-Bissau","GNB"
1,8,2443422,"Guinea-Bissau","GNB"
1,9,2448622,"Guinea-Bissau","GNB"
2,1,2571945,"Guinea-Bissau","GNB"
2,2,11887259,"Guinea-Bissau","GNB"
2,3,4586209,"Guinea-Bissau","GNB"
2,4,6481052,"Guinea-Bissau","GNB"
2,5,3709905,"Guinea-Bissau","GNB"
2,6,2428505,"Guinea-Bissau","GNB"
2,7,3388103,"Guinea-Bissau","GNB"
2,8,3897746,"Guinea-Bissau","GNB"
2,9,4009522,"Guinea-Bissau","GNB"
3,1,2381560,"Guinea-Bissau","GNB"
3,2,4586209,"Guinea-Bissau","GNB"
3,3,3299974,"Guinea-Bissau","GNB"
3,4,5346447,"Guinea-Bissau","GNB"
3,5,2933447,"Guinea-Bissau","GNB"
3,6,2676321,"Guinea-Bissau","GNB"
3,7,3317502,"Guinea-Bissau","GNB"
3,8,3905708,"Guinea-Bissau","GNB"
3,9,3787842,"Guinea-Bissau","GNB"
4,1,1906741,"Guinea-Bissau","GNB"
4,2,6481052,"Guinea-Bissau","GNB"
4,3,5346447,"Guinea-Bissau","GNB"
4,4,202828309,"Guinea-Bissau","GNB"
4,5,2272795,"Guinea-Bissau","GNB"
4,6,1551014,"Guinea-Bissau","GNB"
4,7,3030736,"Guinea-Bissau","GNB"
4,8,10160125,"Guinea-Bissau","GNB"
4,9,5230785,"Guinea-Bissau","GNB"
5,1,876337,"Guinea-Bissau","GNB"
5,2,3709905,"Guinea-Bissau","GNB"
5,3,2933447,"Guinea-Bissau","GNB"
5,4,2272795,"Guinea-Bissau","GNB"
5,5,30542869,"Guinea-Bissau","GNB"
5,6,1031139,"Guinea-Bissau","GNB"
5,7,2077192,"Guinea-Bissau","GNB"
5,8,1655536,"Guinea-Bissau","GNB"
5,9,1402664,"Guinea-Bissau","GNB"
6,1,2395191,"Guinea-Bissau","GNB"
6,2,2428505,"Guinea-Bissau","GNB"
6,3,2676321,"Guinea-Bissau","GNB"
6,4,1551014,"Guinea-Bissau","GNB"
6,5,1031139,"Guinea-Bissau","GNB"
6,6,30702938,"Guinea-Bissau","GNB"
6,7,1633160,"Guinea-Bissau","GNB"
6,8,1939168,"Guinea-Bissau","GNB"
6,9,2261952,"Guinea-Bissau","GNB"
7,1,2042674,"Guinea-Bissau","GNB"
7,2,3388103,"Guinea-Bissau","GNB"
7,3,3317502,"Guinea-Bissau","GNB"
7,4,3030736,"Guinea-Bissau","GNB"
7,5,2077192,"Guinea-Bissau","GNB"
7,6,1633160,"Guinea-Bissau","GNB"
7,7,42223316,"Guinea-Bissau","GNB"
7,8,3057357,"Guinea-Bissau","GNB"
7,9,3401736,"Guinea-Bissau","GNB"
8,1,2443422,"Guinea-Bissau","GNB"
8,2,3897746,"Guinea-Bissau","GNB"
8,3,3905708,"Guinea-Bissau","GNB"
8,4,10160125,"Guinea-Bissau","GNB"
8,5,1655536,"Guinea-Bissau","GNB"
8,6,1939168,"Guinea-Bissau","GNB"
8,7,3057357,"Guinea-Bissau","GNB"
8,8,118845991,"Guinea-Bissau","GNB"
8,9,13768897,"Guinea-Bissau","GNB"
9,1,2448622,"Guinea-Bissau","GNB"
9,2,4009522,"Guinea-Bissau","GNB"
9,3,3787842,"Guinea-Bissau","GNB"
9,4,5230785,"Guinea-Bissau","GNB"
9,5,1402664,"Guinea-Bissau","GNB"
9,6,2261952,"Guinea-Bissau","GNB"
9,7,3401736,"Guinea-Bissau","GNB"
9,8,13768897,"Guinea-Bissau","GNB"
9,9,78455582,"Guinea-Bissau","GNB"
