"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
2,2,5998235,"Equatorial Guinea","GNQ"
2,3,2847090,"Equatorial Guinea","GNQ"
2,4,1912356,"Equatorial Guinea","GNQ"
2,5,3896172,"Equatorial Guinea","GNQ"
2,6,3791346,"Equatorial Guinea","GNQ"
2,7,3345586,"Equatorial Guinea","GNQ"
3,2,2847090,"Equatorial Guinea","GNQ"
3,3,22480717,"Equatorial Guinea","GNQ"
3,4,1253845,"Equatorial Guinea","GNQ"
3,5,1852455,"Equatorial Guinea","GNQ"
3,6,1710008,"Equatorial Guinea","GNQ"
3,7,1917679,"Equatorial Guinea","GNQ"
4,2,1912356,"Equatorial Guinea","GNQ"
4,3,1253845,"Equatorial Guinea","GNQ"
4,4,59076398,"Equatorial Guinea","GNQ"
4,5,3609153,"Equatorial Guinea","GNQ"
4,6,3202037,"Equatorial Guinea","GNQ"
4,7,3951903,"Equatorial Guinea","GNQ"
5,2,3896172,"Equatorial Guinea","GNQ"
5,3,1852455,"Equatorial Guinea","GNQ"
5,4,3609153,"Equatorial Guinea","GNQ"
5,5,37717584,"Equatorial Guinea","GNQ"
5,6,5024522,"Equatorial Guinea","GNQ"
5,7,5344769,"Equatorial Guinea","GNQ"
6,2,3791346,"Equatorial Guinea","GNQ"
6,3,1710008,"Equatorial Guinea","GNQ"
6,4,3202037,"Equatorial Guinea","GNQ"
6,5,5024522,"Equatorial Guinea","GNQ"
6,6,6533287,"Equatorial Guinea","GNQ"
6,7,4360075,"Equatorial Guinea","GNQ"
7,2,3345586,"Equatorial Guinea","GNQ"
7,3,1917679,"Equatorial Guinea","GNQ"
7,4,3951903,"Equatorial Guinea","GNQ"
7,5,5344769,"Equatorial Guinea","GNQ"
7,6,4360075,"Equatorial Guinea","GNQ"
7,7,19622906,"Equatorial Guinea","GNQ"
