"nodeCode","nodeID","name","longitude","latitude"
"GTM1",1,"Alta Verapaz",-90.1324363702403,15.6355332671941
"GTM2",2,"Baja Verapaz",-90.3710781992655,15.1011971808615
"GTM3",3,"Chimaltenango",-90.9203750274846,14.6939125750532
"GTM4",4,"Chiquimula",-89.4182752454282,14.6901144976004
"GTM5",5,"El Progreso",-90.0805476336043,14.8948408226904
"GTM6",6,"Escuintla",-90.9964077191433,14.1637691140381
"GTM7",7,"Guatemala",-90.4877973270975,14.6297673516908
"GTM8",8,"Huehuetenango",-91.5455645471898,15.6593674554859
"GTM9",9,"Izabal",-89.038592954258,15.5509728907806
"GTM10",10,"Jalapa",-89.9450354411456,14.6201641064424
"GTM11",11,"Jutiapa",-89.8922463518552,14.2114835432747
"GTM12",12,"Petén",-90.015030024884,16.9735674148552
"GTM13",13,"Quezaltenango",-91.714130832405,14.787490721049
"GTM14",14,"Quiché",-90.9363427405315,15.4325029399173
"GTM15",15,"Retalhuleu",-91.7894261885872,14.4186935434262
"GTM16",16,"Sacatepéquez",-90.7414820595205,14.5527704346369
"GTM17",17,"San Marcos",-91.932321556859,15.0193535827039
"GTM18",18,"Santa Rosa",-90.3339630969613,14.1669680950408
"GTM19",19,"Sololá",-91.2589467821068,14.7166222766144
"GTM20",20,"Suchitepéquez",-91.408657423264,14.4034366469037
"GTM21",21,"Totonicapán",-91.3772364333607,15.0131235637983
"GTM22",22,"Zacapa",-89.5069999808123,15.0352528964826
