"nodeCode","nodeID","name","longitude","latitude"
"HR031",1,"Primorsko-goranska županija",14.6486889818708,45.3019046023888
"HR032",2,"Ličko-senjska županija",15.4098326752064,44.7117646078403
"HR033",3,"Zadarska županija",15.603491130787,44.1783412715456
"HR034",4,"Šibensko-kninska županija",16.0366072954509,43.8734799505951
"HR035",5,"Splitsko-dalmatinska županija",16.5418832567404,43.3263124169677
"HR036",6,"Istarska županija",13.897036244948,45.23608144392
"HR037",7,"Dubrovačko-neretvanska županija",17.6325322842688,42.8656681692433
"HR041",8,"Grad Zagreb",16.0225710369921,45.8243381749538
"HR042",9,"Zagrebačka županija",16.0771187871925,45.7632147573406
"HR043",10,"Krapinsko-zagorska županija",15.9202172598477,46.078266419351
"HR044",11,"Varaždinska županija",16.3249528353019,46.2323565299257
"HR045",12,"Koprivničko-križevačka županija",16.8350027800111,46.0918396389683
"HR046",13,"Međimurska županija",16.5354160340666,46.4036088298299
"HR047",14,"Bjelovarsko-bilogorska županija",16.9713408894268,45.7282784641393
"HR048",15,"Virovitičko-podravska županija",17.5583408346242,45.7352315497953
"HR049",16,"Požeško-slavonska županija",17.518885698839,45.4223068847414
"HR04A",17,"Brodsko-posavska županija",17.8066239303742,45.2050977986581
"HR04B",17,"Osječko-baranjska županija",18.4334385378988,45.5838741175386
"HR04C",17,"Vukovarsko-srijemska županija",18.8970727427897,45.1753981783972
"HR04D",17,"Karlovačka županija",15.492722212128,45.3174101151966
"HR04E",17,"Sisačko-moslavačka županija",16.4837850635042,45.3396238571142
