"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,4866165,"Haiti","HTI"
1,10,154705,"Haiti","HTI"
1,2,154558,"Haiti","HTI"
1,3,193728,"Haiti","HTI"
1,4,173748,"Haiti","HTI"
1,5,273629,"Haiti","HTI"
1,6,155665,"Haiti","HTI"
1,7,218091,"Haiti","HTI"
1,8,264226,"Haiti","HTI"
1,9,125487,"Haiti","HTI"
10,1,154705,"Haiti","HTI"
10,10,4882539,"Haiti","HTI"
10,2,312025,"Haiti","HTI"
10,3,158658,"Haiti","HTI"
10,4,633910,"Haiti","HTI"
10,5,170313,"Haiti","HTI"
10,6,127230,"Haiti","HTI"
10,7,153204,"Haiti","HTI"
10,8,328609,"Haiti","HTI"
10,9,156356,"Haiti","HTI"
2,1,154558,"Haiti","HTI"
2,10,312025,"Haiti","HTI"
2,2,16909110,"Haiti","HTI"
2,3,154726,"Haiti","HTI"
2,4,203288,"Haiti","HTI"
2,5,166205,"Haiti","HTI"
2,6,122142,"Haiti","HTI"
2,7,145174,"Haiti","HTI"
2,8,389786,"Haiti","HTI"
2,9,134958,"Haiti","HTI"
3,1,193728,"Haiti","HTI"
3,10,158658,"Haiti","HTI"
3,2,154726,"Haiti","HTI"
3,3,1453923,"Haiti","HTI"
3,4,173579,"Haiti","HTI"
3,5,242520,"Haiti","HTI"
3,6,212046,"Haiti","HTI"
3,7,212249,"Haiti","HTI"
3,8,228194,"Haiti","HTI"
3,9,123842,"Haiti","HTI"
4,1,173748,"Haiti","HTI"
4,10,633910,"Haiti","HTI"
4,2,203288,"Haiti","HTI"
4,3,173579,"Haiti","HTI"
4,4,12930729,"Haiti","HTI"
4,5,180725,"Haiti","HTI"
4,6,137268,"Haiti","HTI"
4,7,158703,"Haiti","HTI"
4,8,376000,"Haiti","HTI"
4,9,171814,"Haiti","HTI"
5,1,273629,"Haiti","HTI"
5,10,170313,"Haiti","HTI"
5,2,166205,"Haiti","HTI"
5,3,242520,"Haiti","HTI"
5,4,180725,"Haiti","HTI"
5,5,6592647,"Haiti","HTI"
5,6,217329,"Haiti","HTI"
5,7,698774,"Haiti","HTI"
5,8,220387,"Haiti","HTI"
5,9,127426,"Haiti","HTI"
6,1,155665,"Haiti","HTI"
6,10,127230,"Haiti","HTI"
6,2,122142,"Haiti","HTI"
6,3,212046,"Haiti","HTI"
6,4,137268,"Haiti","HTI"
6,5,217329,"Haiti","HTI"
6,6,2864502,"Haiti","HTI"
6,7,225982,"Haiti","HTI"
6,8,208691,"Haiti","HTI"
6,9,97323,"Haiti","HTI"
7,1,218091,"Haiti","HTI"
7,10,153204,"Haiti","HTI"
7,2,145174,"Haiti","HTI"
7,3,212249,"Haiti","HTI"
7,4,158703,"Haiti","HTI"
7,5,698774,"Haiti","HTI"
7,6,225982,"Haiti","HTI"
7,7,2550015,"Haiti","HTI"
7,8,225687,"Haiti","HTI"
7,9,122961,"Haiti","HTI"
8,1,264226,"Haiti","HTI"
8,10,328609,"Haiti","HTI"
8,2,389786,"Haiti","HTI"
8,3,228194,"Haiti","HTI"
8,4,376000,"Haiti","HTI"
8,5,220387,"Haiti","HTI"
8,6,208691,"Haiti","HTI"
8,7,225687,"Haiti","HTI"
8,8,475628,"Haiti","HTI"
8,9,247713,"Haiti","HTI"
9,1,125487,"Haiti","HTI"
9,10,156356,"Haiti","HTI"
9,2,134958,"Haiti","HTI"
9,3,123842,"Haiti","HTI"
9,4,171814,"Haiti","HTI"
9,5,127426,"Haiti","HTI"
9,6,97323,"Haiti","HTI"
9,7,122961,"Haiti","HTI"
9,8,247713,"Haiti","HTI"
9,9,5146842,"Haiti","HTI"
