"nodeCode","nodeID","name","longitude","latitude"
"HTI1",1,"Centre",-71.981719509459,19.0095769037524
"HTI2",2,"Grand'Anse",-74.1313771051786,18.5069233890763
"HTI3",3,"L'Artibonite",-72.5671079707307,19.331971900277
"HTI4",4,"Nippes",-73.3950814726816,18.4329106895058
"HTI5",5,"Nord",-72.2970452358299,19.6000297072119
"HTI6",6,"Nord-Est",-71.8883279012101,19.508607633214
"HTI7",7,"Nord-Ouest",-73.0369296497683,19.8212174359826
"HTI8",8,"Ouest",-72.4253626897119,18.5780312190394
"HTI9",9,"Sud",-73.7158664903714,18.2796535765791
"HTI10",10,"Sud-Est",-72.3603019924211,18.2528260000959
