"nodeCode","nodeID","name","longitude","latitude"
"HU110",1,"Budapest",19.0831478866198,47.4677052136528
"HU120",2,"Pest",19.3138826385325,47.4166924264962
"HU211",3,"Fejér",18.5178581344683,47.1439077048784
"HU212",4,"Komárom-Esztergom",18.2835921403447,47.6062693749931
"HU213",5,"Veszprém",17.5998446649066,47.1261418141018
"HU221",6,"Győr-Moson-Sopron",17.2625237281659,47.6399660877296
"HU222",7,"Vas",16.696311476324,47.1262660468517
"HU223",8,"Zala",16.9042216256131,46.6952149044166
"HU231",9,"Baranya",18.2191040646231,46.0521065313034
"HU232",10,"Somogy",17.6044617131251,46.4327332094808
"HU233",11,"Tolna",18.5383014000014,46.5314836973203
"HU311",12,"Borsod-Abaúj-Zemplén",20.9927461300362,48.2117070219747
"HU312",13,"Heves",20.1861098598009,47.7938639999177
"HU313",14,"Nógrád",19.4946938065891,47.9816718671654
"HU321",15,"Hajdú-Bihar",21.4171338644148,47.4719792898528
"HU322",16,"Jász-Nagykun-Szolnok",20.3691220122108,47.2648594601197
"HU323",17,"Szabolcs-Szatmár-Bereg",22.0598218795441,47.9823883860943
"HU331",18,"Bács-Kiskun",19.3686585459716,46.5393443850985
"HU332",19,"Békés",21.0052920309734,46.7467320628901
"HU333",20,"Csongrád",20.2489229129842,46.4214462221914
