"nodeCode","nodeID","name","longitude","latitude"
"JAM1",1,"Clarendon",-77.2795135709619,17.9875378442833
"JAM2",2,"Hanover",-78.1257747724124,18.3851302798553
"JAM3",3,"Kingston",-76.7668050796055,17.9711703481368
"JAM4",4,"Manchester",-77.507053984115,18.0355775163771
"JAM5",5,"Portland",-76.5160694245375,18.1192952885247
"JAM6",6,"Saint Andrew",-76.7626468890057,18.0477195097717
"JAM7",7,"Saint Ann",-77.2598198424564,18.3212432801461
"JAM8",8,"Saint Catherine",-77.0186789728843,18.0497935224511
"JAM9",9,"Saint Elizabeth",-77.7442066341922,18.0604280063343
"JAM10",10,"Saint James",-77.846464254896,18.390086414848
"JAM11",11,"Saint Mary",-76.8889871251782,18.2842430134074
"JAM12",12,"Saint Thomas",-76.4524398857964,17.9495804256322
"JAM13",13,"Trelawny",-77.6054345640699,18.3632576838393
"JAM14",14,"Westmoreland",-78.0935121847145,18.2516372196092
