"nodeCode","nodeID","name","longitude","latitude"
"KOR1",1,"Busan",129.081445532024,35.2024671208182
"KOR2",2,"Chungcheongbuk-do",127.818215543606,36.7006063403138
"KOR3",3,"Chungcheongnam-do",126.831017209561,36.5253697331528
"KOR4",4,"Daegu",128.579926031556,35.7811661593934
"KOR5",5,"Daejeon",127.378594506125,36.3186832601775
"KOR6",6,"Gangwon-do",128.281009838315,37.7168307841873
"KOR7",7,"Gwangju",126.855126230389,35.1344228706202
"KOR8",8,"Gyeonggi-do",127.185523227963,37.4907082728842
"KOR9",9,"Gyeongsangbuk-do",128.749101324108,36.3143809931443
"KOR10",10,"Gyeongsangnam-do",128.277733889945,35.2998670396828
"KOR11",11,"Incheon",126.491499656185,37.5426593330494
"KOR12",12,"Jeju",126.55504506696,33.3845210701858
"KOR13",13,"Jeollabuk-do",127.155204351938,35.6978263506891
"KOR14",14,"Jeollanam-do",126.901355870199,34.8677241195663
"KOR15",15,"Sejong",127.239197055506,36.5475820095173
"KOR16",16,"Seoul",126.990954410631,37.5332978689155
"KOR17",17,"Ulsan",129.241492111567,35.536414886978
