"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,117564,"Kuwait","KWT"
1,2,50886,"Kuwait","KWT"
1,3,45058,"Kuwait","KWT"
1,4,79416,"Kuwait","KWT"
1,5,41340,"Kuwait","KWT"
1,6,39943,"Kuwait","KWT"
2,1,50886,"Kuwait","KWT"
2,2,95806,"Kuwait","KWT"
2,3,48501,"Kuwait","KWT"
2,4,96792,"Kuwait","KWT"
2,5,45687,"Kuwait","KWT"
2,6,38109,"Kuwait","KWT"
3,1,45058,"Kuwait","KWT"
3,2,48501,"Kuwait","KWT"
3,3,185286,"Kuwait","KWT"
3,4,68978,"Kuwait","KWT"
3,5,36285,"Kuwait","KWT"
3,6,39202,"Kuwait","KWT"
4,1,79416,"Kuwait","KWT"
4,2,96792,"Kuwait","KWT"
4,3,68978,"Kuwait","KWT"
4,4,167524,"Kuwait","KWT"
4,5,79562,"Kuwait","KWT"
4,6,58585,"Kuwait","KWT"
5,1,41340,"Kuwait","KWT"
5,2,45687,"Kuwait","KWT"
5,3,36285,"Kuwait","KWT"
5,4,79562,"Kuwait","KWT"
5,5,68784,"Kuwait","KWT"
5,6,39443,"Kuwait","KWT"
6,1,39943,"Kuwait","KWT"
6,2,38109,"Kuwait","KWT"
6,3,39202,"Kuwait","KWT"
6,4,58585,"Kuwait","KWT"
6,5,39443,"Kuwait","KWT"
6,6,62386,"Kuwait","KWT"
