"nodeCode","nodeID","name","longitude","latitude"
"LSO1",1,"Berea",27.9171622281284,-29.1962515821167
"LSO2",2,"Butha-Buthe",28.5638546246299,-28.8029523471654
"LSO3",3,"Leribe",28.2642854993334,-29.0180205422412
"LSO4",4,"Mafeteng",27.5181603311738,-29.7921358416229
"LSO5",5,"Maseru",27.7984385317822,-29.5646859724294
"LSO6",6,"Mohale's Hoek",27.8007454714478,-30.0699828601307
"LSO7",7,"Mokhotlong",29.0314613726299,-29.2198756035759
"LSO8",8,"Qacha's Nek",28.7380852673062,-29.9655964524264
"LSO9",9,"Quthing",27.9856610008519,-30.3601049106274
"LSO10",10,"Thaba-Tseka",28.5941171052351,-29.5701133888691
