"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,4978831,"Latvia","LVA"
1,2,103524,"Latvia","LVA"
1,3,379383,"Latvia","LVA"
1,4,361894,"Latvia","LVA"
1,5,244729,"Latvia","LVA"
1,6,349272,"Latvia","LVA"
2,1,103524,"Latvia","LVA"
2,2,4696845,"Latvia","LVA"
2,3,293810,"Latvia","LVA"
2,4,194922,"Latvia","LVA"
2,5,246172,"Latvia","LVA"
2,6,249431,"Latvia","LVA"
3,1,379383,"Latvia","LVA"
3,2,293810,"Latvia","LVA"
3,3,873409,"Latvia","LVA"
3,4,753029,"Latvia","LVA"
3,5,510206,"Latvia","LVA"
3,6,498432,"Latvia","LVA"
4,1,361894,"Latvia","LVA"
4,2,194922,"Latvia","LVA"
4,3,753029,"Latvia","LVA"
4,4,2107938,"Latvia","LVA"
4,5,526616,"Latvia","LVA"
4,6,515408,"Latvia","LVA"
5,1,244729,"Latvia","LVA"
5,2,246172,"Latvia","LVA"
5,3,510206,"Latvia","LVA"
5,4,526616,"Latvia","LVA"
5,5,6451305,"Latvia","LVA"
5,6,403132,"Latvia","LVA"
6,1,349272,"Latvia","LVA"
6,2,249431,"Latvia","LVA"
6,3,498432,"Latvia","LVA"
6,4,515408,"Latvia","LVA"
6,5,403132,"Latvia","LVA"
6,6,4572319,"Latvia","LVA"
