"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,349072,"Mali","MLI"
1,2,329613,"Mali","MLI"
1,3,321009,"Mali","MLI"
1,4,193850,"Mali","MLI"
1,5,486245,"Mali","MLI"
1,6,438669,"Mali","MLI"
1,7,405343,"Mali","MLI"
1,8,314892,"Mali","MLI"
1,9,406505,"Mali","MLI"
2,1,329613,"Mali","MLI"
2,2,22654939,"Mali","MLI"
2,3,129454,"Mali","MLI"
2,4,3742840,"Mali","MLI"
2,5,362834,"Mali","MLI"
2,6,577774,"Mali","MLI"
2,7,322636,"Mali","MLI"
2,8,153198,"Mali","MLI"
2,9,1334202,"Mali","MLI"
3,1,321009,"Mali","MLI"
3,2,129454,"Mali","MLI"
3,3,3954381,"Mali","MLI"
3,4,54576,"Mali","MLI"
3,5,347885,"Mali","MLI"
3,6,215584,"Mali","MLI"
3,7,246485,"Mali","MLI"
3,8,233050,"Mali","MLI"
3,9,346041,"Mali","MLI"
4,1,193850,"Mali","MLI"
4,2,3742840,"Mali","MLI"
4,3,54576,"Mali","MLI"
4,4,47738069,"Mali","MLI"
4,5,144044,"Mali","MLI"
4,6,176295,"Mali","MLI"
4,7,129160,"Mali","MLI"
4,8,51264,"Mali","MLI"
4,9,1129240,"Mali","MLI"
5,1,486245,"Mali","MLI"
5,2,362834,"Mali","MLI"
5,3,347885,"Mali","MLI"
5,4,144044,"Mali","MLI"
5,5,1358641,"Mali","MLI"
5,6,494275,"Mali","MLI"
5,7,481563,"Mali","MLI"
5,8,355087,"Mali","MLI"
5,9,461369,"Mali","MLI"
6,1,438669,"Mali","MLI"
6,2,577774,"Mali","MLI"
6,3,215584,"Mali","MLI"
6,4,176295,"Mali","MLI"
6,5,494275,"Mali","MLI"
6,6,12958296,"Mali","MLI"
6,7,499408,"Mali","MLI"
6,8,284901,"Mali","MLI"
6,9,713356,"Mali","MLI"
7,1,405343,"Mali","MLI"
7,2,322636,"Mali","MLI"
7,3,246485,"Mali","MLI"
7,4,129160,"Mali","MLI"
7,5,481563,"Mali","MLI"
7,6,499408,"Mali","MLI"
7,7,6229698,"Mali","MLI"
7,8,352624,"Mali","MLI"
7,9,408463,"Mali","MLI"
8,1,314892,"Mali","MLI"
8,2,153198,"Mali","MLI"
8,3,233050,"Mali","MLI"
8,4,51264,"Mali","MLI"
8,5,355087,"Mali","MLI"
8,6,284901,"Mali","MLI"
8,7,352624,"Mali","MLI"
8,8,3419002,"Mali","MLI"
8,9,167195,"Mali","MLI"
9,1,406505,"Mali","MLI"
9,2,1334202,"Mali","MLI"
9,3,346041,"Mali","MLI"
9,4,1129240,"Mali","MLI"
9,5,461369,"Mali","MLI"
9,6,713356,"Mali","MLI"
9,7,408463,"Mali","MLI"
9,8,167195,"Mali","MLI"
9,9,36771732,"Mali","MLI"
