"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,4715094,"Mozambique","MOZ"
1,10,252096,"Mozambique","MOZ"
1,11,320639,"Mozambique","MOZ"
1,2,199507,"Mozambique","MOZ"
1,3,207028,"Mozambique","MOZ"
1,4,257020,"Mozambique","MOZ"
1,5,190623,"Mozambique","MOZ"
1,6,213790,"Mozambique","MOZ"
1,7,513667,"Mozambique","MOZ"
1,8,405185,"Mozambique","MOZ"
1,9,277508,"Mozambique","MOZ"
10,1,252096,"Mozambique","MOZ"
10,10,4465505,"Mozambique","MOZ"
10,11,302133,"Mozambique","MOZ"
10,2,222022,"Mozambique","MOZ"
10,3,235020,"Mozambique","MOZ"
10,4,454907,"Mozambique","MOZ"
10,5,218114,"Mozambique","MOZ"
10,6,238251,"Mozambique","MOZ"
10,7,242537,"Mozambique","MOZ"
10,8,306803,"Mozambique","MOZ"
10,9,445967,"Mozambique","MOZ"
11,1,320639,"Mozambique","MOZ"
11,10,302133,"Mozambique","MOZ"
11,11,4532768,"Mozambique","MOZ"
11,2,223571,"Mozambique","MOZ"
11,3,228822,"Mozambique","MOZ"
11,4,324681,"Mozambique","MOZ"
11,5,227314,"Mozambique","MOZ"
11,6,253596,"Mozambique","MOZ"
11,7,405120,"Mozambique","MOZ"
11,8,424874,"Mozambique","MOZ"
11,9,393753,"Mozambique","MOZ"
2,1,199507,"Mozambique","MOZ"
2,10,222022,"Mozambique","MOZ"
2,11,223571,"Mozambique","MOZ"
2,2,5056244,"Mozambique","MOZ"
2,3,408839,"Mozambique","MOZ"
2,4,232430,"Mozambique","MOZ"
2,5,444251,"Mozambique","MOZ"
2,6,472922,"Mozambique","MOZ"
2,7,187723,"Mozambique","MOZ"
2,8,215077,"Mozambique","MOZ"
2,9,242974,"Mozambique","MOZ"
3,1,207028,"Mozambique","MOZ"
3,10,235020,"Mozambique","MOZ"
3,11,228822,"Mozambique","MOZ"
3,2,408839,"Mozambique","MOZ"
3,3,5264282,"Mozambique","MOZ"
3,4,282714,"Mozambique","MOZ"
3,5,381907,"Mozambique","MOZ"
3,6,414908,"Mozambique","MOZ"
3,7,194553,"Mozambique","MOZ"
3,8,223420,"Mozambique","MOZ"
3,9,323583,"Mozambique","MOZ"
4,1,257020,"Mozambique","MOZ"
4,10,454907,"Mozambique","MOZ"
4,11,324681,"Mozambique","MOZ"
4,2,232430,"Mozambique","MOZ"
4,3,282714,"Mozambique","MOZ"
4,4,3204099,"Mozambique","MOZ"
4,5,209899,"Mozambique","MOZ"
4,6,237147,"Mozambique","MOZ"
4,7,235054,"Mozambique","MOZ"
4,8,302856,"Mozambique","MOZ"
4,9,540018,"Mozambique","MOZ"
5,1,190623,"Mozambique","MOZ"
5,10,218114,"Mozambique","MOZ"
5,11,227314,"Mozambique","MOZ"
5,2,444251,"Mozambique","MOZ"
5,3,381907,"Mozambique","MOZ"
5,4,209899,"Mozambique","MOZ"
5,5,697894,"Mozambique","MOZ"
5,6,822608,"Mozambique","MOZ"
5,7,192778,"Mozambique","MOZ"
5,8,199489,"Mozambique","MOZ"
5,9,236167,"Mozambique","MOZ"
6,1,213790,"Mozambique","MOZ"
6,10,238251,"Mozambique","MOZ"
6,11,253596,"Mozambique","MOZ"
6,2,472922,"Mozambique","MOZ"
6,3,414908,"Mozambique","MOZ"
6,4,237147,"Mozambique","MOZ"
6,5,822608,"Mozambique","MOZ"
6,6,1892851,"Mozambique","MOZ"
6,7,217066,"Mozambique","MOZ"
6,8,230491,"Mozambique","MOZ"
6,9,265918,"Mozambique","MOZ"
7,1,513667,"Mozambique","MOZ"
7,10,242537,"Mozambique","MOZ"
7,11,405120,"Mozambique","MOZ"
7,2,187723,"Mozambique","MOZ"
7,3,194553,"Mozambique","MOZ"
7,4,235054,"Mozambique","MOZ"
7,5,192778,"Mozambique","MOZ"
7,6,217066,"Mozambique","MOZ"
7,7,2137322,"Mozambique","MOZ"
7,8,476771,"Mozambique","MOZ"
7,9,272606,"Mozambique","MOZ"
8,1,405185,"Mozambique","MOZ"
8,10,306803,"Mozambique","MOZ"
8,11,424874,"Mozambique","MOZ"
8,2,215077,"Mozambique","MOZ"
8,3,223420,"Mozambique","MOZ"
8,4,302856,"Mozambique","MOZ"
8,5,199489,"Mozambique","MOZ"
8,6,230491,"Mozambique","MOZ"
8,7,476771,"Mozambique","MOZ"
8,8,8406918,"Mozambique","MOZ"
8,9,303874,"Mozambique","MOZ"
9,1,277508,"Mozambique","MOZ"
9,10,445967,"Mozambique","MOZ"
9,11,393753,"Mozambique","MOZ"
9,2,242974,"Mozambique","MOZ"
9,3,323583,"Mozambique","MOZ"
9,4,540018,"Mozambique","MOZ"
9,5,236167,"Mozambique","MOZ"
9,6,265918,"Mozambique","MOZ"
9,7,272606,"Mozambique","MOZ"
9,8,303874,"Mozambique","MOZ"
9,9,2133252,"Mozambique","MOZ"
