"nodeCode","nodeID","name","longitude","latitude"
"MWI1",1,"Balaka",35.0561911004631,-15.0364307102975
"MWI2",2,"Blantyre",34.9453409457642,-15.6700633725802
"MWI3",3,"Chikwawa",34.7089457551876,-16.1643739589344
"MWI4",4,"Chiradzulu",35.2134721706014,-15.7462201882205
"MWI5",5,"Chitipa",33.4863905527434,-9.95158505943305
"MWI6",6,"Dedza",34.3664490978219,-14.1580338456633
"MWI7",7,"Dowa",33.7873659005132,-13.5692850666311
"MWI8",8,"Karonga",34.0910139944673,-10.079709512165
"MWI9",9,"Kasungu",33.3854540047263,-12.984019352114
"MWI11",11,"Lilongwe",33.6843347885785,-14.0184025276588
"MWI12",12,"Machinga",35.567949215037,-14.9434677672622
"MWI13",13,"Mangochi",35.1373272095382,-14.2624163860132
"MWI14",14,"Mchinji",33.0562665444958,-13.691289303058
"MWI15",15,"Mulanje",35.5093648962575,-15.9373019693413
"MWI16",16,"Mwanza",34.5188624345075,-15.6652450837793
"MWI17",17,"Mzimba",33.639704194328,-11.7873273080418
"MWI18",18,"Neno",34.6957673215824,-15.4592936621665
"MWI19",19,"Nkhata Bay",34.2960043307491,-11.6061467542937
"MWI20",20,"Nkhotakota",34.2076903885051,-12.8111209197008
"MWI21",21,"Nsanje",35.1429885527172,-16.7453738306691
"MWI22",22,"Ntcheu",34.7142568306365,-14.8106198654601
"MWI23",23,"Ntchisi",33.9184143772502,-13.2977440031187
"MWI24",24,"Phalombe",35.6912525835892,-15.6670324531639
"MWI25",25,"Rumphi",33.9753662396726,-10.8173117638701
"MWI26",26,"Salima",34.430619361676,-13.7056848685507
"MWI27",27,"Thyolo",35.1445631778987,-16.1039680123511
"MWI28",28,"Zomba",35.4269531544933,-15.3987938001198
