"nodeCode","nodeID","name","longitude","latitude"
"NIC1",1,"Atlántico Norte",-84.2217590268958,13.9931982490339
"NIC2",2,"Atlántico Sur",-84.2214246917449,12.3247132716892
"NIC3",3,"Boaco",-85.5178690452745,12.4553402607055
"NIC4",4,"Carazo",-86.2485187829102,11.7427493646744
"NIC5",5,"Chinandega",-87.0886393593466,12.8464232545281
"NIC6",6,"Chontales",-85.1294185878732,12.0924804805737
"NIC7",7,"Estelí",-86.4044624104347,13.1688405773901
"NIC8",8,"Granada",-85.9725273741804,11.8483494446019
"NIC9",9,"Jinotega",-85.5230887093325,13.7386657406731
"NIC10",10,"Lago Nicaragua",-85.4033923654522,11.5182213650334
"NIC11",11,"León",-86.6357462568712,12.5855246852944
"NIC12",12,"Madriz",-86.4752887498836,13.4849091143244
"NIC13",13,"Managua",-86.286188172642,12.2221793142669
"NIC14",14,"Masaya",-86.0961256586442,11.9957783216605
"NIC15",15,"Matagalpa",-85.5145037787588,12.9344716596988
"NIC16",16,"Nueva Segovia",-86.2174457535553,13.7409905963705
"NIC17",17,"Río San Juan",-84.4822064705746,11.2416159875029
"NIC18",18,"Rivas",-85.8282600947134,11.4024722086148
