"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,162580,"Nepal","NPL"
1,2,90256,"Nepal","NPL"
1,3,61146,"Nepal","NPL"
1,4,49618,"Nepal","NPL"
1,5,42407,"Nepal","NPL"
1,6,76057,"Nepal","NPL"
1,7,46050,"Nepal","NPL"
1,8,46665,"Nepal","NPL"
1,10,86411,"Nepal","NPL"
1,11,48193,"Nepal","NPL"
1,9,52432,"Nepal","NPL"
1,12,42631,"Nepal","NPL"
1,13,45171,"Nepal","NPL"
1,14,38760,"Nepal","NPL"
2,1,90256,"Nepal","NPL"
2,2,1064988,"Nepal","NPL"
2,3,62709,"Nepal","NPL"
2,4,33354,"Nepal","NPL"
2,5,21014,"Nepal","NPL"
2,6,117386,"Nepal","NPL"
2,7,15337,"Nepal","NPL"
2,8,14179,"Nepal","NPL"
2,10,22027,"Nepal","NPL"
2,11,14607,"Nepal","NPL"
2,9,17859,"Nepal","NPL"
2,12,13543,"Nepal","NPL"
2,13,15971,"Nepal","NPL"
2,14,15540,"Nepal","NPL"
3,1,61146,"Nepal","NPL"
3,2,62709,"Nepal","NPL"
3,3,600610,"Nepal","NPL"
3,4,23944,"Nepal","NPL"
3,5,19696,"Nepal","NPL"
3,6,34682,"Nepal","NPL"
3,7,16669,"Nepal","NPL"
3,8,18949,"Nepal","NPL"
3,10,29641,"Nepal","NPL"
3,11,22316,"Nepal","NPL"
3,9,27062,"Nepal","NPL"
3,12,57684,"Nepal","NPL"
3,13,59628,"Nepal","NPL"
3,14,47743,"Nepal","NPL"
4,1,49618,"Nepal","NPL"
4,2,33354,"Nepal","NPL"
4,3,23944,"Nepal","NPL"
4,4,715973,"Nepal","NPL"
4,5,142733,"Nepal","NPL"
4,6,136977,"Nepal","NPL"
4,7,12299,"Nepal","NPL"
4,8,14084,"Nepal","NPL"
4,10,18020,"Nepal","NPL"
4,11,13671,"Nepal","NPL"
4,9,16266,"Nepal","NPL"
4,12,12709,"Nepal","NPL"
4,13,18256,"Nepal","NPL"
4,14,13933,"Nepal","NPL"
5,1,42407,"Nepal","NPL"
5,2,21014,"Nepal","NPL"
5,3,19696,"Nepal","NPL"
5,4,142733,"Nepal","NPL"
5,5,979681,"Nepal","NPL"
5,6,43303,"Nepal","NPL"
5,7,11621,"Nepal","NPL"
5,8,12925,"Nepal","NPL"
5,10,15067,"Nepal","NPL"
5,11,12933,"Nepal","NPL"
5,9,14978,"Nepal","NPL"
5,12,12654,"Nepal","NPL"
5,13,17197,"Nepal","NPL"
5,14,12435,"Nepal","NPL"
6,1,76057,"Nepal","NPL"
6,2,117386,"Nepal","NPL"
6,3,34682,"Nepal","NPL"
6,4,136977,"Nepal","NPL"
6,5,43303,"Nepal","NPL"
6,6,1326370,"Nepal","NPL"
6,7,25345,"Nepal","NPL"
6,8,22920,"Nepal","NPL"
6,10,25818,"Nepal","NPL"
6,11,17243,"Nepal","NPL"
6,9,20168,"Nepal","NPL"
6,12,14302,"Nepal","NPL"
6,13,17017,"Nepal","NPL"
6,14,16031,"Nepal","NPL"
7,1,46050,"Nepal","NPL"
7,2,15337,"Nepal","NPL"
7,3,16669,"Nepal","NPL"
7,4,12299,"Nepal","NPL"
7,5,11621,"Nepal","NPL"
