"nodeCode","nodeID","name","longitude","latitude"
"NZL1",1,"Auckland",174.730977935608,-36.7082739226797
"NZL2",2,"Bay of Plenty",176.807338306007,-38.1271455303055
"NZL3",3,"Canterbury",171.494152818634,-43.6789966306077
"NZL5",5,"Gisborne",177.920861049623,-38.2815296243783
"NZL6",6,"Hawke's Bay",176.795721258681,-39.4110834645462
"NZL7",7,"Manawatu-Wanganui",175.599520234349,-39.7719196659102
"NZL8",8,"Marlborough",173.529922867804,-41.6955742024557
"NZL9",9,"Nelson",173.392305327404,-41.2462683222608
"NZL10",10,"Northern Islands",-179.53591652802,-30.129445833942
"NZL11",11,"Northland",173.829278745797,-35.5084458025292
"NZL12",12,"Otago",169.421833564913,-45.2680444331383
"NZL13",13,"Southern Islands",166.980798156514,-50.9722247747043
"NZL14",14,"Southland",167.930992492172,-45.7282526154182
"NZL15",15,"Taranaki",174.468184247713,-39.3146604037771
"NZL16",16,"Tasman",172.648643617446,-41.4494706893172
