"nodeCode","nodeID","name","longitude","latitude"
"OMN1",1,"Ad Dakhliyah",57.4424697035835,22.4497725360779
"OMN2",2,"Al Batinah North",56.7709612841356,24.1099052067847
"OMN3",3,"Al Batinah South",57.6835857311884,23.4818329416939
"OMN4",4,"Al Buraymi",55.9419025891111,24.303241708606
"OMN5",5,"Al Dhahira",56.061199407016,23.0029213772202
"OMN6",6,"Al Wusta",56.891675804015,20.5871668291195
"OMN7",7,"Ash Sharqiyah North",58.6214611007094,22.0711060200929
"OMN8",8,"Ash Sharqiyah South",59.3164415226171,21.8328352291242
"OMN9",9,"Dhofar",54.4957957227282,18.5675937152202
"OMN10",10,"Musandam",56.2847791385013,25.9557890915415
"OMN11",11,"Muscat",58.7036654088906,23.2287019745125
