"nodeCode","nodeID","name","longitude","latitude"
"PAN1",1,"Bocas del Toro",-82.5793162850949,9.2147832578423
"PAN2",2,"Chiriquí",-82.3984940023243,8.48904537754306
"PAN3",3,"Coclé",-80.4262176794535,8.55744602670605
"PAN4",4,"Colón",-80.0140658232524,9.18931625018491
"PAN5",5,"Darién",-77.9158002027273,8.1701343265893
"PAN7",7,"Herrera",-80.7005097468005,7.85482091261173
"PAN8",8,"Kuna Yala",-78.3154950214449,9.17479618749616
"PAN9",9,"Los Santos",-80.3927022226046,7.58248412736852
"PAN10",10,"Ngöbe Buglé",-81.7703476394776,8.65810248676169
"PAN11",11,"Panamá",-78.8517443830629,9.06619217905606
"PAN12",12,"Panamá Oeste",-79.9044659348839,8.82469205149878
"PAN13",13,"Veraguas",-81.1315140108522,8.09125221502781
