"nodeCode","nodeID","name","longitude","latitude"
"PER1",1,"Amazonas",-78.0508115815523,-5.07407893163958
"PER2",2,"Ancash",-77.6717952451798,-9.40712494990034
"PER3",3,"Apurímac",-72.9753780651736,-14.0277134829155
"PER4",4,"Arequipa",-72.4755394043221,-15.8435237455813
"PER5",5,"Ayacucho",-74.0834395332055,-14.0916483341419
"PER6",6,"Cajamarca",-78.7456013119363,-6.4301304695811
"PER7",7,"Callao",-77.1360420719811,-11.9546087771571
"PER8",8,"Cusco",-72.1536088631304,-13.191068206515
"PER9",9,"Huancavelica",-75.0027698503007,-13.0238875795695
"PER10",10,"Huánuco",-76.0406420058787,-9.42167560298309
"PER11",11,"Ica",-75.5748211717176,-14.2350972298448
"PER12",12,"Junín",-74.8769679228728,-11.5417827257155
"PER13",13,"La Libertad",-78.3702383130547,-7.92139022033075
"PER14",14,"Lambayeque",-79.8241132617051,-6.35304918139287
"PER15",15,"Lima",-76.6044976154135,-11.7665331604399
"PER16",16,"Lima Province",-76.904782830552,-12.018026920646
"PER17",17,"Loreto",-74.4240734043115,-4.1238151755515
"PER18",18,"Madre de Dios",-70.5317195728412,-11.9726988772786
"PER19",19,"Moquegua",-70.8390463084425,-16.8602705901687
"PER20",20,"Pasco",-75.3076347229473,-10.3965500657548
"PER21",21,"Piura",-80.335583993225,-5.13322118199577
"PER22",22,"Puno",-69.9227264588539,-14.9958272385141
"PER23",23,"San Martín",-76.7291274322698,-7.03953061540062
"PER24",24,"Tacna",-70.2775598359337,-17.6441607735107
"PER25",25,"Tumbes",-80.5452105491816,-3.85756176327371
"PER26",26,"Ucayali",-73.4449286472604,-9.62171778193204
