"nodeCode","nodeID","name","longitude","latitude"
"PHL1",1,"Abra",120.805535965967,17.5792375070494
"PHL2",2,"Agusan del Norte",125.522899368197,9.01450683686603
"PHL3",3,"Agusan del Sur",125.757300464726,8.40341979854644
"PHL4",4,"Aklan",122.247555700208,11.6098583948819
"PHL5",5,"Albay",123.615463544975,13.2112738982689
"PHL6",6,"Antique",122.069349771951,11.1269414339301
"PHL7",7,"Apayao",121.196964890526,18.092312626809
"PHL8",8,"Aurora",121.704625283584,15.9268833943136
"PHL9",9,"Basilan",122.021428777267,6.57941873663986
"PHL10",10,"Bataan",120.449274237448,14.664498788058
"PHL11",11,"Batanes",121.887529039973,20.5498187178684
"PHL12",12,"Batangas",121.030127719219,13.8999320548439
"PHL13",13,"Benguet",120.704193530323,16.5391664023582
"PHL14",14,"Biliran",124.472943086592,11.5968068793528
"PHL15",15,"Bohol",124.197546540882,9.85390719302386
"PHL16",16,"Bukidnon",124.998487237751,8.02006279209238
"PHL17",17,"Bulacan",121.065179895489,14.9708064076045
"PHL18",18,"Cagayan",121.763080791149,18.0995124200176
"PHL19",19,"Camarines Norte",122.728463315985,14.143982021479
"PHL20",20,"Camarines Sur",123.263127626434,13.7051732713734
"PHL21",21,"Camiguin",124.717722325982,9.17186762240829
"PHL22",22,"Capiz",122.636042062754,11.3682132941007
"PHL23",23,"Catanduanes",124.236896616776,13.7835666254922
"PHL24",24,"Cavite",120.872280022175,14.2533902483388
"PHL25",25,"Cebu",123.755656475011,10.3565691283205
"PHL26",26,"Compostela Valley",126.017592005827,7.57730028614465
"PHL27",27,"Davao del Norte",125.637325841243,7.58221987983592
"PHL28",28,"Davao del Sur",125.418744565826,6.6969794492567
"PHL29",29,"Davao Oriental",126.297279889898,7.25690726598629
"PHL30",30,"Dinagat Islands",125.601855930829,10.169932440847
"PHL31",31,"Eastern Samar",125.380313420091,11.6564103270559
"PHL32",32,"Guimaras",122.613505239395,10.5681214640492
"PHL33",33,"Ifugao",121.214348946442,16.8519828787361
"PHL34",34,"Ilocos Norte",120.730770523356,18.1997381388734
"PHL35",35,"Ilocos Sur",120.551670469341,17.2212383892439
"PHL36",36,"Iloilo",122.603694584384,11.0057556898266
"PHL37",37,"Isabela",121.960925855859,16.9842239528158
"PHL38",38,"Kalinga",121.291125407616,17.4339216145253
"PHL39",39,"La Union",120.427763484916,16.5810536821532
"PHL40",40,"Laguna",121.32506581972,14.2833117291481
"PHL41",41,"Lanao del Norte",124.044543491762,8.02152550032704
"PHL42",42,"Lanao del Sur",124.334002909814,7.80910052498553
"PHL43",43,"Leyte",124.753802002449,10.9772556347494
"PHL44",44,"Maguindanao",124.376157084208,7.02414847634779
"PHL45",45,"Marinduque",121.972105611323,13.3915729861761
"PHL46",46,"Masbate",123.552001271214,12.2948499764421
"PHL47",47,"Metropolitan Manila",121.032574534402,14.5987356533073
"PHL48",48,"Misamis Occidental",123.688741882534,8.3250516122395
"PHL49",49,"Misamis Oriental",124.81153713876,8.646484444631
"PHL50",50,"Mountain Province",121.132380011647,17.1004779818524
"PHL51",51,"Negros Occidental",122.984779215789,10.3015883300208
"PHL52",52,"Negros Oriental",123.038816712038,9.60150210294935
"PHL53",53,"North Cotabato",124.851950383315,7.21472129708568
"PHL54",54,"Northern Samar",124.789879432039,12.4134374699066
"PHL55",55,"Nueva Ecija",121.022579648875,15.6175107771358
"PHL56",56,"Nueva Vizcaya",121.151179197854,16.311793844544
"PHL57",57,"Occidental Mindoro",120.888716299823,12.9771186548258
"PHL58",58,"Oriental Mindoro",121.263244575689,12.9625049376986
"PHL59",59,"Palawan",118.752420569071,9.98844357676622
"PHL60",60,"Pampanga",120.665143165978,15.0571235470231
"PHL61",61,"Pangasinan",120.31164423407,16.0003315724835
"PHL62",62,"Quezon",121.968931461916,14.162346472931
"PHL63",63,"Quirino",121.588810089926,16.2921538833828
"PHL64",64,"Rizal",121.270087707508,14.6286157333245
"PHL65",65,"Romblon",122.232858246373,12.4375013548359
"PHL66",66,"Samar",124.940547458199,11.8428113562399
"PHL67",67,"Sarangani",125.146990620558,6.02153440053632
"PHL68",68,"Siquijor",123.588415916789,9.18507653729566
"PHL69",69,"Sorsogon",123.929018941598,12.8539257000467
"PHL70",70,"South Cotabato",124.846006111851,6.28254583037741
"PHL71",71,"Southern Leyte",125.052238133812,10.2923637828105
"PHL72",72,"Sultan Kudarat",124.474244833152,6.54599699583063
"PHL73",73,"Sulu",121.050493758139,5.95570044283964
"PHL74",74,"Surigao del Norte",125.732600074147,9.66285111962522
"PHL75",75,"Surigao del Sur",126.104384976692,8.82147563657696
"PHL76",76,"Tarlac",120.478725145151,15.4788141496681
"PHL77",77,"Tawi-Tawi",119.861000060825,5.26205388432893
"PHL78",78,"Zambales",120.14370605897,15.2885800868567
"PHL79",79,"Zamboanga del Norte",122.813012712134,8.05201791636427
"PHL80",80,"Zamboanga del Sur",122.992859402947,7.67351679145104
"PHL81",81,"Zamboanga Sibugay",122.713413620701,7.67779884496648
