"nodeCode","nodeID","name","longitude","latitude"
"PNG1",1,"Bougainville",155.257784147417,-6.14916580385779
"PNG2",2,"Central",147.613656626024,-9.18973878664356
"PNG3",3,"Chimbu",144.92097904784,-6.34388478792563
"PNG4",4,"East New Britain",151.649047885584,-5.09079931770368
"PNG5",5,"East Sepik",143.171784746632,-4.31182945291822
"PNG6",6,"Eastern Highlands",145.608726572446,-6.46811415338759
"PNG7",7,"Enga",143.473251239779,-5.43607418638689
"PNG8",8,"Gulf",144.799005437587,-7.37571554561126
"PNG9",9,"Hela",142.735161755461,-5.67804088155244
"PNG10",10,"Jiwaka",144.592874089304,-5.79512645005037
"PNG11",11,"Madang",145.287637910842,-5.16079616745194
"PNG12",12,"Manus",146.924013721365,-2.09623808537432
"PNG13",13,"Milne Bay",150.703822083353,-10.055660151826
"PNG14",14,"Morobe",146.838324215673,-6.83128992407735
"PNG15",15,"National Capital District",147.193321429506,-9.43776552987744
"PNG16",16,"New Ireland",151.92554045147,-3.46981083803056
"PNG17",17,"Oro",148.251152920235,-8.9799198585782
"PNG18",18,"Sandaun",141.715781903044,-3.91408677243866
"PNG19",19,"Southern Highlands",143.587109399133,-6.45437352669153
"PNG20",20,"West New Britain",149.836527100668,-5.75398315525347
"PNG21",21,"Western",142.065594799667,-7.43613471047637
"PNG22",22,"Western Highlands",144.197708743192,-5.76642044540809
