"nodeCode","nodeID","name","longitude","latitude"
"PT111",1,"Alto Minho",-8.4981862688321,41.8699322001572
"PT112",2,"Cávado",-8.46133365570348,41.6229540337852
"PT119",3,"Ave",-8.17371940325527,41.4836972412905
"PT11A",4,"Área Metropolitana do Porto",-8.46864290882295,41.1147854522329
"PT11B",5,"Alto Tâmega",-7.64328107641707,41.6599297599612
"PT11C",6,"Tâmega e Sousa",-8.11780415107225,41.2042284615433
"PT11D",7,"Douro",-7.41151122991862,41.1683143254329
"PT11E",8,"Terras de Trás-os-Montes",-6.83747740582636,41.58898189723
"PT150",9,"Algarve",-8.13146333485415,37.2614605042105
"PT16B",10,"Oeste",-9.10082536262336,39.2939996923384
"PT16D",11,"Região de Aveiro",-8.51357061972739,40.6876381368723
"PT16E",12,"Região de Coimbra",-8.33810255098641,40.2295717616224
"PT16F",13,"Região de Leiria",-8.67724131726445,39.7876779065358
"PT16G",14,"Viseu Dão Lafões",-7.93687831854453,40.7181252339664
"PT16H",15,"Beira Baixa",-7.46993186922215,39.8987169167258
"PT16I",16,"Médio Tejo",-8.24652426750805,39.5628698075223
"PT16J",17,"Beiras e Serra da Estrela",-7.30020295318131,40.5224118517217
"PT170",18,"Área Metropolitana de Lisboa",-9.05402515616754,38.7510612603519
"PT181",19,"Alentejo Litoral",-8.54016661135807,37.9861390602449
"PT184",20,"Baixo Alentejo",-7.81972322780714,37.858131919674
"PT185",21,"Lezíria do Tejo",-8.60420809579116,39.1106868204483
"PT186",22,"Alto Alentejo",-7.6098776510834,39.1818139541728
"PT187",23,"Alentejo Central",-7.86487520012339,38.5983125727481
"PT200",24,"Região Autónoma dos Açores",-27.818767892591,38.5281074805899
"PT300",25,"Região Autónoma da Madeira",-16.4586578653023,31.3624340435114
