"nodeCode","nodeID","name","longitude","latitude"
"PRY1",1,"Alto Paraguay",-59.4100090501076,-20.5897684430544
"PRY2",2,"Alto Paraná",-54.9532222760863,-25.3880539097379
"PRY3",3,"Amambay",-56.0626494875967,-22.8758077386078
"PRY4",4,"Asunción",-57.6026202809726,-25.2794625496576
"PRY5",5,"Boquerón",-61.0581687652536,-21.9042389065546
"PRY6",6,"Caaguazú",-55.8827310893978,-25.1867281313411
"PRY7",7,"Caazapá",-56.0589069006714,-26.2348560336989
"PRY8",8,"Canindeyú",-55.2186060309271,-24.2275723824366
"PRY9",9,"Central",-57.493606115746,-25.53489497888
"PRY10",10,"Concepción",-57.1193133539636,-22.8387608840725
"PRY11",11,"Cordillera",-56.945805597962,-25.1918616194314
"PRY12",12,"Guairá",-56.2953977043029,-25.8229879293232
"PRY13",13,"Itapúa",-55.7470404876156,-26.831173141276
"PRY14",14,"Misiones",-57.0854948263786,-26.9506079063474
"PRY15",15,"Ñeembucú",-57.9024066624136,-26.7599886925173
"PRY16",16,"Paraguarí",-57.1299273028233,-26.0394266741056
"PRY17",17,"Presidente Hayes",-58.6859651449728,-23.6127727834977
"PRY18",18,"San Pedro",-56.6467790371314,-24.1649821008926
